Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, TB, TF)
three_epoch	Round_1_Replicate_1	-110289.68	220587.36	205685.47	1530817.75	0.3031,0.1507,1.0138,0.2595
three_epoch	Round_1_Replicate_2	-62208.7	124425.4	113083.66	569973.77	3.752,0.2732,0.3006,0.3438
three_epoch	Round_1_Replicate_3	-394494.62	788997.24	957312.78	93643.8	2.2602,6.2013,0.6624,1.0637
three_epoch	Round_1_Replicate_4	-127922.63	255853.26	241790.43	458104.96	4.8203,0.5534,6.4785,2.4796
three_epoch	Round_1_Replicate_5	-228134.12	456276.24	463460.89	200273.88	1.4388,2.1038,0.1529,0.2803
three_epoch	Round_1_Replicate_6	-193000.05	386008.1	387487.84	171445.08	0.1409,1.8898,0.2253,2.2928
three_epoch	Round_1_Replicate_7	-153674.18	307356.36	296956.35	125846.24	0.1701,2.2537,0.9416,5.3409
three_epoch	Round_1_Replicate_8	-130084.96	260177.92	246307.91	238306.34	6.6835,1.0749,3.2426,3.9012
three_epoch	Round_1_Replicate_9	-42694.06	85396.12	77405.52	270640.39	6.6659,0.4342,6.2769,0.7252
three_epoch	Round_1_Replicate_10	-183903.19	367814.38	382036.48	117895.27	6.9695,1.7688,1.4238,0.3379
three_epoch	Round_1_Replicate_11	-51471.24	102950.48	93736.9	382250.97	4.376,0.327,0.3662,0.2113
three_epoch	Round_1_Replicate_12	-135109.09	270226.18	256883.08	639820.92	0.9027,0.4099,1.7032,1.7151
three_epoch	Round_1_Replicate_13	-338029.93	676067.86	722747.88	368328.93	0.4468,2.3713,1.6267,0.1483
three_epoch	Round_1_Replicate_14	-222869.37	445746.74	440987.44	222787.75	0.9607,2.4888,0.6822,0.1636
three_epoch	Round_1_Replicate_15	-132815.73	265639.46	252077.83	601184.56	0.4591,0.4311,6.496,0.2668
three_epoch	Round_2_Replicate_1	-35522.87	71053.74	64485.92	341201.32	7.5547,0.2971,17.6094,0.6829
three_epoch	Round_2_Replicate_2	-138136.25	276280.5	263308.99	1552348.8	6.5634,0.1713,5.3418,2.755
three_epoch	Round_2_Replicate_3	-49306.52	98621.04	89929.46	89482.33	7.2074,1.2995,7.675,0.6855
three_epoch	Round_2_Replicate_4	-86177.66	172363.32	158356.73	169551.32	2.6285,1.1485,5.8597,0.9385
three_epoch	Round_2_Replicate_5	-14406.06	28820.12	26656.98	130893.03	7.0173,0.3041,17.0447,0.2903
three_epoch	Round_2_Replicate_6	-93076.27	186160.54	171618.38	520822.87	6.6278,0.3964,7.2651,1.3166
three_epoch	Round_2_Replicate_7	-97518.95	195045.9	180407.11	176161.45	3.0384,1.2015,2.7204,1.0413
