Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, TB, TF)
three_epoch	Round_3_Replicate_9	-19638.38	39284.76	36038.18	117137.29	15.5479,0.5024,23.7235,0.7952
three_epoch	Round_3_Replicate_10	-17162.09	34332.18	31614.74	61318.0	21.0795,0.7996,21.976,0.7968
three_epoch	Round_3_Replicate_11	-18447.8	36903.6	33999.66	36758.06	29.8229,1.2353,25.8746,0.8701
three_epoch	Round_3_Replicate_12	-23559.22	47126.44	43196.7	197132.84	10.1607,0.306,3.0493,0.2372
three_epoch	Round_3_Replicate_13	-40005.77	80019.54	72617.17	91897.99	7.1106,1.1884,17.4123,0.9911
three_epoch	Round_3_Replicate_14	-27270.86	54549.72	49757.98	120893.44	11.0839,0.6363,7.3259,0.5684
three_epoch	Round_3_Replicate_15	-24437.02	48882.04	44691.07	60407.39	28.1785,1.1319,14.8623,1.0171
three_epoch	Round_3_Replicate_16	-33151.48	66310.96	60269.17	360914.14	6.7578,0.2599,1.5587,0.2797
three_epoch	Round_3_Replicate_17	-13056.92	26121.84	24228.71	127277.89	8.5739,0.2675,11.4066,0.2467
three_epoch	Round_3_Replicate_18	-16001.63	32011.26	29557.1	72279.42	15.4491,0.5753,15.1858,0.4608
three_epoch	Round_3_Replicate_19	-32493.83	64995.66	59049.98	227227.32	29.988,0.4141,24.0212,1.1453
three_epoch	Round_3_Replicate_20	-37920.64	75849.28	69734.36	52784.5	8.0401,1.3434,29.9432,0.4271
three_epoch	Round_3_Replicate_21	-30619.18	61246.36	55770.42	283349.8	17.0574,0.3007,1.8418,0.2965
three_epoch	Round_3_Replicate_22	-58163.37	116334.74	106094.16	119388.13	7.1405,1.1489,4.4162,0.7141
three_epoch	Round_3_Replicate_23	-16431.31	32870.62	30351.28	40235.33	23.1392,1.009,27.9732,0.716
three_epoch	Round_3_Replicate_24	-9458.6	18925.2	17706.22	145240.81	13.1078,0.1373,8.3917,0.1425
three_epoch	Round_3_Replicate_25	-38029.96	76067.92	69432.82	90635.1	12.8504,0.9975,6.6443,0.6168
three_epoch	Round_3_Replicate_26	-23210.06	46428.12	42528.41	222171.86	14.0092,0.28,2.6927,0.2447
three_epoch	Round_3_Replicate_27	-19236.54	38481.08	35318.72	92081.67	25.149,0.6251,22.8609,0.9718
three_epoch	Round_3_Replicate_28	-17635.62	35279.24	32508.26	151877.29	5.3541,0.3015,7.7953,0.215
three_epoch	Round_3_Replicate_29	-72740.71	145489.42	136103.49	74754.27	13.2936,1.5667,5.2788,0.5972
three_epoch	Round_3_Replicate_30	-11147.27	22302.54	20777.19	178419.4	4.7038,0.1453,11.9031,0.1214
three_epoch	Round_3_Replicate_31	-35722.86	71453.72	66355.94	57252.5	7.0377,0.6768,27.2493,0.1594
three_epoch	Round_3_Replicate_32	-7206.31	14420.62	13592.03	95745.85	10.7766,0.0912,18.9446,0.0812
three_epoch	Round_3_Replicate_33	-15254.61	30517.22	28191.14	79268.65	16.6312,0.5278,15.7157,0.4998
three_epoch	Round_3_Replicate_34	-22037.33	44082.66	40352.24	341386.39	4.6072,0.1888,2.5355,0.1994
three_epoch	Round_3_Replicate_35	-14817.61	29643.22	27401.02	273293.34	4.8686,0.1493,4.0233,0.1465
three_epoch	Round_3_Replicate_36	-31466.95	62941.9	57464.11	259756.33	8.1367,0.3044,1.6483,0.2213
three_epoch	Round_3_Replicate_37	-44495.82	88999.64	80738.76	243676.47	14.0843,0.4881,2.1643,0.514
three_epoch	Round_3_Replicate_38	-59377.49	118762.98	107838.03	216987.28	6.8605,0.6954,7.9506,1.2356
three_epoch	Round_3_Replicate_39	-19177.63	38363.26	35296.41	37564.32	23.4817,1.3106,29.3692,0.9104
three_epoch	Round_3_Replicate_40	-42103.04	84214.08	76657.05	280116.77	4.7466,0.3758,1.3274,0.2591
three_epoch	Round_3_Replicate_41	-21756.45	43520.9	40030.49	41668.32	17.238,1.1897,24.4323,0.6572
