Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, TB, TF)
three_epoch	Round_1_Replicate_1	-117486.27	234980.54	221136.93	274112.78	1.1936,0.8437,0.4865,0.2819
three_epoch	Round_1_Replicate_2	-163921.78	327851.56	317963.25	142686.35	1.8751,2.1864,3.5168,0.2732
three_epoch	Round_1_Replicate_3	-138136.05	276280.1	263308.58	1544930.79	0.359,0.1721,0.1251,2.3865
three_epoch	Round_1_Replicate_4	-131231.25	262470.5	248711.06	274720.96	2.3112,0.9376,0.498,1.9012
three_epoch	Round_1_Replicate_5	-207592.72	415193.44	423954.15	193714.18	6.3333,1.5967,0.2089,0.2465
three_epoch	Round_1_Replicate_6	-726687.94	1453383.88	2774772.99	123387.07	0.2019,6.4572,3.7474,1.191
three_epoch	Round_1_Replicate_7	-170860.1	341728.2	334971.47	257533.88	0.4636,1.1855,0.2086,0.7276
three_epoch	Round_1_Replicate_8	-54832.94	109673.88	99511.63	286795.67	4.8242,0.4939,2.2883,0.5841
three_epoch	Round_1_Replicate_9	-136931.35	273870.7	260746.35	707108.03	0.3119,0.374,0.6618,0.7496
three_epoch	Round_1_Replicate_10	-137642.5	275293.0	262258.08	1614742.43	0.2084,0.1643,0.6905,0.8203
three_epoch	Round_1_Replicate_11	-124027.41	248062.82	233703.81	107910.98	6.5788,2.3041,4.4221,4.2988
three_epoch	Round_1_Replicate_12	-133350.64	266709.28	253169.11	1591035.61	5.8667,0.1635,0.8203,0.932
three_epoch	Round_1_Replicate_13	-138136.64	276281.28	263309.84	1558868.52	0.7409,0.1705,1.0836,3.8349
three_epoch	Round_1_Replicate_14	-127697.94	255403.88	241322.19	362267.24	7.521,0.699,1.5476,2.4121
three_epoch	Round_1_Replicate_15	-623011.02	1246030.04	1984609.34	183564.82	0.2522,4.2384,0.8784,0.7241
three_epoch	Round_2_Replicate_1	-112258.24	224524.48	220207.41	68381.13	11.8185,1.7705,4.6394,0.4248
three_epoch	Round_2_Replicate_2	-38624.56	77257.12	70063.92	294772.32	13.8635,0.3683,10.9238,0.8617
three_epoch	Round_2_Replicate_3	-44394.01	88796.02	80746.68	348482.21	1.3618,0.3227,6.3853,0.1788
three_epoch	Round_2_Replicate_4	-60664.02	121336.04	111111.11	199873.96	11.5327,0.669,1.4957,0.4178
three_epoch	Round_2_Replicate_5	-110629.72	221267.44	206369.29	1003915.89	11.8256,0.2303,1.7391,0.8885
three_epoch	Round_2_Replicate_6	-135276.19	270560.38	257236.72	1363921.52	25.5168,0.1924,1.0246,1.203
three_epoch	Round_2_Replicate_7	-55451.05	110910.1	100658.26	216640.78	4.4568,0.6578,3.587,0.6934
three_epoch	Round_2_Replicate_8	-134630.17	269268.34	255870.19	1354695.95	3.0425,0.1932,8.0907,1.2487
three_epoch	Round_2_Replicate_9	-137059.74	274127.48	266043.34	173834.15	3.2439,1.2718,0.9735,0.3361
three_epoch	Round_2_Replicate_10	-82156.15	164320.3	150566.97	452101.22	1.3053,0.4195,2.2443,0.5339
three_epoch	Round_2_Replicate_11	-83552.16	167112.32	153497.53	226738.3	21.5964,0.8286,1.0363,0.7374
three_epoch	Round_2_Replicate_12	-54106.79	108221.58	100528.28	89695.74	5.2418,0.8929,7.1166,0.2274
three_epoch	Round_2_Replicate_13	-20138.88	40285.76	36961.47	367806.16	2.9868,0.1572,2.459,0.145
three_epoch	Round_2_Replicate_14	-97814.67	195637.34	180886.31	407452.29	9.5356,0.5236,10.8312,1.8672
three_epoch	Round_2_Replicate_15	-106956.25	213920.5	199000.39	369529.53	6.3365,0.6121,4.2171,1.8387
three_epoch	Round_2_Replicate_16	-167199.39	334406.78	339332.37	165665.41	7.1076,1.2251,0.6843,0.2565
three_epoch	Round_2_Replicate_17	-113075.4	226158.8	211304.7	554568.28	2.8452,0.4228,6.356,1.4172
three_epoch	Round_2_Replicate_18	-80980.31	161968.62	151043.43	189658.38	10.5107,0.7728,1.1336,0.3532
three_epoch	Round_2_Replicate_19	-18349.23	36706.46	33773.3	150322.31	6.2521,0.3323,7.5233,0.263
three_epoch	Round_2_Replicate_20	-123776.42	247560.84	233198.89	170164.71	19.2313,1.4585,1.1375,2.0589
three_epoch	Round_2_Replicate_21	-72992.21	145992.42	133748.28	95026.34	8.3449,1.7354,5.1515,1.0859
three_epoch	Round_2_Replicate_22	-115592.1	231192.2	225893.96	149921.29	9.2835,0.9367,1.2822,0.2679
three_epoch	Round_2_Replicate_23	-93718.42	187444.84	172869.73	541402.3	2.9605,0.3831,1.6009,0.8679
three_epoch	Round_2_Replicate_24	-93262.48	186532.96	172208.6	260757.92	3.0147,0.7812,0.8502,0.6174
three_epoch	Round_2_Replicate_25	-121942.36	243892.72	229400.86	497963.34	5.5598,0.494,1.618,1.6832
three_epoch	Round_2_Replicate_26	-79380.98	158769.96	145361.28	298851.31	1.4504,0.6152,8.3005,0.4888
three_epoch	Round_2_Replicate_27	-115558.66	231125.32	216391.34	169582.7	2.2766,1.3989,3.2138,1.2481
three_epoch	Round_2_Replicate_28	-42320.49	84648.98	76945.56	205687.62	2.5574,0.5312,6.1913,0.3201
three_epoch	Round_2_Replicate_29	-83941.94	167891.88	158410.25	136414.43	6.0594,0.937,2.2109,0.3034
three_epoch	Round_2_Replicate_30	-132564.02	265136.04	251512.13	621497.47	2.3413,0.417,0.7787,1.7426
three_epoch	Round_3_Replicate_1	-63029.2	126066.4	114622.33	236708.33	16.1119,0.6624,2.1498,0.83
three_epoch	Round_3_Replicate_2	-82791.49	165590.98	151778.91	276195.88	2.0995,0.6904,17.0646,0.9123
three_epoch	Round_3_Replicate_3	-36188.4	72384.8	65707.87	176885.44	14.8087,0.5756,4.7681,0.6877
three_epoch	Round_3_Replicate_4	-31480.29	62968.58	58077.12	53406.93	8.5682,0.97,23.5538,0.3135
three_epoch	Round_3_Replicate_5	-49185.49	98378.98	89194.01	180104.23	29.7347,0.725,4.1879,0.9876
three_epoch	Round_3_Replicate_6	-33231.91	66471.82	60374.58	245764.9	26.2811,0.39,6.5344,0.7277
three_epoch	Round_3_Replicate_7	-11125.37	22258.74	20728.97	422343.63	4.039,0.0664,2.7145,0.0755
three_epoch	Round_3_Replicate_8	-16049.87	32107.74	29789.67	34472.78	21.1006,0.743,29.5325,0.3756
three_epoch	Round_3_Replicate_9	-15703.96	31415.92	29076.81	43857.06	17.407,0.77,26.7178,0.4651
three_epoch	Round_3_Replicate_10	-10152.2	20312.4	18966.06	69082.57	17.1004,0.3382,25.4122,0.3373
three_epoch	Round_3_Replicate_11	-65374.31	130756.62	119396.86	124366.28	3.2185,1.2251,17.1257,0.5925
three_epoch	Round_3_Replicate_12	-31072.38	62152.76	56556.33	91405.44	7.4443,0.96,20.8529,0.7894
three_epoch	Round_3_Replicate_13	-24380.56	48769.12	44574.52	175069.72	3.8396,0.3957,13.9573,0.3095
three_epoch	Round_3_Replicate_14	-36452.07	72912.14	66365.1	96607.25	19.7969,0.9822,6.5886,0.785
three_epoch	Round_3_Replicate_15	-56016.1	112040.2	101919.71	157873.77	5.9897,0.8745,3.4062,0.6424
three_epoch	Round_3_Replicate_16	-22363.69	44735.38	40922.25	97860.88	27.112,0.6806,13.9121,0.9156
three_epoch	Round_3_Replicate_17	-64122.49	128252.98	116615.71	281367.67	5.2645,0.5669,4.0999,0.9397
three_epoch	Round_3_Replicate_18	-20150.82	40309.64	37051.63	239122.8	21.2997,0.2164,2.3632,0.1889
three_epoch	Round_3_Replicate_19	-61653.26	123314.52	112050.49	226601.57	23.1852,0.6833,3.0016,1.0197
three_epoch	Round_3_Replicate_20	-68093.79	136195.58	124749.03	193648.82	1.9326,0.7845,16.3658,0.3087
three_epoch	Round_3_Replicate_21	-21051.49	42110.98	38649.17	138655.18	11.494,0.4053,5.653,0.3311
three_epoch	Round_3_Replicate_22	-6788.24	13584.48	12822.28	75452.5	23.8831,0.121,29.6251,0.1565
three_epoch	Round_3_Replicate_23	-17558.54	35125.08	32312.4	108171.43	25.4883,0.4807,14.7313,0.6812
