Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, TB, TF)
three_epoch	Round_1_Replicate_1	-99527.13	199062.26	185385.32	275788.96	7.8035,0.7324,0.2614,0.3744
three_epoch	Round_1_Replicate_2	-135544.5	271097.0	257804.83	1434963.14	3.6601,0.1831,0.1281,1.0499
three_epoch	Round_1_Replicate_3	-405189.85	810387.7	1034756.05	81970.43	0.4142,6.2584,0.4119,2.2531
three_epoch	Round_1_Replicate_4	-137852.81	275713.62	265780.26	229672.43	5.6318,1.0352,0.2327,0.3155
three_epoch	Round_1_Replicate_5	-160844.8	321697.6	312873.3	67203.13	1.3046,4.3366,0.6177,7.8676
three_epoch	Round_1_Replicate_6	-329882.77	659773.54	759564.53	273804.27	0.3755,1.7239,1.2886,0.545
three_epoch	Round_1_Replicate_7	-127332.37	254672.74	240332.47	349934.47	0.6601,0.7285,0.616,0.2531
three_epoch	Round_1_Replicate_8	-349024.4	698056.8	764813.46	246362.8	0.6454,3.0462,2.7058,0.263
three_epoch	Round_1_Replicate_9	-306531.0	613070.0	648053.11	184746.22	0.8337,3.5799,0.3438,0.3405
three_epoch	Round_1_Replicate_10	-293183.73	586375.46	656921.07	68981.75	1.0808,6.0151,1.1918,3.1993
three_epoch	Round_1_Replicate_11	-18813.36	37634.72	34582.36	229403.2	4.821,0.235,5.0535,0.2202
three_epoch	Round_1_Replicate_12	-110932.24	221872.48	206978.48	1294530.26	1.0844,0.1789,1.1565,0.5691
three_epoch	Round_1_Replicate_13	-613548.77	1227105.54	2073997.11	125838.69	0.1629,5.2966,1.529,1.3314
three_epoch	Round_1_Replicate_14	-138135.83	276279.66	263308.11	1276870.72	0.2328,0.2082,3.5994,2.1003
three_epoch	Round_1_Replicate_15	-118245.95	236499.9	221829.36	227724.77	1.6178,1.0589,2.9659,1.1881
three_epoch	Round_2_Replicate_1	-12870.57	25749.14	23972.83	62778.06	11.3597,0.319,19.3626,0.1761
