Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, TB, TF)
three_epoch	Round_1_Replicate_1	-85422.02	170852.04	156814.34	625373.3	1.9601,0.3116,1.8476,0.6533
three_epoch	Round_1_Replicate_2	-197763.38	395534.76	392785.14	137954.39	1.712,2.6718,3.4052,0.4345
three_epoch	Round_1_Replicate_3	-158445.84	316899.68	307038.65	963719.15	0.2427,0.3031,1.225,0.131
three_epoch	Round_1_Replicate_4	-401536.04	803080.08	956435.28	433827.54	0.2849,1.5043,2.3204,0.223
three_epoch	Round_1_Replicate_5	-190637.75	381283.5	378714.42	619433.96	0.3476,0.5471,2.576,0.1553
three_epoch	Round_1_Replicate_6	-286452.36	572912.72	635397.57	94104.36	7.6631,4.3873,0.2346,1.8418
three_epoch	Round_1_Replicate_7	-125947.28	251902.56	237681.2	892301.11	0.6032,0.2813,4.4109,0.7443
three_epoch	Round_1_Replicate_8	-122278.84	244565.68	230093.93	413429.14	5.2997,0.5961,2.1463,1.9938
three_epoch	Round_1_Replicate_9	-138128.62	276265.24	263292.74	865119.35	0.6881,0.3073,0.4308,3.231
three_epoch	Round_1_Replicate_10	-137010.36	274028.72	260914.2	1629280.65	0.6765,0.1624,1.0505,1.0154
three_epoch	Round_1_Replicate_11	-138136.64	276281.28	263309.84	1178856.05	0.1413,0.2255,2.2315,7.229
three_epoch	Round_1_Replicate_12	-125349.23	250706.46	236440.39	825198.48	5.324,0.3033,0.2718,1.0798
three_epoch	Round_1_Replicate_13	-138131.43	276270.86	263298.74	737881.34	0.3267,0.3603,0.2023,3.7029
three_epoch	Round_1_Replicate_14	-161754.23	323516.46	313361.09	469329.85	0.19,0.6447,0.1887,0.2948
three_epoch	Round_1_Replicate_15	-32734.26	65476.52	59641.4	512197.01	4.3499,0.1699,0.1683,0.1192
three_epoch	Round_2_Replicate_1	-25269.24	50546.48	46227.75	540268.47	2.0058,0.1254,0.2812,0.0879
three_epoch	Round_2_Replicate_2	-99569.99	199147.98	188555.48	290695.07	14.2794,0.4561,0.0426,0.0624
three_epoch	Round_2_Replicate_3	-86581.58	173171.16	162722.62	304749.77	9.4229,0.416,0.0517,0.0752
three_epoch	Round_2_Replicate_4	-40227.52	80463.04	73100.53	515372.23	2.8496,0.2069,0.1061,0.1478
three_epoch	Round_2_Replicate_5	-39138.49	78284.98	70995.09	769455.29	3.239,0.1423,0.48,0.2027
three_epoch	Round_2_Replicate_6	-58484.02	116976.04	106670.05	387025.5	2.0397,0.3568,0.2722,0.2001
three_epoch	Round_2_Replicate_7	-49597.09	99202.18	89942.48	677581.61	4.2458,0.194,0.0418,0.217
three_epoch	Round_2_Replicate_8	-95342.61	190693.22	178567.01	289212.74	1.2111,0.5969,0.4898,0.1245
three_epoch	Round_2_Replicate_9	-59643.85	119295.7	108339.53	663212.35	1.7064,0.2279,0.188,0.2883
three_epoch	Round_2_Replicate_10	-47990.45	95988.9	87040.6	605726.12	7.561,0.2105,0.0787,0.2111
three_epoch	Round_2_Replicate_11	-37498.81	75005.62	68307.13	484341.1	15.8537,0.1966,0.0413,0.1125
three_epoch	Round_2_Replicate_12	-58284.07	116576.14	107650.56	357583.14	1.1173,0.2904,0.107,0.0713
three_epoch	Round_2_Replicate_13	-26609.11	53226.22	48628.99	502549.09	14.953,0.1426,0.3299,0.1129
three_epoch	Round_2_Replicate_14	-54514.38	109036.76	98917.2	633493.77	4.2477,0.2231,0.2334,0.2797
three_epoch	Round_2_Replicate_15	-56229.85	112467.7	103475.41	365504.08	16.9727,0.3001,0.0671,0.1029
