Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
asym_mig_size	Round_4_Replicate_10	-37492.15	75000.3	97111.86	35353.28	0.1522,1.5589,0.2956,0.4674,8.2171,0.1242,3.0041,0.7745
asym_mig_size	Round_4_Replicate_11	-30631.21	61278.42	99043.71	24347.54	0.1341,1.5156,0.3652,0.4911,7.8366,0.523,3.0266,0.3101
asym_mig_size	Round_4_Replicate_12	-28453.51	56923.02	66978.2	23714.6	0.1048,2.6054,0.317,0.4564,7.3732,0.1349,1.9928,0.3587
asym_mig_size	Round_4_Replicate_13	-38638.06	77292.12	89563.49	30542.49	0.1553,0.9911,0.338,0.4203,5.1674,0.4277,1.0999,0.2838
asym_mig_size	Round_4_Replicate_14	-32332.32	64680.64	99777.33	24855.87	0.0541,1.5461,0.3526,0.5577,7.595,0.4346,3.0573,0.4053
asym_mig_size	Round_4_Replicate_15	-29462.28	58940.56	83825.19	37855.65	0.1803,1.32,0.2443,0.2997,11.7052,0.4197,0.9836,0.2836
asym_mig_size	Round_4_Replicate_16	-36328.72	72673.44	119587.19	38129.93	0.0402,0.8066,0.3382,0.3503,9.9382,0.2066,2.281,0.232
asym_mig_size	Round_4_Replicate_17	-44819.57	89655.14	114460.39	28231.75	0.083,0.8668,0.452,0.6105,4.8052,0.2156,1.5673,0.5071
asym_mig_size	Round_4_Replicate_18	-30643.79	61303.58	67535.82	29738.81	0.116,1.4753,0.2564,0.253,7.3273,0.447,2.2383,0.1938
asym_mig_size	Round_4_Replicate_19	-24691.63	49399.26	70097.59	30749.11	0.0742,2.1833,0.236,0.2758,12.5574,0.4351,3.0794,0.3032
asym_mig_size	Round_4_Replicate_20	-34050.39	68116.78	74618.61	30470.8	0.101,2.3414,0.2523,0.3475,6.485,0.3433,1.2923,0.3748
asym_mig_size	Round_4_Replicate_21	-29894.44	59804.88	74474.06	29635.8	0.1624,1.9241,0.3184,0.3518,8.22,0.2916,1.3164,0.3288
asym_mig_size	Round_4_Replicate_22	-31266.18	62548.36	74966.69	47207.98	0.1011,1.5919,0.1695,0.2977,13.5304,0.1589,0.9803,0.4045
asym_mig_size	Round_4_Replicate_23	-36443.98	72903.96	81010.56	44095.49	0.0562,0.8568,0.1975,0.2997,8.8579,0.1441,2.3406,0.2584
asym_mig_size	Round_4_Replicate_24	-49666.77	99349.54	157267.06	41141.0	0.1613,0.973,0.4188,0.3766,7.8267,0.1628,1.1702,0.7777
asym_mig_size	Round_4_Replicate_25	-34423.63	68863.26	98577.58	39945.24	0.1202,1.9976,0.1798,0.4304,13.3605,0.2629,0.8039,0.5503
asym_mig_size	Round_4_Replicate_26	-34049.39	68114.78	110305.08	30735.76	0.0653,1.2882,0.2373,0.5382,11.0665,0.1527,1.8672,0.3469
asym_mig_size	Round_4_Replicate_27	-39287.64	78591.28	108969.91	42132.03	0.0707,0.982,0.2765,0.3943,9.556,0.1395,0.787,0.557
asym_mig_size	Round_4_Replicate_28	-33554.3	67124.6	89372.05	33389.49	0.0742,1.2271,0.2288,0.4775,10.3051,0.1718,1.0306,0.3307
asym_mig_size	Round_4_Replicate_29	-23805.86	47627.72	56949.58	34355.85	0.0723,2.1156,0.1743,0.2361,14.5118,0.3181,2.479,0.2482
asym_mig_size	Round_4_Replicate_30	-25157.98	50331.96	78650.86	20590.65	0.1018,2.7256,0.2819,0.4151,10.3055,0.1286,2.8776,0.2339
asym_mig_size	Round_4_Replicate_31	-34911.13	69838.26	108243.17	22908.69	0.117,1.6023,0.4298,0.627,6.6032,0.1273,1.6206,0.3037
asym_mig_size	Round_4_Replicate_32	-32986.73	65989.46	86163.45	24266.92	0.0915,2.1847,0.469,0.3723,6.5278,0.1429,0.888,0.203
asym_mig_size	Round_4_Replicate_33	-38330.15	76676.3	132192.06	30331.91	0.1892,1.1514,0.2501,0.6339,10.2389,0.3588,2.0797,0.4973
asym_mig_size	Round_4_Replicate_34	-37601.64	75219.28	267038.98	30588.14	0.0782,2.8308,0.4896,0.3219,11.8345,0.1827,1.3858,0.3962
asym_mig_size	Round_4_Replicate_35	-34163.97	68343.94	110741.75	28213.08	0.0546,1.0755,0.5801,0.3283,7.9807,0.3236,2.7617,0.1728
asym_mig_size	Round_4_Replicate_36	-38781.4	77578.8	111127.61	34263.98	0.0642,0.9409,0.3318,0.4823,7.8909,0.3036,0.8935,0.4867
asym_mig_size	Round_4_Replicate_37	-35868.36	71752.72	106204.34	20710.61	0.1342,2.3322,0.544,0.6791,5.1082,0.2739,1.5001,0.5502
asym_mig_size	Round_4_Replicate_38	-33216.65	66449.3	128881.52	43290.68	0.085,1.46,0.2421,0.3157,13.8526,0.3801,1.551,0.4512
asym_mig_size	Round_4_Replicate_39	-38680.84	77377.68	118624.09	23686.03	0.1309,1.3256,0.4961,0.6747,5.5437,0.314,3.2656,0.6403
asym_mig_size	Round_4_Replicate_40	-36319.94	72655.88	81201.79	32311.6	0.1099,1.5481,0.2612,0.364,6.4342,0.1309,1.2374,0.3456
