Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
asym_mig_size	Round_1_Replicate_1	-78949.22	157914.44	498185.55	17702.77	0.2325,0.5996,2.6548,1.0072,3.2761,0.1332,0.3651,0.3379
asym_mig_size	Round_1_Replicate_2	-99536.43	199088.86	17657926.5	6844.64	0.9496,0.6246,4.6276,2.835,2.9304,0.5318,1.8775,4.3459
asym_mig_size	Round_1_Replicate_3	-91574.18	183164.36	370655.74	7393.5	0.1244,1.0414,5.2384,0.4989,0.2411,0.9342,0.2054,3.5815
asym_mig_size	Round_1_Replicate_4	-144546.28	289108.56	783988.24	22293.87	0.3887,0.1919,2.0202,2.2894,0.1249,1.9414,5.9664,0.2103
asym_mig_size	Round_1_Replicate_5	-99441.68	198899.36	1378627.23	14041.3	0.1662,1.7279,2.2733,2.5193,2.1536,0.8378,0.1408,0.4102
asym_mig_size	Round_1_Replicate_6	-116592.31	233200.62	451030.77	30405.03	0.7503,4.0066,0.3734,0.2427,0.4675,0.6912,0.4869,0.3275
asym_mig_size	Round_1_Replicate_7	-165928.54	331873.08	722589.48	26405.45	1.7382,0.3362,0.2577,3.7751,0.5059,3.3989,0.3788,1.1961
asym_mig_size	Round_1_Replicate_8	-177778.42	355572.84	1086669.62	38143.83	0.1224,2.0899,0.2523,0.2493,0.5804,0.3197,0.3645,1.118
asym_mig_size	Round_1_Replicate_9	-101210.9	202437.8	286534.5	20293.4	1.8195,4.1787,0.3717,1.4525,0.9684,1.7139,0.9255,2.9588
asym_mig_size	Round_1_Replicate_10	-156570.04	313156.08	1111334.33	9078.47	2.3419,0.6927,6.4801,0.442,0.3284,0.2167,1.5575,0.6169
asym_mig_size	Round_2_Replicate_1	-76448.53	152913.06	228587.58	19146.22	0.2141,0.6476,0.7471,1.3335,1.3267,0.2899,0.628,0.5347
asym_mig_size	Round_2_Replicate_2	-135662.39	271340.78	660076.4	17377.42	0.6261,0.2004,2.7923,2.7849,1.9437,0.0824,0.5014,0.2632
asym_mig_size	Round_2_Replicate_3	-127793.44	255602.88	1348165.18	12423.93	0.1676,0.1852,4.9449,1.2338,2.3039,0.1701,0.8237,1.3073
asym_mig_size	Round_2_Replicate_4	-116191.93	232399.86	3779376.38	19661.72	0.2369,0.204,2.9499,0.9383,5.0673,0.0833,0.4645,0.9587
asym_mig_size	Round_2_Replicate_5	-89451.94	178919.88	298076.24	30293.92	0.1407,0.1925,1.3495,2.5581,3.0113,0.1878,0.2549,0.099
asym_mig_size	Round_2_Replicate_6	-94827.03	189670.06	5527671.64	13530.72	0.3786,1.0933,2.6892,1.7355,3.9146,0.4545,1.217,0.4317
asym_mig_size	Round_2_Replicate_7	-56839.8	113695.6	152204.91	22467.86	0.4035,1.4784,0.8911,0.6249,2.3546,0.1902,0.1953,0.1589
asym_mig_size	Round_2_Replicate_8	-84624.17	169264.34	317432.03	15975.59	0.0878,1.8681,4.5181,0.6415,2.9037,0.034,0.1706,0.4632
asym_mig_size	Round_2_Replicate_9	-132896.06	265808.12	1402117.56	19181.84	0.3673,0.2108,5.5892,0.6109,4.3119,0.1295,0.3793,0.6374
asym_mig_size	Round_2_Replicate_10	-120873.88	241763.76	1489131.59	22100.03	0.2759,0.2659,4.6378,0.5074,5.317,0.4744,0.6663,0.6343
asym_mig_size	Round_2_Replicate_11	-83164.62	166345.24	278832.1	13710.03	0.21,1.4942,2.6862,0.6971,2.0409,0.0635,1.4559,0.9927
asym_mig_size	Round_2_Replicate_12	-116049.02	232114.04	481302.12	20467.86	0.107,0.2528,0.8096,3.6197,1.5845,0.2857,1.1488,0.4076
asym_mig_size	Round_2_Replicate_13	-122914.65	245845.3	508886.42	13843.33	0.2936,0.6363,5.7432,0.5255,2.4091,0.1518,0.0877,1.2072
asym_mig_size	Round_2_Replicate_14	-61487.58	122991.16	172648.77	21127.43	0.3078,0.9878,1.3627,0.6848,2.5574,0.0481,0.4468,0.145
asym_mig_size	Round_2_Replicate_15	-130112.23	260240.46	1372619.45	16501.5	0.1521,0.4151,7.9228,0.6733,3.9078,0.0629,0.9869,1.0284
asym_mig_size	Round_2_Replicate_16	-105460.15	210936.3	3921326.4	21425.38	0.1711,0.2132,6.0746,3.5731,6.8008,0.4749,0.2097,0.1582
asym_mig_size	Round_2_Replicate_17	-87861.31	175738.62	249249.31	19143.98	0.238,0.8268,7.5466,1.7402,2.2235,0.0466,0.3079,0.1161
asym_mig_size	Round_2_Replicate_18	-71279.52	142575.04	2785515.13	19336.23	0.2325,1.8812,0.7609,1.3758,8.328,0.0538,0.1812,0.5092
asym_mig_size	Round_2_Replicate_19	-112799.83	225615.66	405302.14	19759.47	0.1152,2.1966,2.1938,1.1021,2.0223,0.0654,0.3162,0.1039
asym_mig_size	Round_2_Replicate_20	-95393.43	190802.86	2975862.33	14987.29	0.0847,0.3196,0.7279,3.384,6.5721,0.0577,0.1148,0.7512
asym_mig_size	Round_3_Replicate_1	-68245.26	136506.52	798002.04	22007.22	0.3169,0.5986,0.7863,2.0713,5.9888,0.3439,0.2615,0.1715
asym_mig_size	Round_3_Replicate_2	-86520.1	173056.2	207042.67	25686.94	0.396,1.4665,0.3319,0.8127,0.6679,0.1079,0.1863,0.0597
asym_mig_size	Round_3_Replicate_3	-58493.61	117003.22	274904.67	23855.96	0.7514,0.7834,1.976,0.6908,0.7051,0.3368,0.0888,0.0334
asym_mig_size	Round_3_Replicate_4	-71320.99	142657.98	915336.76	21066.34	0.8485,1.6411,1.2974,1.2948,2.5702,0.4716,0.0689,0.1029
asym_mig_size	Round_3_Replicate_5	-142172.74	284361.48	491210.2	16596.88	0.4337,5.2141,0.3197,1.157,0.6476,0.2543,0.7299,0.0732
asym_mig_size	Round_3_Replicate_6	-32849.61	65715.22	76480.65	42484.85	1.2126,1.021,0.2306,0.2213,10.251,0.1193,0.2756,0.2091
asym_mig_size	Round_3_Replicate_7	-49261.6	98539.2	133426.38	26842.68	1.266,0.4352,0.3753,0.6872,0.8965,0.6816,0.1034,0.0408
asym_mig_size	Round_3_Replicate_8	-73448.06	146912.12	193304.38	22406.73	0.2114,0.4402,2.2205,0.6936,1.0493,0.1478,0.0711,0.1497
asym_mig_size	Round_3_Replicate_9	-48290.5	96597.0	137701.0	25050.33	0.3041,0.598,0.549,0.8047,4.4539,0.207,0.1748,0.3723
asym_mig_size	Round_3_Replicate_10	-81701.56	163419.12	289819.91	13235.17	1.0934,5.2728,1.9974,1.043,1.121,0.3892,0.6102,0.2478
asym_mig_size	Round_3_Replicate_11	-96632.65	193281.3	352634.45	25581.91	0.302,0.3849,2.4621,0.2374,1.1152,0.4851,0.2387,0.1274
asym_mig_size	Round_3_Replicate_12	-114742.3	229500.6	524721.01	21649.29	0.5228,0.5391,1.4392,0.5883,0.7649,0.0971,0.5912,0.1416
asym_mig_size	Round_3_Replicate_13	-80687.57	161391.14	205787.25	24787.05	0.2758,0.8358,2.2056,0.6137,0.8305,0.4509,0.1582,0.0668
asym_mig_size	Round_3_Replicate_14	-55520.29	111056.58	139906.66	34998.48	0.2319,1.048,0.2623,0.4349,3.9787,0.0856,0.0938,0.4406
asym_mig_size	Round_3_Replicate_15	-82154.59	164325.18	301365.59	31376.22	0.2701,3.1346,0.5534,0.2152,1.6,0.7058,0.2056,0.4734
asym_mig_size	Round_3_Replicate_16	-92855.96	185727.92	302456.04	34907.24	0.2467,1.4209,0.3506,0.216,0.9651,0.2528,0.0994,0.1736
asym_mig_size	Round_3_Replicate_17	-65262.7	130541.4	207012.87	24333.91	0.3474,1.7955,0.7198,1.4931,1.0471,0.0898,0.0675,0.0632
asym_mig_size	Round_3_Replicate_18	-38349.13	76714.26	108224.47	33022.41	0.3217,4.6219,0.3346,0.5021,7.7346,0.2493,0.2035,0.5952
