Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-115720.94	231449.88	535865.81	19846.09	0.8718,0.2865,0.456,5.4075
sym_mig	Round_1_Replicate_2	-57685.0	115378.0	148113.23	18397.07	0.6522,0.906,1.3123,2.5666
sym_mig	Round_1_Replicate_3	-136075.49	272158.98	812032.29	5472.38	6.5017,0.4261,0.2538,8.4214
sym_mig	Round_1_Replicate_4	-242506.86	485021.72	1321923.32	7416.83	0.3519,5.5398,0.1819,6.2396
sym_mig	Round_1_Replicate_5	-150195.98	300399.96	1067315.57	10523.85	3.7622,0.4587,0.2639,1.6994
sym_mig	Round_1_Replicate_6	-124444.8	248897.6	504918.77	9991.5	5.0239,1.4532,0.174,0.8858
sym_mig	Round_1_Replicate_7	-119069.03	238146.06	611830.72	18519.6	1.3746,0.3827,0.3844,1.015
sym_mig	Round_1_Replicate_8	-104907.88	209823.76	350599.71	6228.18	1.7627,5.7137,0.2847,4.1927
sym_mig	Round_1_Replicate_9	-109666.15	219340.3	1629189.67	12737.76	6.1828,1.0386,1.5129,0.477
sym_mig	Round_1_Replicate_10	-66617.3	133242.6	182816.86	22147.43	3.9873,0.1904,1.9963,0.1281
sym_mig	Round_2_Replicate_1	-56661.04	113330.08	320527.54	21708.19	0.5221,0.8922,2.9738,1.5588
sym_mig	Round_2_Replicate_2	-51061.49	102130.98	502408.55	14529.71	1.2249,0.799,2.5612,3.4399
sym_mig	Round_2_Replicate_3	-97866.55	195741.1	415363.64	16266.11	1.813,0.478,0.5119,0.9524
sym_mig	Round_2_Replicate_4	-55131.15	110270.3	149011.33	5440.71	2.171,3.06,0.4445,13.8066
sym_mig	Round_2_Replicate_5	-103136.82	206281.64	467719.11	13449.23	2.6177,0.3189,0.6665,1.7292
sym_mig	Round_2_Replicate_6	-58851.52	117711.04	140884.01	34928.6	0.318,0.4369,2.2365,5.1149
sym_mig	Round_2_Replicate_7	-54908.38	109824.76	148437.88	13007.38	1.2522,0.7377,0.7173,8.1791
sym_mig	Round_2_Replicate_8	-56662.66	113333.32	1475656.84	9473.42	1.5869,1.3247,2.4579,12.0558
sym_mig	Round_2_Replicate_9	-71320.99	142649.98	803740.94	10167.6	0.9386,2.8952,1.8608,4.1696
sym_mig	Round_2_Replicate_10	-42898.63	85805.26	136051.41	18496.81	1.0169,0.4861,2.0542,7.1195
