Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T)
sym_mig	Round_1_Replicate_1	-77680.78	155369.56	211888.85	20541.1	5.3717,0.2419,0.522,0.139
sym_mig	Round_1_Replicate_2	-253893.99	507795.98	2710419.15	40122.7	0.2052,0.1711,0.2988,2.4219
sym_mig	Round_1_Replicate_3	-148251.29	296510.58	525879.76	9705.24	0.6331,3.6923,0.2973,3.5826
sym_mig	Round_1_Replicate_4	-73167.69	146343.38	711246.46	22161.9	2.7466,0.2005,6.5368,0.5294
sym_mig	Round_1_Replicate_5	-104828.02	209664.04	372798.83	4515.46	2.8414,6.6665,0.1649,6.1954
sym_mig	Round_1_Replicate_6	-154869.24	309746.48	620449.58	25875.53	0.338,0.9224,0.1867,0.4841
sym_mig	Round_1_Replicate_7	-229723.52	459455.04	1576878.69	18173.57	0.3005,1.9027,0.1874,1.2509
sym_mig	Round_1_Replicate_8	-143932.01	287872.02	917589.73	6884.68	4.4819,0.3473,0.2443,7.4436
sym_mig	Round_1_Replicate_9	-111970.49	223948.98	390505.17	12302.08	5.3948,1.1514,0.1596,0.5065
sym_mig	Round_1_Replicate_10	-69489.37	138986.74	3721395.59	15696.37	1.3973,0.6967,4.7025,2.0907
sym_mig	Round_2_Replicate_1	-46945.64	93899.28	209637.16	24060.63	0.9978,0.3033,3.6433,3.6934
sym_mig	Round_2_Replicate_2	-71068.12	142144.24	7720021.87	19083.67	1.0425,0.5248,7.9229,3.9317
sym_mig	Round_2_Replicate_3	-54664.89	109337.78	478721.83	25619.43	1.1923,0.2416,5.8001,0.6332
sym_mig	Round_2_Replicate_4	-125491.25	250990.5	575989675.28	5932.32	3.8374,2.4061,6.0802,5.5266
sym_mig	Round_2_Replicate_5	-42495.61	84999.22	141122.34	49301.73	0.3557,0.1978,5.6185,5.4625
sym_mig	Round_2_Replicate_6	-54547.85	109103.7	256551.31	12955.25	2.4306,0.4502,2.261,9.954
