Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, T3)
sec_contact_asym_mig_three_epoch	Round_3_Replicate_30	-131340.85	262695.7	1808557.79	4606.98	9.0197,5.3418,3.5922,0.2739,2.4209,0.2454,0.0434
sec_contact_asym_mig_three_epoch	Round_4_Replicate_1	-68743.58	137501.16	203526.95	1341.67	18.8789,8.6211,0.7696,0.3629,22.8374,2.1709,0.1259
sec_contact_asym_mig_three_epoch	Round_4_Replicate_2	-55439.7	110893.4	148004.76	1221.47	16.4734,10.7568,0.5825,0.2691,28.5563,1.7311,0.0775
sec_contact_asym_mig_three_epoch	Round_4_Replicate_3	-81680.33	163374.66	248267.5	1719.12	10.2203,5.6949,0.2948,0.3096,24.0982,2.5166,0.2676
sec_contact_asym_mig_three_epoch	Round_4_Replicate_4	-43219.5	86453.0	102001.74	1425.02	14.6957,6.0735,0.7702,0.607,29.5438,1.3163,0.146
sec_contact_asym_mig_three_epoch	Round_4_Replicate_5	-46666.5	93347.0	111244.7	1421.47	14.936,5.582,0.5229,0.6902,28.8375,1.4021,0.1754
sec_contact_asym_mig_three_epoch	Round_4_Replicate_6	-78476.89	156967.78	220652.15	1389.07	11.934,15.1125,0.8214,0.2363,19.8828,2.7074,0.2369
sec_contact_asym_mig_three_epoch	Round_4_Replicate_7	-90772.47	181558.94	309440.39	1801.87	12.5179,5.2076,0.6956,0.2168,22.7137,2.5221,0.2061
sec_contact_asym_mig_three_epoch	Round_4_Replicate_8	-48325.82	96665.64	117521.97	1397.78	14.0024,7.2624,0.5081,0.4636,28.9804,1.1686,0.144
sec_contact_asym_mig_three_epoch	Round_4_Replicate_9	-80382.72	160779.44	252827.19	1369.93	19.4701,6.0161,0.5221,0.2326,25.2077,2.3964,0.2086
sec_contact_asym_mig_three_epoch	Round_4_Replicate_10	-61162.36	122338.72	163471.89	1319.27	16.8551,5.5506,0.3501,0.8581,29.2001,2.1732,0.1122
sec_contact_asym_mig_three_epoch	Round_4_Replicate_11	-70299.04	140612.08	199315.37	1456.08	13.1524,5.3777,0.2718,0.4477,29.7772,2.4454,0.1078
sec_contact_asym_mig_three_epoch	Round_4_Replicate_12	-57407.94	114829.88	158200.63	1203.31	16.3279,10.4504,0.3826,0.3727,29.5563,1.3128,0.1862
