Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, T)
bottlegrowth	Round_1_Replicate_1	-90655.49	181316.98	161591.27	2429300.41	0.239,0.1311,2.8006
bottlegrowth	Round_1_Replicate_2	-57789.85	115585.7	104645.66	460403.23	2.7378,0.5596,3.8363
bottlegrowth	Round_1_Replicate_3	-15979.02	31964.04	30891.8	431084.27	6.0812,0.223,0.2721
bottlegrowth	Round_1_Replicate_4	-256481.06	512968.12	494485.06	108092.91	0.1905,5.0731,8.8634
bottlegrowth	Round_1_Replicate_5	-85363.09	170732.18	152216.07	825315.44	0.4188,0.3767,1.4551
bottlegrowth	Round_1_Replicate_6	-247369.55	494745.1	489497.71	179551.84	6.8785,2.1209,0.7023
bottlegrowth	Round_1_Replicate_7	-91763.52	183533.04	163566.79	1318573.24	0.3114,0.243,2.8977
bottlegrowth	Round_1_Replicate_8	-77891.29	155788.58	139095.68	1161035.23	1.923,0.2561,5.0606
bottlegrowth	Round_1_Replicate_9	-187122.6	374251.2	345201.59	219742.59	0.7219,2.1166,1.9546
bottlegrowth	Round_1_Replicate_10	-133344.85	266695.7	237143.17	376251.75	0.2161,1.8471,0.195
bottlegrowth	Round_1_Replicate_11	-78942.88	157891.76	140930.9	2559736.23	0.4636,0.1169,1.6829
bottlegrowth	Round_1_Replicate_12	-352272.05	704550.1	721334.12	141902.54	0.1232,4.8229,4.6944
bottlegrowth	Round_1_Replicate_13	-31609.21	63224.42	61967.41	797367.56	0.8085,0.206,0.5103
bottlegrowth	Round_1_Replicate_14	-101204.06	202414.12	180540.67	947136.9	0.1967,0.3538,4.6536
bottlegrowth	Round_1_Replicate_15	-20677.05	41360.1	39429.16	432040.98	2.7111,0.2792,0.2651
bottlegrowth	Round_2_Replicate_1	-44777.01	89560.02	80782.9	344502.91	3.6693,0.4678,0.274
bottlegrowth	Round_2_Replicate_2	-45325.97	90657.94	81590.83	299540.65	8.9857,0.5542,0.5545
bottlegrowth	Round_2_Replicate_3	-33515.59	67037.18	61615.46	402871.9	19.1076,0.2775,0.0868
bottlegrowth	Round_2_Replicate_4	-25516.9	51039.8	50626.33	522021.03	3.8625,0.2416,0.5707
bottlegrowth	Round_2_Replicate_5	-14306.21	28618.42	28238.76	465067.25	5.7568,0.1614,0.2001
bottlegrowth	Round_2_Replicate_6	-31860.19	63726.38	63546.6	2008237.99	2.9157,0.0723,0.72
bottlegrowth	Round_2_Replicate_7	-71603.13	143212.26	128896.72	293212.1	4.3698,0.7175,0.4415
bottlegrowth	Round_2_Replicate_8	-12781.21	25568.42	25245.46	490778.45	13.7568,0.0921,0.0749
bottlegrowth	Round_2_Replicate_9	-16172.83	32351.66	31714.95	453714.85	5.252,0.204,0.2665
bottlegrowth	Round_2_Replicate_10	-32194.24	64394.48	64356.89	2882524.88	1.8636,0.0486,0.5194
bottlegrowth	Round_2_Replicate_11	-23121.33	46248.66	46054.77	543699.58	2.2654,0.1899,0.2993
bottlegrowth	Round_2_Replicate_12	-34314.91	68635.82	62096.14	331850.09	7.6343,0.4515,0.4704
bottlegrowth	Round_2_Replicate_13	-23113.95	46233.9	43903.97	437098.79	1.8454,0.3023,0.2482
bottlegrowth	Round_2_Replicate_14	-79567.99	159141.98	143294.25	327349.63	2.529,0.5818,0.1076
