Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, T)
bottlegrowth	Round_1_Replicate_1	-75613.57	151233.14	136494.99	425102.31	0.2874,0.8629,0.2007
bottlegrowth	Round_1_Replicate_2	-85998.9	172003.8	153328.04	2396629.44	0.4217,0.1298,2.674
bottlegrowth	Round_1_Replicate_3	-110720.52	221447.04	198601.92	442122.78	0.1798,1.1824,0.2199
bottlegrowth	Round_1_Replicate_4	-32791.74	65589.48	65648.02	833637.02	0.1879,0.166,0.164
bottlegrowth	Round_1_Replicate_5	-44391.6	88789.2	82546.76	776672.96	7.3747,0.2879,3.4664
bottlegrowth	Round_1_Replicate_6	-40618.33	81242.66	75253.8	245705.28	8.229,0.8432,2.6645
bottlegrowth	Round_1_Replicate_7	-35208.21	70422.42	69605.32	669008.36	0.1651,0.2698,0.147
bottlegrowth	Round_1_Replicate_8	-62094.07	124194.14	111956.16	1171359.14	2.0432,0.2284,2.8426
bottlegrowth	Round_1_Replicate_9	-309119.89	618245.78	610557.98	192949.05	5.2938,2.6364,0.4403
bottlegrowth	Round_1_Replicate_10	-84594.08	169194.16	150847.3	399836.47	1.2973,0.772,6.0113
bottlegrowth	Round_1_Replicate_11	-90763.18	181532.36	164661.16	298995.34	4.6898,0.6767,0.2386
bottlegrowth	Round_1_Replicate_12	-335161.56	670329.12	646884.7	203970.31	0.6702,4.5422,0.6619
bottlegrowth	Round_1_Replicate_13	-64504.27	129014.54	116049.5	809992.01	0.6251,0.3365,1.29
bottlegrowth	Round_1_Replicate_14	-82504.44	165014.88	147168.12	450405.17	1.121,0.6775,4.2695
bottlegrowth	Round_1_Replicate_15	-117339.18	234684.36	210125.47	514159.86	0.3143,0.6987,3.2359
bottlegrowth	Round_2_Replicate_1	-20721.53	41449.06	40860.39	493149.59	0.3377,0.2353,0.0831
bottlegrowth	Round_2_Replicate_2	-22559.56	45125.12	43876.92	480281.51	0.7104,0.2662,0.149
bottlegrowth	Round_2_Replicate_3	-32855.33	65716.66	64613.68	2332055.8	0.4162,0.072,0.4039
bottlegrowth	Round_2_Replicate_4	-27133.95	54273.9	53873.92	578741.68	0.4385,0.2303,0.172
bottlegrowth	Round_2_Replicate_5	-16059.03	32124.06	31499.28	467404.7	0.5045,0.1915,0.0701
bottlegrowth	Round_2_Replicate_6	-14142.15	28290.3	27783.57	462720.78	0.2136,0.1817,0.0372
bottlegrowth	Round_2_Replicate_7	-32853.75	65713.5	65317.0	1619155.8	0.1364,0.0968,0.2088
bottlegrowth	Round_2_Replicate_8	-16285.6	32577.2	31563.24	450281.62	0.5756,0.2066,0.0698
bottlegrowth	Round_2_Replicate_9	-31891.31	63788.62	63467.59	2158683.86	0.549,0.0695,0.4025
bottlegrowth	Round_2_Replicate_10	-71859.62	143725.24	128665.26	4448157.5	0.1497,0.0646,0.5205
bottlegrowth	Round_2_Replicate_11	-32395.88	64797.76	64557.04	1315450.96	0.1892,0.1141,0.2312
bottlegrowth	Round_2_Replicate_12	-21346.2	42698.4	40522.22	433750.32	0.2369,0.3341,0.0494
bottlegrowth	Round_2_Replicate_13	-10873.47	21752.94	21203.38	444554.45	0.3666,0.1168,0.0294
bottlegrowth	Round_2_Replicate_14	-46717.99	93441.98	84691.21	391325.87	0.6886,0.5606,0.1545
bottlegrowth	Round_2_Replicate_15	-52403.62	104813.24	95841.62	1601445.73	0.2723,0.1542,0.5785
bottlegrowth	Round_2_Replicate_16	-28851.34	57708.68	57678.34	658604.9	0.4416,0.1766,0.1812
bottlegrowth	Round_2_Replicate_17	-37606.25	75218.5	71838.62	1826384.5	0.289,0.1088,0.4285
bottlegrowth	Round_2_Replicate_18	-33247.2	66500.4	66572.25	1112117.27	0.1496,0.1255,0.175
bottlegrowth	Round_2_Replicate_19	-28707.47	57420.94	57384.66	624986.93	0.2999,0.1936,0.136
bottlegrowth	Round_2_Replicate_20	-12652.86	25311.72	24455.3	437347.06	0.2354,0.1627,0.028
bottlegrowth	Round_2_Replicate_21	-33028.92	66063.84	65669.2	2581540.26	0.0848,0.061,0.167
bottlegrowth	Round_2_Replicate_22	-29006.28	58018.56	56849.57	587726.58	0.7835,0.2607,0.3297
bottlegrowth	Round_2_Replicate_23	-36144.65	72295.3	69485.91	2071981.85	0.4709,0.0925,0.5223
bottlegrowth	Round_2_Replicate_24	-19207.02	38420.04	36961.05	446375.68	0.1997,0.3019,0.0456
bottlegrowth	Round_2_Replicate_25	-37163.11	74332.22	71120.67	2834538.84	0.4232,0.0694,0.4806
bottlegrowth	Round_2_Replicate_26	-34405.05	68816.1	66651.31	534770.28	0.2619,0.3589,0.1487
bottlegrowth	Round_2_Replicate_27	-19127.08	38260.16	37930.56	502125.25	0.4,0.1932,0.0815
bottlegrowth	Round_2_Replicate_28	-16190.06	32386.12	31323.2	446156.75	0.1184,0.2904,0.0295
bottlegrowth	Round_2_Replicate_29	-32721.51	65449.02	65493.68	2278392.54	0.1478,0.0604,0.199
bottlegrowth	Round_2_Replicate_30	-12971.39	25948.78	25610.52	469330.69	0.1679,0.1512,0.0296
bottlegrowth	Round_3_Replicate_1	-10508.73	21023.46	20679.36	458113.68	0.1178,0.1188,0.0184
bottlegrowth	Round_3_Replicate_2	-13183.37	26372.74	25752.65	453005.78	0.7279,0.1527,0.0591
bottlegrowth	Round_3_Replicate_3	-19629.35	39264.7	37608.26	443274.78	0.5643,0.2576,0.0824
bottlegrowth	Round_3_Replicate_4	-23502.09	47010.18	44771.15	441964.08	0.1423,0.438,0.0441
bottlegrowth	Round_3_Replicate_5	-15481.86	30969.72	30068.2	449527.95	0.1744,0.2355,0.035
bottlegrowth	Round_3_Replicate_6	-9599.33	19204.66	18894.54	458250.97	0.0958,0.0955,0.0143
bottlegrowth	Round_3_Replicate_7	-25829.59	51665.18	48606.61	431667.88	1.3921,0.3313,0.2202
bottlegrowth	Round_3_Replicate_8	-14524.61	29055.22	28462.58	460874.73	0.4198,0.1754,0.0539
bottlegrowth	Round_3_Replicate_9	-13240.46	26486.92	25721.35	444824.36	0.1398,0.2007,0.0255
bottlegrowth	Round_3_Replicate_10	-7241.91	14489.82	14169.3	443260.76	0.6049,0.0279,0.0104
bottlegrowth	Round_3_Replicate_11	-16075.53	32157.06	30804.96	434691.13	0.1961,0.2466,0.0335
bottlegrowth	Round_3_Replicate_12	-13002.43	26010.86	25411.45	453151.1	0.6421,0.1501,0.0543
bottlegrowth	Round_3_Replicate_13	-10254.74	20515.48	20116.99	452462.24	0.6267,0.0973,0.0349
bottlegrowth	Round_3_Replicate_14	-10581.61	21169.22	20701.09	448255.67	0.0735,0.1556,0.0148
bottlegrowth	Round_3_Replicate_15	-13645.3	27296.6	26771.38	461114.34	0.8009,0.1545,0.0682
bottlegrowth	Round_3_Replicate_16	-9404.42	18814.84	18353.75	442456.83	0.565,0.081,0.0255
bottlegrowth	Round_3_Replicate_17	-9723.86	19453.72	18880.88	436411.04	0.0979,0.1104,0.0127
bottlegrowth	Round_3_Replicate_18	-17052.55	34111.1	32982.72	448105.12	0.2147,0.2548,0.0426
bottlegrowth	Round_3_Replicate_19	-19662.8	39331.6	38296.36	467998.3	0.4978,0.2442,0.0915
bottlegrowth	Round_3_Replicate_20	-10636.67	21279.34	20925.56	458836.35	1.3981,0.0989,0.0527
bottlegrowth	Round_3_Replicate_21	-11406.94	22819.88	22061.03	435614.65	0.0837,0.1774,0.0153
bottlegrowth	Round_3_Replicate_22	-20805.36	41616.72	39996.27	449867.43	0.339,0.2883,0.0686
bottlegrowth	Round_3_Replicate_23	-10828.83	21663.66	21289.2	457710.39	0.7654,0.1045,0.0429
bottlegrowth	Round_3_Replicate_24	-9142.09	18290.18	17828.92	440824.53	0.3687,0.0765,0.0199
bottlegrowth	Round_3_Replicate_25	-11715.51	23437.02	22888.47	449356.96	0.6324,0.1282,0.0442
bottlegrowth	Round_3_Replicate_26	-11254.81	22515.62	21973.77	447340.98	1.4694,0.1185,0.0588
bottlegrowth	Round_3_Replicate_27	-8011.62	16029.24	15731.46	452736.52	0.5525,0.0445,0.0166
bottlegrowth	Round_3_Replicate_28	-8272.49	16550.98	16232.19	450157.97	0.112,0.0624,0.0109
bottlegrowth	Round_3_Replicate_29	-17561.25	35128.5	34350.44	468486.04	1.5179,0.21,0.1573
bottlegrowth	Round_3_Replicate_30	-19818.01	39642.02	38936.99	487558.63	1.1565,0.2223,0.1714
bottlegrowth	Round_3_Replicate_31	-13689.52	27385.04	26595.65	446759.11	0.7523,0.1633,0.0606
bottlegrowth	Round_3_Replicate_32	-13115.37	26236.74	25360.7	439322.66	0.0729,0.2598,0.0179
bottlegrowth	Round_3_Replicate_33	-10602.95	21211.9	20898.4	463417.69	0.4633,0.0941,0.0327
bottlegrowth	Round_3_Replicate_34	-11178.58	22363.16	21814.4	446145.47	0.221,0.132,0.0252
bottlegrowth	Round_3_Replicate_35	-9409.34	18824.68	18520.16	459099.54	0.4295,0.0727,0.0244
bottlegrowth	Round_3_Replicate_36	-16875.26	33756.52	32537.15	445173.7	0.8272,0.2132,0.0864
bottlegrowth	Round_3_Replicate_37	-7829.15	15664.3	15339.06	446546.24	0.4457,0.0441,0.0145
bottlegrowth	Round_3_Replicate_38	-17321.59	34649.18	33678.63	456615.89	0.3416,0.2302,0.059
bottlegrowth	Round_3_Replicate_39	-12354.54	24715.08	23850.06	435118.48	0.3923,0.1424,0.0327
bottlegrowth	Round_3_Replicate_40	-19319.87	38645.74	36728.11	431722.03	0.5909,0.2518,0.0721
bottlegrowth	Round_3_Replicate_41	-19293.35	38592.7	37274.51	452686.18	0.3101,0.268,0.0613
bottlegrowth	Round_3_Replicate_42	-12569.29	25144.58	24802.85	467398.68	0.1692,0.1455,0.0284
bottlegrowth	Round_3_Replicate_43	-25111.31	50228.62	47271.14	431392.3	1.0339,0.3204,0.158
bottlegrowth	Round_3_Replicate_44	-9194.48	18394.96	17911.59	439512.45	0.1101,0.093,0.0126
bottlegrowth	Round_3_Replicate_45	-9838.52	19683.04	19277.96	449280.03	0.0928,0.1179,0.0147
bottlegrowth	Round_3_Replicate_46	-32702.06	65410.12	64883.45	7366302.53	0.0897,0.0215,0.1453
bottlegrowth	Round_3_Replicate_47	-7795.26	15596.52	15278.37	447444.82	0.9268,0.0417,0.0175
bottlegrowth	Round_3_Replicate_48	-22828.39	45662.78	43045.69	427829.89	0.2462,0.3582,0.0505
bottlegrowth	Round_3_Replicate_49	-25911.51	51829.02	49575.84	458876.55	0.441,0.3329,0.1112
bottlegrowth	Round_3_Replicate_50	-13289.83	26585.66	26145.89	465056.92	1.0688,0.1439,0.0757
bottlegrowth	Round_4_Replicate_1	-7199.08	14404.16	14110.32	448388.88	1.0891,0.0229,0.0103
bottlegrowth	Round_4_Replicate_2	-7311.96	14629.92	14330.93	447696.56	0.3599,0.0302,0.01
bottlegrowth	Round_4_Replicate_3	-7337.07	14680.14	14378.29	447258.15	0.3505,0.0311,0.0101
bottlegrowth	Round_4_Replicate_4	-7256.47	14518.94	14223.08	448036.51	0.4346,0.0281,0.0101
bottlegrowth	Round_4_Replicate_5	-7218.98	14443.96	14143.42	446696.99	0.4786,0.0275,0.01
bottlegrowth	Round_4_Replicate_6	-7330.98	14667.96	14367.43	447492.2	0.3476,0.0309,0.0101
bottlegrowth	Round_4_Replicate_7	-7275.53	14557.06	14253.39	446449.27	0.4037,0.0294,0.01
bottlegrowth	Round_4_Replicate_8	-7128.59	14263.18	13960.59	445658.41	0.838,0.0238,0.01
bottlegrowth	Round_4_Replicate_9	-7140.43	14286.86	13989.6	446964.22	0.9468,0.0231,0.0101
bottlegrowth	Round_4_Replicate_10	-7141.6	14289.2	13986.2	445638.05	0.6821,0.0249,0.01
bottlegrowth	Round_4_Replicate_11	-7295.55	14597.1	14297.37	447822.68	1.268,0.024,0.0108
bottlegrowth	Round_4_Replicate_12	-7412.64	14831.28	14523.94	446697.43	0.2997,0.0338,0.0102
bottlegrowth	Round_4_Replicate_13	-7362.01	14730.02	14418.66	445626.69	0.3556,0.0322,0.0103
bottlegrowth	Round_4_Replicate_14	-7465.25	14936.5	14621.48	445710.97	0.2654,0.0358,0.0101
bottlegrowth	Round_4_Replicate_15	-7182.29	14370.58	14065.72	445554.47	0.5812,0.0264,0.0101
bottlegrowth	Round_4_Replicate_16	-7236.68	14479.36	14181.97	447530.5	0.4606,0.0277,0.0101
bottlegrowth	Round_4_Replicate_17	-7316.4	14638.8	14331.82	446100.16	0.3579,0.0308,0.01
bottlegrowth	Round_4_Replicate_18	-7217.21	14440.42	14137.49	446185.98	0.4871,0.0276,0.01
bottlegrowth	Round_4_Replicate_19	-7192.13	14390.26	14092.73	447174.59	0.5282,0.0264,0.01
bottlegrowth	Round_4_Replicate_20	-7257.53	14521.06	14216.08	446067.12	0.4951,0.0287,0.0104
bottlegrowth	Round_4_Replicate_21	-7294.5	14595.0	14294.87	447331.17	0.459,0.0294,0.0105
bottlegrowth	Round_4_Replicate_22	-7167.27	14340.54	14048.34	448561.09	1.0211,0.0224,0.0101
bottlegrowth	Round_4_Replicate_23	-7300.3	14606.6	14313.66	449123.79	0.3873,0.0289,0.01
bottlegrowth	Round_4_Replicate_24	-7312.6	14631.2	14336.75	448801.71	0.3661,0.0295,0.01
bottlegrowth	Round_4_Replicate_25	-7232.23	14470.46	14176.65	448390.85	0.4709,0.0271,0.01
bottlegrowth	Round_4_Replicate_26	-7289.65	14585.3	14289.6	448313.4	0.3859,0.0291,0.01
bottlegrowth	Round_4_Replicate_27	-7212.08	14430.16	14116.65	444195.58	0.5924,0.0273,0.0103
bottlegrowth	Round_4_Replicate_28	-7466.34	14938.68	14649.23	451470.24	0.291,0.032,0.0102
bottlegrowth	Round_4_Replicate_29	-7346.59	14699.18	14406.01	449396.09	0.3648,0.0301,0.0102
bottlegrowth	Round_4_Replicate_30	-7329.05	14664.1	14360.83	446917.32	0.4676,0.0305,0.0109
bottlegrowth	Round_4_Replicate_31	-7134.72	14275.44	13979.21	447080.53	0.7069,0.0243,0.01
bottlegrowth	Round_4_Replicate_32	-7148.55	14303.1	14005.42	446956.36	0.9864,0.0229,0.01
bottlegrowth	Round_4_Replicate_33	-7321.61	14649.22	14327.84	443692.63	0.4344,0.0308,0.0104
bottlegrowth	Round_4_Replicate_34	-7303.58	14613.16	14281.33	442009.22	0.4852,0.0296,0.0102
bottlegrowth	Round_4_Replicate_35	-7311.14	14628.28	14302.5	442946.76	0.4779,0.0302,0.0104
bottlegrowth	Round_4_Replicate_36	-7142.84	14291.68	13999.16	448148.66	0.8467,0.0234,0.0102
bottlegrowth	Round_4_Replicate_37	-7213.53	14433.06	14127.33	445605.15	0.4941,0.0276,0.01
bottlegrowth	Round_4_Replicate_38	-7186.52	14379.04	14079.95	446797.4	0.6593,0.026,0.0104
bottlegrowth	Round_4_Replicate_39	-7169.0	14344.0	14053.84	449155.47	0.9791,0.0226,0.0102
bottlegrowth	Round_4_Replicate_40	-7196.39	14398.78	14097.22	446439.15	1.0323,0.0245,0.0107
bottlegrowth	Round_4_Replicate_41	-7255.94	14517.88	14206.98	444958.61	0.4345,0.029,0.01
bottlegrowth	Round_4_Replicate_42	-7150.92	14307.84	14012.19	447422.6	0.9382,0.0234,0.0103
bottlegrowth	Round_4_Replicate_43	-7323.04	14652.08	14349.59	447026.18	0.3471,0.0308,0.01
bottlegrowth	Round_4_Replicate_44	-7167.11	14340.22	14042.54	446968.04	0.6243,0.0255,0.0101
bottlegrowth	Round_4_Replicate_45	-7140.03	14286.06	13987.13	446496.92	0.7322,0.0245,0.0101
bottlegrowth	Round_4_Replicate_46	-7287.22	14580.44	14278.81	446951.36	0.3887,0.0296,0.01
bottlegrowth	Round_4_Replicate_47	-7283.02	14572.04	14264.02	445668.73	0.4093,0.0298,0.0101
bottlegrowth	Round_4_Replicate_48	-7168.41	14342.82	14042.13	446479.6	1.0523,0.0229,0.01
bottlegrowth	Round_4_Replicate_49	-7599.49	15204.98	14889.13	446479.9	0.2815,0.0391,0.0112
bottlegrowth	Round_4_Replicate_50	-7220.8	14447.6	14143.97	446073.31	0.504,0.0277,0.0102
bottlegrowth	Round_4_Replicate_51	-7282.81	14571.62	14267.03	446320.38	0.399,0.0297,0.0101
bottlegrowth	Round_4_Replicate_52	-7162.62	14331.24	14034.5	447207.04	0.8692,0.0243,0.0105
bottlegrowth	Round_4_Replicate_53	-7266.17	14538.34	14244.57	448665.56	0.568,0.0276,0.0108
bottlegrowth	Round_4_Replicate_54	-7132.81	14271.62	13976.3	447334.5	0.8504,0.0234,0.0101
bottlegrowth	Round_4_Replicate_55	-7231.3	14468.6	14161.26	445429.07	0.4646,0.0282,0.01
bottlegrowth	Round_4_Replicate_56	-7253.18	14512.36	14206.7	445944.69	0.8685,0.0274,0.0116
bottlegrowth	Round_4_Replicate_57	-7292.91	14591.82	14292.72	447536.82	0.3793,0.0296,0.01
bottlegrowth	Round_4_Replicate_58	-7205.29	14416.58	14106.1	444675.06	0.6057,0.0271,0.0103
bottlegrowth	Round_4_Replicate_59	-7315.71	14637.42	14312.41	443096.71	0.421,0.0305,0.0101
