Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, T)
bottlegrowth	Round_1_Replicate_1	-432413.99	864833.98	923430.39	160363.94	0.2908,5.2616,2.2047
bottlegrowth	Round_1_Replicate_2	-226763.45	453532.9	407028.46	265514.68	1.4563,4.4116,0.1103
bottlegrowth	Round_1_Replicate_3	-99515.69	199037.38	177486.5	479368.29	0.4737,0.6937,8.1561
bottlegrowth	Round_1_Replicate_4	-100685.2	201376.4	180246.89	299317.57	1.5443,1.0276,0.3987
bottlegrowth	Round_1_Replicate_5	-75649.79	151305.58	135196.66	1395333.69	1.3769,0.2103,3.494
bottlegrowth	Round_1_Replicate_6	-77690.73	155387.46	139328.75	497222.16	0.3723,0.6346,0.4702
bottlegrowth	Round_1_Replicate_7	-31402.63	62811.26	61949.72	956901.36	1.0436,0.1658,0.6028
bottlegrowth	Round_1_Replicate_8	-101431.59	202869.18	180994.88	296924.27	1.163,1.1208,0.9848
bottlegrowth	Round_1_Replicate_9	-33479.17	66964.34	64548.22	610303.82	2.1407,0.2937,1.0132
bottlegrowth	Round_1_Replicate_10	-165771.22	331548.44	292225.34	297783.85	0.4901,3.5226,0.1238
bottlegrowth	Round_1_Replicate_11	-113105.98	226217.96	201517.64	324007.77	0.7348,1.2125,0.3263
bottlegrowth	Round_1_Replicate_12	-332878.72	665763.44	672490.24	109533.92	0.4791,6.0211,4.4386
bottlegrowth	Round_1_Replicate_13	-213836.27	427678.54	407394.66	109395.34	3.4401,4.1419,2.7792
bottlegrowth	Round_1_Replicate_14	-32406.99	64819.98	60877.64	444657.3	0.4465,0.4146,0.1296
bottlegrowth	Round_1_Replicate_15	-119757.82	239521.64	217381.53	248911.53	2.7894,1.2406,0.633
bottlegrowth	Round_2_Replicate_1	-45659.35	91324.7	84638.74	1418152.2	0.5463,0.1605,0.7906
bottlegrowth	Round_2_Replicate_2	-33860.27	67726.54	65928.08	1409569.71	0.4343,0.1262,0.4615
bottlegrowth	Round_2_Replicate_3	-56936.33	113878.66	103206.08	659893.66	1.1551,0.3874,1.763
bottlegrowth	Round_2_Replicate_4	-77293.53	154593.06	138056.17	2654456.86	0.3827,0.1116,1.3426
bottlegrowth	Round_2_Replicate_5	-52083.1	104172.2	95141.72	447306.73	0.5532,0.5541,0.3094
bottlegrowth	Round_2_Replicate_6	-36016.51	72039.02	72050.85	2768709.71	2.7093,0.0391,0.4267
bottlegrowth	Round_2_Replicate_7	-21914.43	43834.86	43470.52	524000.8	0.6741,0.2077,0.145
bottlegrowth	Round_2_Replicate_8	-66847.38	133700.76	120036.56	716725.7	0.6911,0.3866,1.442
bottlegrowth	Round_2_Replicate_9	-13203.19	26412.38	26014.82	464965.67	3.3831,0.1446,0.1314
bottlegrowth	Round_2_Replicate_10	-80727.22	161460.44	144051.54	2656674.22	0.3997,0.1138,1.6528
bottlegrowth	Round_2_Replicate_11	-33129.02	66264.04	64208.63	643326.74	2.9219,0.274,1.2293
bottlegrowth	Round_2_Replicate_12	-49718.14	99442.28	91235.32	990279.36	1.3196,0.2409,1.6003
bottlegrowth	Round_2_Replicate_13	-84339.09	168684.18	150398.16	4173367.12	0.3601,0.0739,1.7472
bottlegrowth	Round_2_Replicate_14	-47189.84	94385.68	87071.67	911577.88	0.6649,0.2541,0.8957
bottlegrowth	Round_2_Replicate_15	-19418.79	38843.58	38071.72	480225.4	1.4838,0.2245,0.192
bottlegrowth	Round_2_Replicate_16	-34294.49	68594.98	66194.0	743606.95	2.6359,0.2455,1.2821
bottlegrowth	Round_2_Replicate_17	-32172.43	64350.86	64205.38	3686527.78	2.0173,0.0394,0.4987
bottlegrowth	Round_2_Replicate_18	-30068.72	60143.44	59469.46	583634.09	5.4224,0.2573,1.1762
bottlegrowth	Round_2_Replicate_19	-33191.56	66389.12	61805.43	429144.14	0.4706,0.4336,0.1187
bottlegrowth	Round_2_Replicate_20	-42692.7	85391.4	79663.79	714443.61	0.6201,0.3046,0.646
bottlegrowth	Round_2_Replicate_21	-32215.74	64437.48	63043.35	884806.72	1.3605,0.1899,0.758
bottlegrowth	Round_2_Replicate_22	-32980.38	65966.76	60433.58	380042.74	2.7918,0.4372,0.4105
bottlegrowth	Round_2_Replicate_23	-34797.14	69600.28	64998.54	450618.14	1.0212,0.4095,0.3336
bottlegrowth	Round_2_Replicate_24	-51365.5	102737.0	93539.28	425972.23	0.658,0.567,0.3039
bottlegrowth	Round_2_Replicate_25	-32156.01	64318.02	62800.14	626637.67	4.4801,0.2695,1.427
bottlegrowth	Round_2_Replicate_26	-26571.22	53148.44	53060.92	594253.12	0.3944,0.1864,0.1357
bottlegrowth	Round_2_Replicate_27	-29097.54	58201.08	58171.6	663660.32	0.4103,0.1799,0.1802
bottlegrowth	Round_2_Replicate_28	-31091.27	62188.54	61708.56	1035461.43	0.8223,0.1452,0.4972
bottlegrowth	Round_2_Replicate_29	-51640.23	103286.46	94447.22	1341405.52	1.3158,0.1817,1.5812
bottlegrowth	Round_2_Replicate_30	-15764.75	31535.5	30782.53	458788.03	1.9409,0.1924,0.1446
bottlegrowth	Round_3_Replicate_1	-24934.98	49875.96	49656.87	573784.74	1.0019,0.199,0.2381
bottlegrowth	Round_3_Replicate_2	-14822.6	29651.2	28495.7	430942.09	4.4368,0.197,0.1753
bottlegrowth	Round_3_Replicate_3	-9824.14	19654.28	19270.49	450905.94	5.4633,0.0911,0.0705
bottlegrowth	Round_3_Replicate_4	-10372.76	20751.52	20366.39	452533.26	10.8675,0.1036,0.1014
bottlegrowth	Round_3_Replicate_5	-32137.82	64281.64	64041.8	3743374.21	0.9504,0.0397,0.4093
bottlegrowth	Round_3_Replicate_6	-14303.95	28613.9	28054.8	455020.96	4.7383,0.1757,0.1923
bottlegrowth	Round_3_Replicate_7	-9316.65	18639.3	18191.27	443004.65	2.2394,0.078,0.0408
bottlegrowth	Round_3_Replicate_8	-17360.36	34726.72	33715.9	455221.16	1.9235,0.2188,0.1706
bottlegrowth	Round_3_Replicate_9	-11376.19	22758.38	22173.23	444066.89	4.0409,0.1277,0.0953
bottlegrowth	Round_3_Replicate_10	-10737.78	21481.56	21134.53	460059.13	1.5049,0.0998,0.0555
bottlegrowth	Round_3_Replicate_11	-27878.77	55763.54	52933.57	457544.36	0.8677,0.3406,0.2082
bottlegrowth	Round_3_Replicate_12	-23320.68	46647.36	45573.13	451672.58	4.7075,0.2897,0.5569
bottlegrowth	Round_3_Replicate_13	-15382.62	30771.24	29396.72	410926.29	9.8404,0.2272,0.2897
bottlegrowth	Round_3_Replicate_14	-31877.13	63760.26	63392.27	2153766.22	1.1085,0.0702,0.5367
bottlegrowth	Round_3_Replicate_15	-29159.5	58325.0	56703.56	551451.26	1.0526,0.2863,0.3941
bottlegrowth	Round_3_Replicate_16	-14009.43	28024.86	27002.98	433315.52	4.4881,0.182,0.1569
bottlegrowth	Round_3_Replicate_17	-19457.94	38921.88	36915.62	419136.77	3.7793,0.2707,0.2659
bottlegrowth	Round_3_Replicate_18	-20156.73	40319.46	38648.55	419671.73	5.2072,0.288,0.3998
bottlegrowth	Round_3_Replicate_19	-32165.96	64337.92	64156.45	3722114.81	2.782,0.0394,0.5466
bottlegrowth	Round_3_Replicate_20	-16253.62	32513.24	31658.31	401794.52	20.0078,0.2486,0.5066
bottlegrowth	Round_3_Replicate_21	-15230.72	30467.44	30026.25	518419.59	11.4255,0.0739,0.0238
bottlegrowth	Round_3_Replicate_22	-26663.75	53333.5	50758.62	406016.41	4.433,0.3759,0.6592
bottlegrowth	Round_3_Replicate_23	-23602.09	47210.18	45454.66	450512.07	2.6571,0.3025,0.393
bottlegrowth	Round_3_Replicate_24	-20932.6	41871.2	40474.28	433549.74	4.6628,0.285,0.4281
bottlegrowth	Round_3_Replicate_25	-8512.54	17031.08	16706.32	450916.38	1.78,0.0575,0.0298
bottlegrowth	Round_3_Replicate_26	-14288.07	28582.14	27821.81	430341.97	10.7728,0.1998,0.2887
bottlegrowth	Round_3_Replicate_27	-10351.93	20709.86	20302.86	455348.76	8.9657,0.084,0.0585
bottlegrowth	Round_3_Replicate_28	-25832.45	51670.9	50693.38	532721.61	1.0975,0.2598,0.3005
bottlegrowth	Round_3_Replicate_29	-11564.4	23134.8	22530.16	440673.8	7.9049,0.1402,0.139
bottlegrowth	Round_3_Replicate_30	-31842.48	63690.96	61237.01	551470.64	1.0507,0.3133,0.4714
bottlegrowth	Round_3_Replicate_31	-10795.65	21597.3	20831.43	430573.9	1.5723,0.0971,0.0399
bottlegrowth	Round_3_Replicate_32	-18075.35	36156.7	34887.82	449259.98	1.6316,0.2309,0.1576
