Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, T)
bottlegrowth	Round_4_Replicate_45	-4260.67	8527.34	8287.63	276851.22	0.852,0.0246,0.0108
bottlegrowth	Round_4_Replicate_46	-4324.03	8654.06	8411.34	276819.45	1.2791,0.024,0.011
bottlegrowth	Round_4_Replicate_47	-4219.29	8444.58	8203.09	276133.41	0.7574,0.0235,0.01
bottlegrowth	Round_4_Replicate_48	-4238.94	8483.88	8232.28	274361.43	0.7593,0.0248,0.0102
bottlegrowth	Round_4_Replicate_49	-4374.0	8754.0	8508.43	276627.87	1.4074,0.0254,0.0117
bottlegrowth	Round_4_Replicate_50	-4500.27	9006.54	8765.2	278257.4	1.6556,0.0316,0.0158
bottlegrowth	Round_4_Replicate_51	-4221.44	8448.88	8205.4	275770.22	0.9321,0.0227,0.01
bottlegrowth	Round_4_Replicate_52	-4365.86	8737.72	8485.66	275410.36	1.3562,0.0247,0.011
bottlegrowth	Round_4_Replicate_53	-4219.31	8444.62	8201.98	275900.24	0.8321,0.0233,0.0101
bottlegrowth	Round_4_Replicate_54	-4720.46	9446.92	9194.84	277916.12	2.4335,0.0375,0.0191
bottlegrowth	Round_4_Replicate_55	-4356.34	8718.68	8450.84	272844.21	1.1757,0.0266,0.0114
bottlegrowth	Round_4_Replicate_56	-4270.68	8547.36	8305.4	276574.4	1.1425,0.0223,0.0101
bottlegrowth	Round_4_Replicate_57	-4413.39	8832.78	8585.93	276569.96	1.5014,0.0285,0.0134
bottlegrowth	Round_4_Replicate_58	-4352.81	8711.62	8463.78	275967.28	1.3471,0.026,0.0119
bottlegrowth	Round_4_Replicate_59	-4698.28	9402.56	9149.7	277687.1	2.3433,0.0361,0.018
bottlegrowth	Round_4_Replicate_60	-4218.27	8442.54	8199.39	275779.25	0.7987,0.0235,0.01
bottlegrowth	Round_4_Replicate_61	-4260.79	8527.58	8284.24	276154.07	1.1057,0.0228,0.0103
bottlegrowth	Round_4_Replicate_62	-4302.0	8610.0	8367.26	276648.5	1.2227,0.0233,0.0106
bottlegrowth	Round_4_Replicate_63	-4255.14	8516.28	8273.9	276282.26	1.0593,0.0232,0.0105
bottlegrowth	Round_4_Replicate_64	-4558.31	9122.62	8871.34	276846.61	1.9281,0.033,0.0161
bottlegrowth	Round_4_Replicate_65	-4258.62	8523.24	8280.01	276139.74	1.0831,0.0231,0.0104
bottlegrowth	Round_4_Replicate_66	-4289.12	8584.24	8349.1	278456.04	1.0166,0.0232,0.0109
