Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, T)
bottlegrowth	Round_1_Replicate_1	-256944.69	513895.38	463973.44	255088.83	1.4886,5.7123,0.1237
bottlegrowth	Round_1_Replicate_2	-27316.08	54638.16	54541.67	627647.99	0.905,0.1601,0.2158
bottlegrowth	Round_1_Replicate_3	-261886.18	523778.36	507665.85	181465.49	2.334,2.9191,0.7929
bottlegrowth	Round_1_Replicate_4	-67532.03	135070.06	121179.72	530489.11	1.233,0.5238,2.5463
bottlegrowth	Round_1_Replicate_5	-95917.05	191840.1	171003.57	1507228.17	0.167,0.2169,7.9891
bottlegrowth	Round_1_Replicate_6	-113875.44	227756.88	203715.44	230927.39	0.6713,1.5335,8.8915
bottlegrowth	Round_1_Replicate_7	-32467.51	64941.02	63836.74	1396341.72	0.5635,0.119,0.4842
bottlegrowth	Round_1_Replicate_8	-16189.34	32384.68	31394.31	436117.86	5.6243,0.222,0.2733
bottlegrowth	Round_1_Replicate_9	-88448.9	176903.8	157667.7	1560700.47	0.4812,0.2019,4.1592
bottlegrowth	Round_1_Replicate_10	-30813.09	61632.18	57672.61	434550.24	0.573,0.3933,0.1346
bottlegrowth	Round_1_Replicate_11	-372022.52	744051.04	707624.71	213392.13	4.7641,5.5841,0.2009
bottlegrowth	Round_1_Replicate_12	-126502.96	253011.92	227204.14	393605.31	0.4532,0.9485,2.5141
bottlegrowth	Round_1_Replicate_13	-35110.87	70227.74	67527.05	608699.94	5.9051,0.307,2.1487
bottlegrowth	Round_1_Replicate_14	-255599.89	511205.78	480727.79	230049.02	2.8279,2.4588,0.2775
bottlegrowth	Round_1_Replicate_15	-28786.39	57578.78	55407.42	391569.3	6.3467,0.4093,1.0783
bottlegrowth	Round_2_Replicate_1	-18602.25	37210.5	36804.07	592832.46	27.0061,0.1146,0.0638
bottlegrowth	Round_2_Replicate_2	-25516.12	51038.24	47719.03	304777.91	17.4112,0.4867,1.0711
bottlegrowth	Round_2_Replicate_3	-10075.69	20157.38	19729.09	448112.49	5.8317,0.0993,0.0787
bottlegrowth	Round_2_Replicate_4	-65067.59	130141.18	118488.7	296391.65	12.5987,0.5142,0.3388
bottlegrowth	Round_2_Replicate_5	-107531.3	215068.6	194881.14	303990.48	6.3509,0.6211,0.1236
bottlegrowth	Round_2_Replicate_6	-59681.78	119369.56	106924.47	323171.46	2.1135,0.7572,0.8418
bottlegrowth	Round_2_Replicate_7	-24103.23	48212.46	47925.2	508051.49	5.0741,0.2273,0.5308
bottlegrowth	Round_2_Replicate_8	-14040.01	28086.02	27714.09	472065.44	2.6148,0.1494,0.1307
bottlegrowth	Round_2_Replicate_9	-48220.82	96447.64	86886.25	364476.81	1.583,0.538,0.2491
bottlegrowth	Round_2_Replicate_10	-21822.09	43650.18	43309.24	424789.79	18.9377,0.2584,0.759
bottlegrowth	Round_2_Replicate_11	-70701.22	141408.44	126474.07	337445.08	1.4199,0.7237,0.2383
bottlegrowth	Round_2_Replicate_12	-124509.81	249025.62	224244.9	301668.44	5.1741,0.7761,0.0891
bottlegrowth	Round_2_Replicate_13	-9909.68	19825.36	19393.19	449295.03	7.6221,0.0805,0.0537
bottlegrowth	Round_2_Replicate_14	-31873.81	63753.62	63503.99	1871360.28	6.6984,0.0789,0.9694
bottlegrowth	Round_2_Replicate_15	-84323.83	168653.66	151718.06	288716.51	3.1959,0.835,0.4386
bottlegrowth	Round_2_Replicate_16	-17802.86	35611.72	35231.5	584854.28	16.4762,0.0825,0.0765
