Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu, T)
growth	Round_1_Replicate_1	-64491.33	128986.66	116011.24	876436.52	0.3107,2.0844
growth	Round_1_Replicate_2	-259530.3	519064.6	487734.2	219216.4	3.0908,0.5675
growth	Round_1_Replicate_3	-152153.92	304311.84	272083.81	291420.58	1.82,0.1624
growth	Round_1_Replicate_4	-32995.57	65995.14	64180.21	861259.18	0.2025,0.6687
growth	Round_1_Replicate_5	-227638.14	455280.28	428648.07	185703.95	2.85,1.5015
growth	Round_1_Replicate_6	-75713.44	151430.88	135305.97	905265.92	0.3242,3.1941
growth	Round_1_Replicate_7	-85435.23	170874.46	152332.12	2398273.66	0.1293,4.3664
growth	Round_1_Replicate_8	-30214.12	60432.24	56173.25	421273.27	0.3779,0.1814
growth	Round_1_Replicate_9	-253687.28	507378.56	470306.85	236157.74	3.2362,0.3609
growth	Round_1_Replicate_10	-66116.0	132236.0	118775.23	749340.51	0.3676,2.1673
growth	Round_1_Replicate_11	-201371.94	402747.88	375281.86	148069.25	3.2211,3.2983
growth	Round_1_Replicate_12	-310146.82	620297.64	587147.31	215800.22	4.4368,0.4023
growth	Round_1_Replicate_13	-32813.02	65630.04	62557.44	518584.59	0.3435,0.4312
growth	Round_1_Replicate_14	-15708.06	31420.12	30657.79	459285.99	0.1892,0.0967
growth	Round_1_Replicate_15	-32654.5	65313.0	60395.72	416192.25	0.4039,0.1924
growth	Round_2_Replicate_1	-9611.09	19226.18	18787.92	445409.02	0.0846,0.0344
growth	Round_2_Replicate_2	-37532.97	75069.94	68881.42	409065.12	0.4542,0.2234
growth	Round_2_Replicate_3	-11072.21	22148.42	21761.91	457740.82	0.109,0.0504
growth	Round_2_Replicate_4	-27119.48	54242.96	51767.69	466340.95	0.3267,0.2409
growth	Round_2_Replicate_5	-13683.53	27371.06	26854.48	461826.36	0.1542,0.077
growth	Round_2_Replicate_6	-28052.85	56109.7	53519.91	470459.85	0.3333,0.2614
growth	Round_2_Replicate_7	-15499.29	31002.58	30058.58	449422.3	0.191,0.0884
growth	Round_2_Replicate_8	-11722.31	23448.62	22824.15	444730.36	0.1273,0.0522
growth	Round_2_Replicate_9	-23975.43	47954.86	46436.45	480963.37	0.2816,0.213
growth	Round_2_Replicate_10	-10932.28	21868.56	21509.6	459619.88	0.1042,0.0489
growth	Round_2_Replicate_11	-10525.63	21055.26	20570.44	447064.93	0.1038,0.043
growth	Round_2_Replicate_12	-10731.59	21467.18	21055.6	453812.53	0.1053,0.0467
growth	Round_2_Replicate_13	-24902.06	49808.12	48079.67	479563.25	0.2933,0.2255
growth	Round_2_Replicate_14	-12970.28	25944.56	25451.83	459611.54	0.1436,0.0694
growth	Round_2_Replicate_15	-9758.97	19521.94	19109.73	448449.11	0.0874,0.0366
growth	Round_2_Replicate_16	-32345.24	64694.48	64622.53	4993182.48	0.0287,0.3497
growth	Round_2_Replicate_17	-43775.17	87554.34	80045.41	416725.83	0.5081,0.3513
growth	Round_2_Replicate_18	-32292.83	64589.66	64481.85	4823581.56	0.03,0.3595
growth	Round_2_Replicate_19	-16701.42	33406.84	32898.21	478841.0	0.1853,0.1127
growth	Round_2_Replicate_20	-15157.52	30319.04	29149.13	437247.99	0.185,0.0741
growth	Round_2_Replicate_21	-9264.02	18532.04	18088.91	442937.46	0.0765,0.0303
growth	Round_2_Replicate_22	-15818.4	31640.8	31044.02	468636.12	0.1829,0.1012
growth	Round_2_Replicate_23	-20539.05	41082.1	40285.23	487967.14	0.232,0.1665
growth	Round_2_Replicate_24	-14705.47	29414.94	28991.28	473452.96	0.1587,0.0887
growth	Round_2_Replicate_25	-22192.85	44389.7	42975.41	471112.61	0.2684,0.1791
growth	Round_2_Replicate_26	-32156.11	64316.22	64021.66	3877897.02	0.0388,0.4159
growth	Round_2_Replicate_27	-57969.42	115942.84	104432.72	393081.83	0.6375,0.4969
growth	Round_2_Replicate_28	-11091.43	22186.86	21610.93	444126.1	0.1151,0.0465
growth	Round_2_Replicate_29	-11682.59	23369.18	22862.74	451901.9	0.1251,0.0551
growth	Round_2_Replicate_30	-15610.47	31224.94	30480.02	459614.8	0.1875,0.0958
growth	Round_3_Replicate_1	-7173.18	14350.36	14051.34	446377.93	0.0239,0.0104
growth	Round_3_Replicate_2	-11739.87	23483.74	23119.58	463193.94	0.1165,0.0569
growth	Round_3_Replicate_3	-10223.82	20451.64	20045.43	451534.78	0.0961,0.0416
growth	Round_3_Replicate_4	-13406.01	26816.02	26494.71	475890.39	0.1307,0.0723
growth	Round_3_Replicate_5	-8551.63	17107.26	16791.09	452113.02	0.0579,0.0255
growth	Round_3_Replicate_6	-8769.21	17542.42	17185.35	448093.4	0.0653,0.0274
growth	Round_3_Replicate_7	-7971.88	15947.76	15617.77	446542.06	0.0463,0.0195
growth	Round_3_Replicate_8	-7336.52	14677.04	14377.14	447315.86	0.029,0.0127
growth	Round_3_Replicate_9	-12570.16	25144.32	24746.76	464446.73	0.1312,0.0656
growth	Round_3_Replicate_10	-7295.84	14595.68	14291.66	446201.95	0.0281,0.0122
growth	Round_3_Replicate_11	-7227.87	14459.74	14160.2	446636.22	0.0258,0.0113
growth	Round_3_Replicate_12	-14394.72	28793.44	27934.82	447250.9	0.174,0.0768
growth	Round_3_Replicate_13	-8092.35	16188.7	15844.55	445463.29	0.0494,0.0205
growth	Round_3_Replicate_14	-10894.4	21792.8	21204.51	442196.89	0.1107,0.0437
growth	Round_3_Replicate_15	-11230.12	22464.24	21851.7	442634.92	0.1174,0.0467
growth	Round_3_Replicate_16	-12355.77	24715.54	24368.32	467927.82	0.1225,0.0627
growth	Round_3_Replicate_17	-12271.6	24547.2	23868.97	444724.37	0.1375,0.0568
growth	Round_3_Replicate_18	-9372.53	18749.06	18407.07	453256.31	0.0764,0.0336
growth	Round_3_Replicate_19	-10111.03	20226.06	19774.86	447246.39	0.0952,0.0394
growth	Round_3_Replicate_20	-8728.86	17461.72	17080.13	445270.3	0.0647,0.0264
growth	Round_3_Replicate_21	-9215.52	18435.04	18043.09	447159.07	0.0758,0.0314
growth	Round_3_Replicate_22	-8331.51	16667.02	16287.96	443046.68	0.0549,0.0221
growth	Round_3_Replicate_23	-9045.09	18094.18	17711.86	447090.39	0.0719,0.0298
growth	Round_3_Replicate_24	-7868.96	15741.92	15439.61	450402.31	0.0419,0.0185
growth	Round_3_Replicate_25	-10979.63	21963.26	21594.04	458855.05	0.106,0.0495
growth	Round_3_Replicate_26	-7230.06	14464.12	14176.08	449641.49	0.0244,0.011
growth	Round_3_Replicate_27	-7366.59	14737.18	14435.09	447073.97	0.03,0.0131
growth	Round_3_Replicate_28	-11744.88	23493.76	23110.96	461512.7	0.1186,0.0571
growth	Round_3_Replicate_29	-10018.1	20040.2	19700.81	457026.35	0.0874,0.0399
growth	Round_3_Replicate_30	-11099.74	22203.48	21683.97	447852.93	0.1151,0.0484
growth	Round_3_Replicate_31	-7596.61	15197.22	14879.17	445835.45	0.0366,0.0156
growth	Round_3_Replicate_32	-7388.26	14780.52	14448.33	442305.55	0.0303,0.0125
growth	Round_3_Replicate_33	-9007.59	18019.18	17702.72	454670.92	0.0666,0.0299
growth	Round_3_Replicate_34	-8809.56	17623.12	17329.43	458288.57	0.0573,0.0268
growth	Round_3_Replicate_35	-8718.77	17441.54	17119.42	452178.79	0.0619,0.0272
growth	Round_3_Replicate_36	-7363.43	14730.86	14427.65	446831.58	0.03,0.0131
growth	Round_3_Replicate_37	-7333.01	14670.02	14363.64	446014.55	0.0293,0.0127
growth	Round_3_Replicate_38	-7909.92	15823.84	15474.1	443591.93	0.0446,0.0183
growth	Round_3_Replicate_39	-7180.45	14364.9	14077.65	449577.85	0.0225,0.0102
growth	Round_3_Replicate_40	-11475.78	22955.56	22389.54	446919.87	0.1226,0.0512
growth	Round_3_Replicate_41	-7226.19	14456.38	14141.8	443840.64	0.0257,0.0109
growth	Round_3_Replicate_42	-7157.95	14319.9	14026.49	447586.91	0.0229,0.0101
growth	Round_3_Replicate_43	-7173.69	14351.38	14049.85	445855.83	0.024,0.0104
growth	Round_3_Replicate_44	-9835.88	19675.76	19264.92	448997.01	0.089,0.0375
growth	Round_3_Replicate_45	-10694.4	21392.8	21078.66	463815.39	0.0936,0.0455
growth	Round_3_Replicate_46	-7298.04	14600.08	14309.26	449259.51	0.0268,0.0121
growth	Round_3_Replicate_47	-10252.78	20509.56	20010.93	444515.6	0.0982,0.0395
growth	Round_3_Replicate_48	-11444.75	22893.5	22354.91	448499.19	0.1217,0.0517
growth	Round_3_Replicate_49	-12049.41	24102.82	23692.03	460726.1	0.1254,0.0603
growth	Round_3_Replicate_50	-11455.92	22915.84	22488.14	456332.57	0.1179,0.054
growth	Round_4_Replicate_1	-7157.89	14319.78	14025.82	447448.07	0.023,0.0101
growth	Round_4_Replicate_2	-7149.9	14303.8	14005.28	446335.61	0.023,0.01
growth	Round_4_Replicate_3	-7151.97	14307.94	14007.8	446003.84	0.0231,0.01
growth	Round_4_Replicate_4	-7153.79	14311.58	14017.12	447299.18	0.0228,0.0101
growth	Round_4_Replicate_5	-7150.14	14304.28	14005.97	446384.78	0.023,0.01
growth	Round_4_Replicate_6	-7150.27	14304.54	14007.01	446553.32	0.0229,0.01
growth	Round_4_Replicate_7	-7150.31	14304.62	14008.03	446768.62	0.0229,0.01
growth	Round_4_Replicate_8	-7155.18	14314.36	14017.4	446716.07	0.0231,0.0101
growth	Round_4_Replicate_9	-7149.85	14303.7	14006.13	446544.89	0.0229,0.01
growth	Round_4_Replicate_10	-7149.49	14302.98	14006.03	446683.11	0.0229,0.01
growth	Round_4_Replicate_11	-7149.61	14303.22	14007.5	446965.69	0.0228,0.01
