Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu, T)
growth	Round_1_Replicate_1	-73263.95	146531.9	131064.85	2019064.93	0.1432,2.2553
growth	Round_1_Replicate_2	-158324.18	316652.36	287360.31	252279.04	1.7123,0.9034
growth	Round_1_Replicate_3	-199552.4	399108.8	363411.26	259331.2	2.3082,0.3236
growth	Round_1_Replicate_4	-97330.73	194665.46	173545.93	280009.58	1.1755,11.2199
growth	Round_1_Replicate_5	-28218.01	56440.02	55708.98	609694.05	0.236,0.3729
growth	Round_1_Replicate_6	-139476.26	278956.52	249475.08	295977.15	1.5508,0.1979
growth	Round_1_Replicate_7	-84203.03	168410.06	150150.16	360637.17	0.8525,1.5167
growth	Round_1_Replicate_8	-318944.12	637892.24	608030.28	209663.73	4.4994,0.4492
growth	Round_1_Replicate_9	-137127.01	274258.02	243912.48	302157.76	1.7776,0.0969
growth	Round_1_Replicate_10	-101692.69	203389.38	181419.77	308049.06	1.0919,1.5232
growth	Round_1_Replicate_11	-93968.38	187940.76	167508.47	328601.34	0.9855,1.9636
growth	Round_1_Replicate_12	-82030.23	164064.46	146294.11	347152.17	0.8689,0.6749
growth	Round_1_Replicate_13	-166759.02	333522.04	297589.77	287462.51	2.3455,0.1241
growth	Round_1_Replicate_14	-90813.91	181631.82	161873.38	350054.0	0.9107,2.9723
growth	Round_1_Replicate_15	-119348.94	238701.88	212911.16	308553.3	1.2948,0.1736
growth	Round_2_Replicate_1	-34752.25	69508.5	65578.18	493216.45	0.3777,0.4287
growth	Round_2_Replicate_2	-45901.5	91807.0	83595.39	407778.49	0.5315,0.3414
growth	Round_2_Replicate_3	-20492.24	40988.48	39827.46	470116.08	0.248,0.1566
growth	Round_2_Replicate_4	-43353.48	86710.96	80798.15	1019936.75	0.2157,1.0876
growth	Round_2_Replicate_5	-34385.34	68774.68	65562.16	562109.93	0.3288,0.5368
growth	Round_2_Replicate_6	-55144.86	110293.72	99644.42	403930.57	0.6058,0.5159
growth	Round_2_Replicate_7	-34366.56	68737.12	66528.42	1177738.91	0.1546,0.7522
growth	Round_2_Replicate_8	-31907.28	63818.56	63699.2	2181042.7	0.0655,0.4788
growth	Round_2_Replicate_9	-42310.83	84625.66	78198.5	466332.23	0.4559,0.5274
growth	Round_2_Replicate_10	-42627.83	85259.66	79610.41	988873.91	0.22,1.0598
growth	Round_2_Replicate_11	-43231.48	86466.96	79633.87	452763.15	0.4742,0.4992
growth	Round_2_Replicate_12	-33461.29	66926.58	63605.71	513501.16	0.3525,0.4381
