Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu, T)
growth	Round_4_Replicate_14	-4232.77	8469.54	8227.85	275834.22	0.0226,0.01
growth	Round_4_Replicate_15	-4232.23	8468.46	8228.34	276167.54	0.0224,0.01
growth	Round_4_Replicate_16	-4236.61	8477.22	8238.75	276564.77	0.0225,0.0101
growth	Round_4_Replicate_17	-4232.55	8469.1	8229.52	276287.19	0.0224,0.01
growth	Round_4_Replicate_18	-4240.5	8485.0	8239.97	275229.77	0.0232,0.0102
growth	Round_4_Replicate_19	-4247.56	8499.12	8257.38	275909.38	0.0236,0.0105
growth	Round_4_Replicate_20	-4235.23	8474.46	8235.58	276462.6	0.0225,0.0101
growth	Round_4_Replicate_21	-4234.47	8472.94	8235.36	276772.32	0.0222,0.01
growth	Round_4_Replicate_22	-4237.71	8479.42	8238.72	276071.71	0.0229,0.0102
growth	Round_4_Replicate_23	-4252.33	8508.66	8269.73	276551.22	0.0235,0.0106
growth	Round_4_Replicate_24	-4237.37	8478.74	8231.74	274854.76	0.023,0.01
growth	Round_4_Replicate_25	-4237.1	8478.2	8241.29	276960.33	0.0222,0.0101
growth	Round_4_Replicate_26	-4249.19	8502.38	8262.4	276293.66	0.0235,0.0105
growth	Round_4_Replicate_27	-4231.77	8467.54	8226.84	276035.26	0.0225,0.01
growth	Round_4_Replicate_28	-4248.73	8501.46	8259.91	275957.52	0.0237,0.0106
growth	Round_4_Replicate_29	-4254.39	8512.78	8261.99	274317.77	0.0239,0.0103
growth	Round_4_Replicate_30	-4235.41	8474.82	8236.13	276509.11	0.0225,0.0101
growth	Round_4_Replicate_31	-4248.56	8501.12	8260.2	276089.25	0.0236,0.0105
growth	Round_4_Replicate_32	-4234.93	8473.86	8233.61	276152.76	0.0227,0.0101
growth	Round_4_Replicate_33	-4234.1	8472.2	8230.16	275768.65	0.0227,0.0101
growth	Round_4_Replicate_34	-4243.18	8490.36	8248.73	275905.79	0.0234,0.0104
growth	Round_4_Replicate_35	-4232.71	8469.42	8227.54	275794.74	0.0226,0.01
growth	Round_4_Replicate_36	-4235.76	8475.52	8232.09	275506.18	0.0229,0.0101
growth	Round_4_Replicate_37	-4244.98	8493.96	8252.4	275931.35	0.0235,0.0104
growth	Round_4_Replicate_38	-4243.48	8490.96	8254.21	277040.13	0.0225,0.0102
growth	Round_4_Replicate_39	-4240.02	8484.04	8236.11	274705.24	0.0231,0.0101
growth	Round_4_Replicate_40	-4235.43	8474.86	8235.52	276359.04	0.0226,0.0101
growth	Round_4_Replicate_41	-4237.48	8478.96	8232.24	274902.67	0.023,0.01
growth	Round_4_Replicate_42	-4247.54	8499.08	8258.03	276056.34	0.0236,0.0105
growth	Round_4_Replicate_43	-4249.9	8503.8	8266.31	276886.56	0.0231,0.0105
growth	Round_4_Replicate_44	-4245.32	8494.64	8258.21	277136.91	0.0225,0.0103
growth	Round_4_Replicate_45	-4232.9	8469.8	8227.48	275708.84	0.0226,0.01
growth	Round_4_Replicate_46	-4241.1	8486.2	8249.71	277090.54	0.0223,0.0101
growth	Round_4_Replicate_47	-4242.62	8489.24	8248.7	276132.41	0.0232,0.0104
growth	Round_4_Replicate_48	-4241.07	8486.14	8248.12	276700.01	0.0227,0.0103
growth	Round_4_Replicate_49	-4233.81	8471.62	8229.83	275819.03	0.0227,0.0101
growth	Round_4_Replicate_50	-4248.04	8500.08	8261.83	276686.72	0.0232,0.0105
growth	Round_4_Replicate_51	-4233.73	8471.46	8230.67	276027.37	0.0226,0.0101
growth	Round_4_Replicate_52	-4236.67	8477.34	8236.11	275951.51	0.0229,0.0102
growth	Round_4_Replicate_53	-4232.0	8468.0	8226.58	275886.89	0.0225,0.01
growth	Round_4_Replicate_54	-4235.13	8474.26	8233.83	276113.02	0.0227,0.0101
growth	Round_4_Replicate_55	-4232.92	8469.84	8227.19	275640.76	0.0226,0.01
growth	Round_4_Replicate_56	-4246.56	8497.12	8256.6	276161.24	0.0235,0.0105
growth	Round_4_Replicate_57	-4263.22	8530.44	8289.1	276093.58	0.0244,0.0109
growth	Round_4_Replicate_58	-4234.7	8473.4	8234.57	276470.33	0.0225,0.0101
growth	Round_4_Replicate_59	-4231.72	8467.44	8226.81	276051.06	0.0225,0.01
