Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu, T)
growth	Round_1_Replicate_1	-54104.67	108213.34	98515.16	994959.88	0.2508,1.5135
growth	Round_1_Replicate_2	-26043.16	52090.32	51558.49	568753.54	0.2305,0.2891
growth	Round_1_Replicate_3	-372493.2	744990.4	760210.99	133969.17	5.7863,1.6797
growth	Round_1_Replicate_4	-37326.49	74656.98	70959.49	808053.17	0.2444,0.8285
growth	Round_1_Replicate_5	-20546.3	41096.6	40003.85	473591.97	0.2458,0.1597
growth	Round_1_Replicate_6	-25860.49	51724.98	51612.15	598713.46	0.1792,0.2329
growth	Round_1_Replicate_7	-87811.22	175626.44	156536.44	441033.86	0.7119,5.2214
growth	Round_1_Replicate_8	-21303.62	42611.24	41191.76	464450.4	0.2625,0.1618
growth	Round_1_Replicate_9	-287975.5	575955.0	564312.36	122674.02	4.9092,2.8771
growth	Round_1_Replicate_10	-115865.87	231735.74	207365.91	270627.69	1.3228,1.9763
growth	Round_1_Replicate_11	-42967.79	85939.58	80098.86	820560.33	0.2662,1.0405
growth	Round_1_Replicate_12	-294578.65	589161.3	547963.76	230668.49	4.7639,0.2811
growth	Round_1_Replicate_13	-282679.44	565362.88	549525.08	154459.25	3.9545,1.769
growth	Round_1_Replicate_14	-67479.17	134962.34	121116.42	1228090.18	0.2266,2.2014
growth	Round_1_Replicate_15	-296009.85	592023.7	579688.94	150561.4	4.2051,1.7608
growth	Round_2_Replicate_1	-15000.15	30004.3	29400.71	463741.12	0.1745,0.0911
growth	Round_2_Replicate_2	-12878.23	25760.46	25206.88	455280.17	0.1452,0.0674
growth	Round_2_Replicate_3	-69632.98	139269.96	124524.41	362369.28	0.7568,0.4461
growth	Round_2_Replicate_4	-20466.06	40936.12	39736.28	468207.67	0.2492,0.1549
growth	Round_2_Replicate_5	-18360.21	36724.42	35514.39	454346.56	0.2306,0.12
growth	Round_2_Replicate_6	-10775.35	21554.7	21221.48	461649.69	0.0985,0.047
growth	Round_2_Replicate_7	-12031.59	24067.18	23557.18	453532.29	0.1308,0.0589
growth	Round_2_Replicate_8	-63004.39	126012.78	112942.64	368930.8	0.6972,0.3553
growth	Round_2_Replicate_9	-15559.26	31122.52	29876.95	436303.55	0.191,0.0763
growth	Round_2_Replicate_10	-18627.51	37259.02	36363.18	470042.41	0.2232,0.134
growth	Round_2_Replicate_11	-27133.56	54271.12	53083.63	540554.25	0.2702,0.3169
growth	Round_2_Replicate_12	-24084.38	48172.76	47407.39	522635.4	0.2451,0.2375
growth	Round_2_Replicate_13	-70422.68	140849.36	125907.31	361674.33	0.7637,0.4611
growth	Round_2_Replicate_14	-22370.49	44744.98	43852.15	497771.99	0.2467,0.1985
growth	Round_2_Replicate_15	-12769.41	25542.82	25083.08	460801.0	0.1388,0.0675
growth	Round_2_Replicate_16	-16581.68	33167.36	32318.4	460013.61	0.2019,0.106
growth	Round_2_Replicate_17	-26830.57	53665.14	53250.0	595989.23	0.2199,0.3107
growth	Round_2_Replicate_18	-21044.2	42092.4	41206.91	487233.33	0.2396,0.1737
growth	Round_2_Replicate_19	-20924.57	41853.14	41039.02	489984.29	0.2352,0.1728
growth	Round_2_Replicate_20	-29081.29	58166.58	57165.66	614393.24	0.2464,0.4108
growth	Round_2_Replicate_21	-29426.87	58857.74	56472.38	499396.76	0.3257,0.3286
growth	Round_2_Replicate_22	-26749.75	53503.5	52015.53	513929.98	0.2865,0.2903
