Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2)
anc_asym_mig	Round_3_Replicate_30	-121645.62	243303.24	490555.14	16096.5	3.4199,0.4002,0.0818,23.3061,0.1045,0.301
anc_asym_mig	Round_4_Replicate_1	-41557.9	83127.8	149217.6	28937.07	0.5823,0.2695,0.3769,7.4598,0.0267,0.0352
anc_asym_mig	Round_4_Replicate_2	-44973.73	89959.46	259048.18	29025.18	0.5075,0.3607,0.1339,16.8355,0.0308,0.0315
anc_asym_mig	Round_4_Replicate_3	-44375.34	88762.68	127018.32	29016.52	0.5976,0.288,0.2579,8.5172,0.0778,0.0302
anc_asym_mig	Round_4_Replicate_4	-40692.52	81397.04	169233.86	29459.64	0.5049,0.2636,0.3809,5.136,0.0246,0.0277
anc_asym_mig	Round_4_Replicate_5	-37951.93	75915.86	136375.02	30968.48	0.38,0.2129,0.4145,9.2573,0.0214,0.0245
anc_asym_mig	Round_4_Replicate_6	-39798.38	79608.76	105634.13	30911.25	0.4692,0.1993,0.1558,9.5257,0.0459,0.026
anc_asym_mig	Round_4_Replicate_7	-37349.82	74711.64	113479.39	32699.98	0.4355,0.1823,0.5563,21.9507,0.0722,0.0233
anc_asym_mig	Round_4_Replicate_8	-34259.27	68530.54	101013.63	35815.78	0.3676,0.1332,0.2227,27.1048,0.0845,0.0165
anc_asym_mig	Round_4_Replicate_9	-47803.55	95619.1	174534.42	27486.46	0.6431,0.446,0.1696,15.0517,0.0414,0.0552
anc_asym_mig	Round_4_Replicate_10	-42552.59	85117.18	141348.5	30805.27	0.4388,0.2856,0.1635,11.9253,0.0626,0.0237
anc_asym_mig	Round_4_Replicate_11	-39989.4	79990.8	128506.77	37243.7	0.372,0.216,0.4662,25.5074,0.1454,0.0241
anc_asym_mig	Round_4_Replicate_12	-36851.61	73715.22	109314.68	31807.0	0.3697,0.1734,0.1316,7.4673,0.0353,0.015
anc_asym_mig	Round_4_Replicate_13	-37020.62	74053.24	98065.01	35536.46	0.368,0.1759,0.1446,28.66,0.0866,0.0271
anc_asym_mig	Round_4_Replicate_14	-42575.06	85162.12	150122.75	30043.21	0.572,0.2664,0.2105,17.5894,0.0928,0.03
anc_asym_mig	Round_4_Replicate_15	-39573.71	79159.42	140856.67	32389.24	0.522,0.2003,0.4797,18.9748,0.136,0.0201
anc_asym_mig	Round_4_Replicate_16	-39720.98	79453.96	118096.7	30319.08	0.6109,0.1745,0.4443,13.535,0.0934,0.0181
anc_asym_mig	Round_4_Replicate_17	-42782.75	85577.5	177616.59	29283.77	0.562,0.2985,0.3938,22.7273,0.0476,0.0358
anc_asym_mig	Round_4_Replicate_18	-43199.89	86411.78	113820.07	29821.01	0.6781,0.2126,0.4469,19.3088,0.1413,0.041
anc_asym_mig	Round_4_Replicate_19	-48439.37	96890.74	293006.99	28044.56	0.5477,0.4857,0.414,7.0274,0.0368,0.0317
