Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2)
anc_asym_mig	Round_1_Replicate_1	-183442.0	366896.0	723081.01	26079.91	0.2818,3.0725,1.0979,6.9825,0.6814,0.2001
anc_asym_mig	Round_1_Replicate_2	-235013.99	470039.98	1575158.66	20638.87	0.3176,1.0341,0.2728,0.5275,2.6129,0.1852
anc_asym_mig	Round_1_Replicate_3	-463236.94	926485.88	43691038.71	6701.82	1.9651,2.9612,0.6966,1.0701,0.2659,4.8877
anc_asym_mig	Round_1_Replicate_4	-93432.55	186877.1	303060.0	12428.08	3.4333,0.9009,5.7051,1.7626,1.3503,0.2851
anc_asym_mig	Round_1_Replicate_5	-435162.16	870336.32	23620722.76	10962.71	0.7161,2.5804,0.6991,0.213,0.8624,2.0122
anc_asym_mig	Round_1_Replicate_6	-113561.43	227134.86	471334.9	29645.75	0.6478,0.3086,8.1714,0.2852,0.1947,0.209
anc_asym_mig	Round_1_Replicate_7	-223059.26	446130.52	2217410.08	9832.32	2.047,1.2999,0.2561,0.3913,1.8445,1.1166
anc_asym_mig	Round_1_Replicate_8	-163867.46	327746.92	975846.32	56717.1	0.2866,0.2128,3.8564,0.7397,3.5925,0.1175
anc_asym_mig	Round_1_Replicate_9	-279388.53	558789.06	2178978.48	22671.86	0.1567,1.8057,1.7233,0.1873,0.4837,0.2078
anc_asym_mig	Round_1_Replicate_10	-189262.24	378536.48	1119575.42	17442.75	0.7069,1.4981,1.0816,1.0012,0.3202,0.6083
anc_asym_mig	Round_2_Replicate_1	-150216.74	300445.48	848537.75	6854.06	5.3381,0.8177,1.911,2.2817,3.9809,0.8522
anc_asym_mig	Round_2_Replicate_2	-108563.0	217138.0	8349509.04	9091.5	2.2174,3.3589,6.4696,3.7355,1.4711,0.092
anc_asym_mig	Round_2_Replicate_3	-307424.44	614860.88	7380111.28	19498.99	2.2371,0.2718,9.6374,2.2333,1.3383,0.6243
anc_asym_mig	Round_2_Replicate_4	-177458.07	354928.14	864408.06	15395.8	11.887,0.3958,9.5932,0.439,0.7621,0.2497
anc_asym_mig	Round_2_Replicate_5	-261470.91	522953.82	3976506.72	7276.03	7.726,0.3564,3.9647,7.3301,2.9784,0.8458
anc_asym_mig	Round_2_Replicate_6	-82093.31	164198.62	251961.14	16833.3	2.7766,0.6398,10.9882,3.1829,1.2413,0.184
anc_asym_mig	Round_2_Replicate_7	-90222.76	180457.52	286938.18	9044.98	5.6152,0.512,2.7757,3.7605,2.9718,0.2098
anc_asym_mig	Round_2_Replicate_8	-147102.74	294217.48	666915.06	10862.31	6.1851,0.8442,7.6266,0.6086,2.0499,0.5146
anc_asym_mig	Round_2_Replicate_9	-169559.1	339130.2	1141025.1	6956.6	5.4664,0.5954,1.6614,5.0009,2.9945,0.7908
anc_asym_mig	Round_2_Replicate_10	-71071.83	142155.66	226037.91	24186.84	1.4045,0.5311,8.7031,0.9269,0.8892,0.0895
anc_asym_mig	Round_2_Replicate_11	-148876.54	297765.08	785444.27	11907.63	2.0011,0.9841,1.5405,2.1467,1.1764,0.7183
anc_asym_mig	Round_2_Replicate_12	-288609.22	577230.44	5722094.7	10649.83	4.6601,0.3756,4.03,2.4321,1.664,0.8468
anc_asym_mig	Round_2_Replicate_13	-110063.81	220139.62	400256.95	8137.47	4.3561,1.7499,3.0537,0.5913,2.0282,0.5962
anc_asym_mig	Round_2_Replicate_14	-75807.41	151626.82	234969.79	14024.81	2.8066,0.5987,5.3639,4.1564,1.3384,0.1613
anc_asym_mig	Round_2_Replicate_15	-92476.21	184964.42	277013.34	13274.88	1.6687,1.8926,16.793,0.69,0.8402,0.4077
anc_asym_mig	Round_2_Replicate_16	-122972.9	245957.8	512861.92	15237.64	3.2065,0.4214,9.2724,6.9498,0.6363,0.3135
anc_asym_mig	Round_2_Replicate_17	-89063.46	178138.92	372532.64	13367.46	3.08,1.2538,5.906,0.7237,0.6951,0.2028
anc_asym_mig	Round_2_Replicate_18	-85115.44	170242.88	256764.09	7139.58	3.1223,1.8394,1.7236,3.8929,3.6259,0.639
anc_asym_mig	Round_2_Replicate_19	-93611.16	187234.32	290271.94	9232.16	4.0917,1.6698,21.853,1.3108,4.3134,0.6073
anc_asym_mig	Round_2_Replicate_20	-443975.65	887963.3	42760164.43	27443.92	0.9023,0.2856,22.6192,1.8985,1.8363,0.9767
anc_asym_mig	Round_3_Replicate_1	-50560.59	101133.18	199079.22	26807.63	0.7169,0.5806,12.2434,1.986,0.4575,0.0554
anc_asym_mig	Round_3_Replicate_2	-77693.5	155399.0	417924.94	14383.11	1.6268,1.6465,4.0976,0.9926,0.6948,0.1117
anc_asym_mig	Round_3_Replicate_3	-96818.63	193649.26	278545.07	26608.98	0.4952,0.8258,12.2376,0.2729,2.0387,0.2131
anc_asym_mig	Round_3_Replicate_4	-73147.04	146306.08	231838.13	16317.86	1.5211,1.0559,4.3021,1.032,0.6902,0.147
anc_asym_mig	Round_3_Replicate_5	-77620.2	155252.4	328056.02	25673.08	1.8157,0.5355,12.1793,0.7216,1.1368,0.0789
anc_asym_mig	Round_3_Replicate_6	-44593.83	89199.66	135441.79	28332.64	0.5814,0.4862,6.1356,1.1395,0.4521,0.0188
anc_asym_mig	Round_3_Replicate_7	-113553.35	227118.7	432955.62	16768.15	2.8767,0.4182,4.1773,1.2805,0.4359,0.1954
anc_asym_mig	Round_3_Replicate_8	-81345.91	162703.82	619967.99	16837.03	2.3214,1.3632,17.0501,0.2405,0.3006,0.1553
anc_asym_mig	Round_3_Replicate_9	-87629.91	175271.82	11075566.95	14580.66	2.7374,1.3407,21.6059,2.9058,2.5519,0.0548
anc_asym_mig	Round_3_Replicate_10	-106929.4	213870.8	359986.54	20573.91	2.3818,0.6168,23.7981,1.0327,1.6726,0.2627
anc_asym_mig	Round_3_Replicate_11	-72648.72	145309.44	205837.09	34456.27	0.6727,0.3722,9.8065,0.8427,0.6799,0.0905
anc_asym_mig	Round_3_Replicate_12	-107969.66	215951.32	336479.09	18297.81	5.3263,0.5453,25.1427,1.0277,0.526,0.2198
anc_asym_mig	Round_3_Replicate_13	-66645.56	133303.12	175061.11	13643.36	1.2281,1.697,15.6985,0.863,2.8446,0.2608
anc_asym_mig	Round_3_Replicate_14	-131929.47	263870.94	600338.59	25578.17	0.6943,0.4714,4.7991,1.2724,0.5529,0.3053
anc_asym_mig	Round_3_Replicate_15	-71549.95	143111.9	275716.3	14835.47	2.8536,0.4131,2.5423,3.6626,0.9307,0.0404
anc_asym_mig	Round_3_Replicate_16	-66037.31	132086.62	393111.56	20628.99	1.1879,1.1163,28.4557,2.8699,0.2329,0.1185
anc_asym_mig	Round_3_Replicate_17	-67712.79	135437.58	550623.88	23592.72	1.7991,0.5498,16.5887,3.9494,1.2891,0.0621
anc_asym_mig	Round_3_Replicate_18	-160443.26	320898.52	1022441.8	27126.19	0.9827,0.2632,6.7932,1.7915,0.4353,0.2819
anc_asym_mig	Round_3_Replicate_19	-58941.72	117895.44	389595.41	38232.05	1.2821,0.2238,22.1556,1.6601,0.2584,0.0212
anc_asym_mig	Round_3_Replicate_20	-95090.65	190193.3	419224.91	22335.45	4.0203,0.5739,18.9533,1.6274,3.6041,0.1162
anc_asym_mig	Round_3_Replicate_21	-110830.43	221672.86	1865195.09	51486.38	3.7588,0.2703,28.5687,0.7584,2.4755,0.0225
anc_asym_mig	Round_3_Replicate_22	-73219.54	146451.08	357038.09	18072.95	1.1229,1.7081,14.5894,0.4214,0.33,0.1401
anc_asym_mig	Round_3_Replicate_23	-74457.4	148926.8	470449.46	19828.62	2.6253,0.7903,23.0077,1.9124,0.5991,0.1177
anc_asym_mig	Round_3_Replicate_24	-76925.8	153863.6	1042939.85	19324.02	2.6691,0.9739,27.5828,0.8015,3.7725,0.1027
anc_asym_mig	Round_3_Replicate_25	-69449.25	138910.5	224045.47	19572.29	2.7178,0.4233,2.5285,1.2949,0.235,0.0195
anc_asym_mig	Round_3_Replicate_26	-81651.94	163315.88	272558.91	23080.82	2.1196,0.6301,26.1345,1.9397,2.0797,0.1522
anc_asym_mig	Round_3_Replicate_27	-88153.08	176318.16	1094846.94	15599.38	2.8152,1.3337,4.3277,0.2366,0.3755,0.0551
anc_asym_mig	Round_3_Replicate_28	-72739.25	145490.5	263844.22	29058.76	3.0246,0.3356,26.1308,0.5305,0.2859,0.0691
anc_asym_mig	Round_3_Replicate_29	-94251.76	188515.52	301501.81	16913.3	2.0719,0.7882,7.9277,0.5394,0.4248,0.2725
anc_asym_mig	Round_3_Replicate_30	-69063.22	138138.44	214212.97	29065.77	0.566,0.406,2.5491,0.3848,0.7502,0.0184
