Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
anc_asym_mig_size	Round_3_Replicate_8	-81200.54	162417.08	266648.87	7417.11	2.0851,1.946,17.6679,0.1895,0.5482,0.2335,9.0606,0.0774
anc_asym_mig_size	Round_3_Replicate_9	-81632.54	163281.08	287017.38	13729.91	1.5085,0.64,12.405,0.6101,1.0044,0.3968,3.2292,0.036
anc_asym_mig_size	Round_3_Replicate_10	-136343.26	272702.52	680349.41	5610.39	0.8553,5.0913,23.1607,0.1274,3.6449,0.204,23.4369,0.2012
anc_asym_mig_size	Round_3_Replicate_11	-60593.42	121202.84	179789.47	11603.01	0.7205,1.8259,7.4591,0.8772,4.7863,0.2071,5.1233,0.1243
anc_asym_mig_size	Round_3_Replicate_12	-151051.31	302118.62	789397.85	11979.14	2.2756,1.0227,8.0902,0.2243,2.5132,0.113,3.5352,0.1925
anc_asym_mig_size	Round_3_Replicate_13	-119260.37	238536.74	479290.37	8583.6	0.2802,4.5127,8.5995,0.1136,2.6127,0.0838,21.0782,0.1356
anc_asym_mig_size	Round_3_Replicate_14	-81201.4	162418.8	263545.91	10510.61	0.875,4.3815,21.7212,0.1031,1.2799,0.1811,2.8081,0.042
anc_asym_mig_size	Round_3_Replicate_15	-127527.5	255071.0	520000.75	13880.81	0.5342,5.8565,10.7452,0.101,0.7223,0.9604,6.9194,0.0921
anc_asym_mig_size	Round_3_Replicate_16	-41694.94	83405.88	146907.48	3876.56	0.5064,8.3791,27.8703,0.736,5.3804,0.0785,24.0267,0.067
anc_asym_mig_size	Round_3_Replicate_17	-73265.22	146546.44	231874.52	7794.87	1.5023,4.8861,8.3768,0.1065,1.2374,0.0797,4.1738,0.0414
anc_asym_mig_size	Round_3_Replicate_18	-53102.19	106220.38	142151.44	5560.62	2.0931,3.2262,25.0379,0.9081,0.5718,0.7276,13.795,0.0961
anc_asym_mig_size	Round_3_Replicate_19	-50071.81	100159.62	127237.27	3858.62	1.8171,6.5596,29.6204,0.1643,4.6229,0.6952,26.7076,0.0896
anc_asym_mig_size	Round_3_Replicate_20	-99415.87	198847.74	331241.39	16631.87	0.5148,1.1448,11.3677,0.2417,4.5279,0.0935,9.0551,0.1332
anc_asym_mig_size	Round_3_Replicate_21	-73114.77	146245.54	705072.55	12212.38	2.3499,1.2226,25.6334,1.0687,3.2335,0.305,6.0566,0.0223
anc_asym_mig_size	Round_3_Replicate_22	-75628.16	151272.32	205664.19	13309.79	0.4982,1.9383,8.8328,0.1134,1.24,0.5345,19.0274,0.0488
anc_asym_mig_size	Round_3_Replicate_23	-50181.03	100378.06	143434.41	8121.61	1.8524,1.422,25.0379,1.04,0.5808,1.03,11.6503,0.0282
anc_asym_mig_size	Round_3_Replicate_24	-205019.96	410055.92	1725075.47	11952.27	0.8265,0.9382,24.5356,0.1917,0.5909,0.0825,9.0761,0.1908
