Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu, T)
two_epoch	Round_1_Replicate_1	-75590.42	151184.84	142444.87	183314.25	0.8348,0.3467
two_epoch	Round_1_Replicate_2	-199223.26	398450.52	420665.87	112424.59	4.5469,0.2893
two_epoch	Round_1_Replicate_3	-146222.14	292448.28	287576.0	138255.01	4.3284,0.1153
two_epoch	Round_1_Replicate_4	-214575.91	429155.82	504957.15	57733.19	5.1651,1.8133
two_epoch	Round_1_Replicate_5	-154826.6	309657.2	326410.08	100543.86	2.4713,0.8599
two_epoch	Round_1_Replicate_6	-87958.84	175921.68	168232.63	161338.02	1.054,1.2651
two_epoch	Round_1_Replicate_7	-77657.57	155319.14	146561.93	187031.42	0.8402,0.5771
two_epoch	Round_1_Replicate_8	-87932.92	175869.84	167986.94	167032.85	1.0325,0.1059
two_epoch	Round_1_Replicate_9	-165184.1	330372.2	337421.74	125130.98	3.1108,0.2384
two_epoch	Round_1_Replicate_10	-24714.86	49433.72	44903.54	337049.06	0.2004,0.135
two_epoch	Round_1_Replicate_11	-95991.92	191987.84	185604.23	151337.73	1.1883,0.6962
two_epoch	Round_1_Replicate_12	-87087.48	174178.96	166367.69	84404.09	2.0024,8.5338
two_epoch	Round_1_Replicate_13	-147003.98	294011.96	301293.08	123655.96	2.1442,0.3998
two_epoch	Round_1_Replicate_14	-86311.16	172626.32	164710.23	252248.3	0.6664,4.7369
two_epoch	Round_1_Replicate_15	-58630.99	117265.98	108312.9	244634.37	0.5348,0.4269
two_epoch	Round_2_Replicate_1	-14192.03	28388.06	25962.22	398074.13	0.1028,0.0738
two_epoch	Round_2_Replicate_2	-53199.97	106403.94	97912.91	234473.23	0.5146,0.2938
two_epoch	Round_2_Replicate_3	-43840.04	87684.08	79966.92	362578.33	0.2973,0.3324
two_epoch	Round_2_Replicate_4	-17598.19	35200.38	32067.38	390490.64	0.1304,0.0976
two_epoch	Round_2_Replicate_5	-26890.33	53784.66	48761.99	446817.48	0.168,0.1787
two_epoch	Round_2_Replicate_6	-11090.66	22185.32	20374.47	471651.92	0.0698,0.0599
two_epoch	Round_2_Replicate_7	-22276.15	44556.3	40429.28	508422.25	0.1274,0.1445
two_epoch	Round_2_Replicate_8	-17263.98	34531.96	31545.78	334067.47	0.1371,0.0761
two_epoch	Round_2_Replicate_9	-14261.77	28527.54	26064.02	454743.9	0.0941,0.082
two_epoch	Round_2_Replicate_10	-10287.15	20578.3	18928.5	486009.15	0.0625,0.0548
two_epoch	Round_2_Replicate_11	-27129.63	54263.26	49205.31	406445.67	0.1852,0.1762
two_epoch	Round_2_Replicate_12	-35442.76	70889.52	64418.56	319922.53	0.2855,0.2211
two_epoch	Round_2_Replicate_13	-51886.27	103776.54	95424.88	234077.19	0.5042,0.272
two_epoch	Round_2_Replicate_14	-12153.46	24310.92	22299.56	413919.71	0.0842,0.0616
two_epoch	Round_2_Replicate_15	-19104.02	38212.04	34772.9	380783.58	0.1439,0.1067
two_epoch	Round_2_Replicate_16	-55287.41	110578.82	101907.76	233098.07	0.5339,0.3227
two_epoch	Round_2_Replicate_17	-26668.77	53341.54	48432.52	333583.12	0.2165,0.1494
two_epoch	Round_2_Replicate_18	-15751.64	31507.28	28785.82	364188.58	0.1206,0.0769
two_epoch	Round_2_Replicate_19	-24894.25	49792.5	45276.95	315268.61	0.2101,0.1236
two_epoch	Round_2_Replicate_20	-24609.03	49222.06	44674.28	368325.27	0.1864,0.1465
two_epoch	Round_2_Replicate_21	-55936.97	111877.94	103035.91	284388.1	0.4474,0.4585
two_epoch	Round_2_Replicate_22	-15474.02	30952.04	28248.2	416573.52	0.1094,0.0865
two_epoch	Round_2_Replicate_23	-26029.43	52062.86	47239.29	365145.17	0.1971,0.1572
two_epoch	Round_2_Replicate_24	-47952.3	95908.6	87787.83	271274.76	0.4189,0.3129
two_epoch	Round_2_Replicate_25	-15209.46	30422.92	27798.21	380018.73	0.1138,0.0774
two_epoch	Round_2_Replicate_26	-16691.03	33386.06	30504.87	341013.2	0.1313,0.0751
two_epoch	Round_2_Replicate_27	-15987.54	31979.08	29170.57	410878.22	0.1142,0.0894
two_epoch	Round_2_Replicate_28	-8203.93	16411.86	15166.59	669670.33	0.0361,0.0425
two_epoch	Round_2_Replicate_29	-51740.54	103485.08	94957.6	291554.77	0.4137,0.3968
two_epoch	Round_2_Replicate_30	-38265.87	76535.74	69578.43	389927.64	0.2509,0.2766
two_epoch	Round_3_Replicate_1	-11581.64	23167.28	21240.68	825149.05	0.0437,0.064
two_epoch	Round_3_Replicate_2	-12373.67	24751.34	22677.11	469018.92	0.0791,0.0692
two_epoch	Round_3_Replicate_3	-4520.29	9044.58	8474.74	610205.51	0.013,0.013
two_epoch	Round_3_Replicate_4	-4443.29	8890.58	8332.78	708005.19	0.0113,0.0131
two_epoch	Round_3_Replicate_5	-4410.74	8825.48	8274.85	549455.23	0.0122,0.0109
two_epoch	Round_3_Replicate_6	-5208.32	10420.64	9737.45	498270.66	0.0196,0.0159
two_epoch	Round_3_Replicate_7	-5011.13	10026.26	9379.46	467688.74	0.0168,0.0124
two_epoch	Round_3_Replicate_8	-4749.13	9502.26	8894.4	584211.67	0.0152,0.0146
two_epoch	Round_3_Replicate_9	-4360.98	8725.96	8181.79	709729.69	0.0107,0.0124
two_epoch	Round_3_Replicate_10	-5520.95	11045.9	10306.72	521189.41	0.0226,0.0195
two_epoch	Round_3_Replicate_11	-6228.69	12461.38	11598.81	479004.01	0.0294,0.0232
