Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu, T)
two_epoch	Round_1_Replicate_1	-138100.52	276205.04	263232.92	1104448.69	0.2407,2.3055
two_epoch	Round_1_Replicate_2	-136825.05	273654.1	260520.6	666421.26	0.3966,2.0783
two_epoch	Round_1_Replicate_3	-81353.14	162710.28	149708.32	352016.7	0.5046,0.2039
two_epoch	Round_1_Replicate_4	-52643.85	105291.7	95614.7	497964.63	0.27,0.1902
two_epoch	Round_1_Replicate_5	-138125.17	276254.34	263285.41	940955.76	0.2825,2.9696
two_epoch	Round_1_Replicate_6	-164370.19	328744.38	315950.59	250175.65	1.4899,0.0853
two_epoch	Round_1_Replicate_7	-322973.46	645950.92	744212.83	92067.09	4.8991,1.9024
two_epoch	Round_1_Replicate_8	-138042.59	276089.18	263109.56	1027564.53	0.2586,2.2044
two_epoch	Round_1_Replicate_9	-153479.12	306962.24	296526.58	135942.56	2.0847,3.7669
two_epoch	Round_1_Replicate_10	-67462.6	134929.2	122940.34	463024.68	0.3525,0.2666
two_epoch	Round_1_Replicate_11	-138029.95	276063.9	263082.65	409298.6	0.6492,4.3662
two_epoch	Round_1_Replicate_12	-89415.68	178835.36	164520.49	526606.72	0.3815,0.4919
two_epoch	Round_1_Replicate_13	-138112.61	276229.22	263258.67	392362.96	0.6775,5.4827
two_epoch	Round_1_Replicate_14	-102915.6	205835.2	190957.11	503202.92	0.4384,0.6615
two_epoch	Round_1_Replicate_15	-124964.62	249933.24	235643.23	473869.87	0.5272,1.2209
two_epoch	Round_2_Replicate_1	-48575.35	97154.7	88199.42	509488.28	0.2472,0.1719
two_epoch	Round_2_Replicate_2	-53909.58	107823.16	98005.96	465373.63	0.2902,0.1795
two_epoch	Round_2_Replicate_3	-15334.89	30673.78	28322.98	936340.68	0.0469,0.0502
two_epoch	Round_2_Replicate_4	-70558.1	141120.2	128622.6	662576.73	0.2575,0.3399
two_epoch	Round_2_Replicate_5	-97193.45	194390.9	179822.35	356906.13	0.5898,0.3903
two_epoch	Round_2_Replicate_6	-100256.11	200516.22	185887.47	342988.34	0.6254,0.3815
two_epoch	Round_2_Replicate_7	-98973.79	197951.58	183172.42	470050.53	0.4573,0.5895
two_epoch	Round_2_Replicate_8	-86801.73	173607.46	159662.16	379113.9	0.5122,0.3271
two_epoch	Round_2_Replicate_9	-63792.17	127588.34	116032.72	563309.95	0.281,0.2823
two_epoch	Round_2_Replicate_10	-18841.0	37686.0	34646.96	685099.11	0.0766,0.059
two_epoch	Round_2_Replicate_11	-98154.26	196312.52	181591.36	398700.2	0.5352,0.5038
two_epoch	Round_2_Replicate_12	-103488.15	206980.3	192094.03	482764.51	0.4586,0.6642
two_epoch	Round_2_Replicate_13	-55058.82	110121.64	99975.87	530851.46	0.2652,0.2174
two_epoch	Round_2_Replicate_14	-107965.25	215934.5	201262.28	319540.48	0.7038,0.3784
two_epoch	Round_2_Replicate_15	-26014.57	52033.14	47503.91	642187.54	0.1148,0.0882
two_epoch	Round_2_Replicate_16	-117667.71	235339.42	220977.21	294878.06	0.804,0.3353
two_epoch	Round_2_Replicate_17	-70747.86	141499.72	129007.72	521942.89	0.3265,0.3209
two_epoch	Round_2_Replicate_18	-117538.25	235080.5	220468.58	309515.88	0.7734,0.513
two_epoch	Round_2_Replicate_19	-133357.28	266718.56	253348.31	271194.2	0.9538,0.2923
two_epoch	Round_2_Replicate_20	-39579.37	79162.74	72049.68	483512.51	0.2083,0.1126
two_epoch	Round_2_Replicate_21	-71638.32	143280.64	130672.19	530709.22	0.3242,0.3306
two_epoch	Round_2_Replicate_22	-67548.82	135101.64	123060.13	490263.7	0.3349,0.2836
two_epoch	Round_2_Replicate_23	-27017.03	54038.06	49252.51	851223.05	0.0933,0.1025
two_epoch	Round_2_Replicate_24	-116481.75	232967.5	218505.02	298937.97	0.7896,0.362
two_epoch	Round_2_Replicate_25	-134808.09	269620.18	256350.5	269712.73	0.9677,0.3165
two_epoch	Round_2_Replicate_26	-72962.21	145928.42	133144.53	579861.96	0.3011,0.3518
two_epoch	Round_2_Replicate_27	-52074.19	104152.38	94482.06	590409.11	0.23,0.2142
two_epoch	Round_2_Replicate_28	-92237.16	184478.32	170018.16	430118.24	0.4761,0.4687
two_epoch	Round_2_Replicate_29	-55929.6	111863.2	101636.73	485430.16	0.2903,0.2036
two_epoch	Round_2_Replicate_30	-90686.91	181377.82	167130.52	375665.94	0.5344,0.3616
two_epoch	Round_3_Replicate_1	-7155.69	14315.38	13497.18	1035229.8	0.0101,0.0108
two_epoch	Round_3_Replicate_2	-7654.77	15313.54	14411.53	1061345.54	0.0123,0.0135
two_epoch	Round_3_Replicate_3	-16847.04	33698.08	31071.82	678018.01	0.0667,0.0493
two_epoch	Round_3_Replicate_4	-9256.2	18516.4	17335.84	930681.49	0.0213,0.021
two_epoch	Round_3_Replicate_5	-15316.11	30636.22	28300.19	775955.52	0.0545,0.0474
two_epoch	Round_3_Replicate_6	-9012.67	18029.34	16897.87	778339.77	0.021,0.0168
two_epoch	Round_3_Replicate_7	-10397.73	20799.46	19412.99	853593.13	0.0282,0.0257
two_epoch	Round_3_Replicate_8	-8381.85	16767.7	15744.16	832746.62	0.0174,0.015
two_epoch	Round_3_Replicate_9	-9697.08	19398.16	18134.64	1390869.85	0.0166,0.0233
two_epoch	Round_3_Replicate_10	-7824.09	15652.18	14722.97	894772.67	0.0142,0.0132
