Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu, T)
two_epoch	Round_4_Replicate_12	-7120.58	14245.16	13433.26	953554.43	0.0102,0.01
two_epoch	Round_4_Replicate_13	-7098.78	14201.56	13393.08	979216.16	0.01,0.0101
two_epoch	Round_4_Replicate_14	-7102.51	14209.02	13399.92	979823.42	0.01,0.0101
two_epoch	Round_4_Replicate_15	-7094.22	14192.44	13384.75	971689.02	0.01,0.01
two_epoch	Round_4_Replicate_16	-7095.18	14194.36	13386.51	973394.63	0.01,0.01
two_epoch	Round_4_Replicate_17	-7093.92	14191.84	13384.21	970115.11	0.01,0.01
two_epoch	Round_4_Replicate_18	-7094.89	14193.78	13385.99	972114.21	0.01,0.01
two_epoch	Round_4_Replicate_19	-7117.95	14239.9	13428.19	987493.51	0.0101,0.0103
two_epoch	Round_4_Replicate_20	-7113.45	14230.9	13420.04	969908.14	0.0101,0.0101
two_epoch	Round_4_Replicate_21	-7106.63	14217.26	13407.45	982358.0	0.01,0.0102
two_epoch	Round_4_Replicate_22	-7094.8	14193.6	13385.81	972707.97	0.01,0.01
two_epoch	Round_4_Replicate_23	-7094.22	14192.44	13384.75	971689.02	0.01,0.01
two_epoch	Round_4_Replicate_24	-7097.44	14198.88	13390.67	970501.06	0.01,0.01
two_epoch	Round_4_Replicate_25	-7094.22	14192.44	13384.75	971689.02	0.01,0.01
two_epoch	Round_4_Replicate_26	-7196.48	14396.96	13572.45	958958.39	0.0106,0.0105
two_epoch	Round_4_Replicate_27	-7094.22	14192.44	13384.75	971689.02	0.01,0.01
two_epoch	Round_4_Replicate_28	-7105.3	14214.6	13405.09	971288.12	0.0101,0.0101
two_epoch	Round_4_Replicate_29	-7111.42	14226.84	13416.29	975614.47	0.0101,0.0102
two_epoch	Round_4_Replicate_30	-7095.41	14194.82	13386.92	973029.44	0.01,0.01
two_epoch	Round_4_Replicate_31	-7105.41	14214.82	13405.25	976872.97	0.01,0.0101
two_epoch	Round_4_Replicate_32	-7102.29	14208.58	13399.61	964239.76	0.0101,0.01
two_epoch	Round_4_Replicate_33	-7094.22	14192.44	13384.75	971689.02	0.01,0.01
two_epoch	Round_4_Replicate_34	-7108.5	14221.0	13410.91	979479.27	0.0101,0.0102
two_epoch	Round_4_Replicate_35	-7097.28	14198.56	13390.4	967404.38	0.01,0.01
two_epoch	Round_4_Replicate_36	-7096.14	14196.28	13388.27	972927.52	0.01,0.01
two_epoch	Round_4_Replicate_37	-7110.81	14225.62	13415.22	969061.17	0.0101,0.0101
two_epoch	Round_4_Replicate_38	-7104.64	14213.28	13403.8	983457.44	0.01,0.0102
two_epoch	Round_4_Replicate_39	-7098.19	14200.38	13392.01	974981.96	0.01,0.0101
two_epoch	Round_4_Replicate_40	-7095.33	14194.66	13386.79	970725.35	0.01,0.01
two_epoch	Round_4_Replicate_41	-7093.68	14191.36	13383.77	969605.83	0.01,0.01
two_epoch	Round_4_Replicate_42	-7095.18	14194.36	13386.52	971809.55	0.01,0.01
two_epoch	Round_4_Replicate_43	-7093.89	14191.78	13384.16	971461.67	0.01,0.01
two_epoch	Round_4_Replicate_44	-7119.84	14243.68	13431.66	987583.94	0.0101,0.0103
two_epoch	Round_4_Replicate_45	-7120.26	14244.52	13432.44	988295.46	0.0101,0.0103
two_epoch	Round_4_Replicate_46	-7096.07	14196.14	13388.12	973815.69	0.01,0.0101
two_epoch	Round_4_Replicate_47	-7093.89	14191.78	13384.16	970568.68	0.01,0.01
two_epoch	Round_4_Replicate_48	-7096.6	14197.2	13389.08	976416.31	0.01,0.0101
two_epoch	Round_4_Replicate_49	-7094.22	14192.44	13384.75	971689.02	0.01,0.01
two_epoch	Round_4_Replicate_50	-7094.8	14193.6	13385.81	973282.5	0.01,0.01
two_epoch	Round_4_Replicate_51	-7098.78	14201.56	13393.17	965801.27	0.01,0.01
two_epoch	Round_4_Replicate_52	-7104.79	14213.58	13404.06	986338.66	0.01,0.0102
two_epoch	Round_4_Replicate_53	-7093.27	14190.54	13383.03	969787.43	0.01,0.01
two_epoch	Round_4_Replicate_54	-7093.11	14190.22	13382.73	969479.6	0.01,0.01
two_epoch	Round_4_Replicate_55	-7094.22	14192.44	13384.75	971689.02	0.01,0.01
two_epoch	Round_4_Replicate_56	-7094.22	14192.44	13384.75	971689.02	0.01,0.01
two_epoch	Round_4_Replicate_57	-7107.75	14219.5	13409.45	993320.89	0.01,0.0103
two_epoch	Round_4_Replicate_58	-7097.72	14199.44	13391.2	967833.3	0.01,0.01
two_epoch	Round_4_Replicate_59	-7101.29	14206.58	13397.7	975309.29	0.01,0.0101
two_epoch	Round_4_Replicate_60	-7100.35	14204.7	13395.95	980529.67	0.01,0.0101
two_epoch	Round_4_Replicate_61	-7100.67	14205.34	13396.63	966129.88	0.0101,0.01
two_epoch	Round_4_Replicate_62	-7095.09	14194.18	13386.32	974013.22	0.01,0.01
two_epoch	Round_4_Replicate_63	-7094.77	14193.54	13385.76	972746.63	0.01,0.01
two_epoch	Round_4_Replicate_64	-7098.42	14200.84	13392.45	972696.77	0.01,0.0101
two_epoch	Round_4_Replicate_65	-7094.27	14192.54	13384.85	970756.08	0.01,0.01
two_epoch	Round_4_Replicate_66	-7095.04	14194.08	13386.26	970182.78	0.01,0.01
two_epoch	Round_4_Replicate_67	-7114.39	14232.78	13421.83	961911.39	0.0101,0.0101
two_epoch	Round_4_Replicate_68	-7096.58	14197.16	13389.11	967861.82	0.01,0.01
two_epoch	Round_4_Replicate_69	-7098.18	14200.36	13392.01	973440.54	0.01,0.0101
two_epoch	Round_4_Replicate_70	-7092.79	14189.58	13382.14	969909.87	0.01,0.01
two_epoch	Round_4_Replicate_71	-7175.09	14354.18	13533.02	986983.19	0.0104,0.0106
two_epoch	Round_4_Replicate_72	-7094.22	14192.44	13384.75	971689.02	0.01,0.01
two_epoch	Round_4_Replicate_73	-7123.52	14251.04	13438.47	977290.98	0.0101,0.0102
two_epoch	Round_4_Replicate_74	-7137.71	14279.42	13464.47	984765.05	0.0102,0.0104
two_epoch	Round_4_Replicate_75	-7094.22	14192.44	13384.75	971689.02	0.01,0.01
two_epoch	Round_4_Replicate_76	-7094.22	14192.44	13384.75	971689.02	0.01,0.01
two_epoch	Round_4_Replicate_77	-7094.22	14192.44	13384.75	971689.02	0.01,0.01
two_epoch	Round_4_Replicate_78	-7094.35	14192.7	13384.99	972313.55	0.01,0.01
two_epoch	Round_4_Replicate_79	-7102.95	14209.9	13400.83	964681.57	0.0101,0.01
two_epoch	Round_4_Replicate_80	-7097.75	14199.5	13391.22	973739.16	0.01,0.0101
two_epoch	Round_4_Replicate_81	-7102.71	14209.42	13400.35	968393.23	0.0101,0.01
two_epoch	Round_4_Replicate_82	-7095.71	14195.42	13387.45	975846.83	0.01,0.0101
two_epoch	Round_4_Replicate_83	-7094.73	14193.46	13385.7	969608.95	0.01,0.01
two_epoch	Round_4_Replicate_84	-7099.44	14202.88	13394.34	970791.14	0.01,0.01
two_epoch	Round_4_Replicate_85	-7097.51	14199.02	13390.75	978504.59	0.01,0.0101
two_epoch	Round_4_Replicate_86	-7150.32	14304.64	13487.34	1033288.96	0.0101,0.0107
two_epoch	Round_4_Replicate_87	-7094.22	14192.44	13384.75	971689.02	0.01,0.01
two_epoch	Round_4_Replicate_88	-7120.78	14245.56	13433.46	975721.28	0.0101,0.0102
