Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2, T3)
sec_contact_sym_mig_three_epoch	Round_1_Replicate_1	-867510.3	1735032.6	11603801868.96	7633.48	1.2967,0.8989,6.5144,6.6567,0.4988,6.1455
sec_contact_sym_mig_three_epoch	Round_1_Replicate_2	-436867.36	873746.72	15242207.67	20955.48	0.1576,0.7068,0.2215,2.0105,3.9352,0.2721
sec_contact_sym_mig_three_epoch	Round_1_Replicate_3	-313756.66	627525.32	5663173.49	18292.1	0.5556,0.8691,4.9396,1.2262,0.1979,1.1756
sec_contact_sym_mig_three_epoch	Round_1_Replicate_4	-145883.72	291779.44	633530.14	4263.39	3.5498,5.6003,1.4625,3.2337,1.7294,2.1175
sec_contact_sym_mig_three_epoch	Round_1_Replicate_5	-891882.79	1783777.58	7292208382.72	5531.01	0.4928,5.8642,0.3258,1.0567,5.8011,4.2128
sec_contact_sym_mig_three_epoch	Round_1_Replicate_6	-438727.45	877466.9	35732393.45	8462.01	2.0091,1.0949,1.5016,0.3636,2.7664,3.4236
sec_contact_sym_mig_three_epoch	Round_1_Replicate_7	-244411.96	488835.92	255245108259.82	2689.13	7.0445,0.1907,0.1179,0.5193,0.7185,4.7532
sec_contact_sym_mig_three_epoch	Round_1_Replicate_8	-275412.8	550837.6	4231427.56	4265.36	5.0324,5.2236,0.2452,2.714,0.1249,2.2523
sec_contact_sym_mig_three_epoch	Round_1_Replicate_9	-162679.32	325370.64	860022.4	2658.34	6.52,7.7125,0.2229,0.707,7.8632,3.2735
sec_contact_sym_mig_three_epoch	Round_1_Replicate_10	-108772.89	217557.78	504015.25	6964.45	4.4565,2.7533,0.9139,1.4299,0.4204,0.252
sec_contact_sym_mig_three_epoch	Round_2_Replicate_1	-85968.64	171949.28	261366.73	8935.15	2.1324,1.3863,1.5945,2.5941,0.6699,0.5206
sec_contact_sym_mig_three_epoch	Round_2_Replicate_2	-160040.81	320093.62	1206475.47	5316.73	4.7995,4.3636,0.3052,2.6115,0.2975,0.3086
sec_contact_sym_mig_three_epoch	Round_2_Replicate_3	-65377.97	130767.94	169680.66	7207.12	2.2586,1.9688,0.5415,3.7084,1.382,0.1957
sec_contact_sym_mig_three_epoch	Round_2_Replicate_4	-138017.18	276046.36	732857.16	9155.19	1.8804,1.7458,0.3623,2.4872,0.4528,0.2546
sec_contact_sym_mig_three_epoch	Round_2_Replicate_5	-228754.28	457520.56	2131347.65	8579.09	1.8798,2.7577,0.4809,1.5032,0.1482,0.9948
sec_contact_sym_mig_three_epoch	Round_2_Replicate_6	-124724.02	249460.04	544161.84	13701.44	1.447,0.7444,2.7405,0.8409,1.5963,0.5523
sec_contact_sym_mig_three_epoch	Round_2_Replicate_7	-139491.24	278994.48	582025.58	6752.62	2.1952,3.0686,0.5277,2.6755,0.9485,0.9626
sec_contact_sym_mig_three_epoch	Round_2_Replicate_8	-122258.75	244529.5	737879.03	3184.63	11.2879,3.8221,0.2724,4.4745,1.2414,0.3703
sec_contact_sym_mig_three_epoch	Round_2_Replicate_9	-119303.64	238619.28	847709.31	9167.82	2.0788,7.7368,1.1034,0.6354,0.3575,0.0868
sec_contact_sym_mig_three_epoch	Round_2_Replicate_10	-125598.0	251208.0	564609.51	7598.13	4.9147,2.7865,0.9066,0.8927,0.2663,0.3301
sec_contact_sym_mig_three_epoch	Round_2_Replicate_11	-113308.93	226629.86	433160.41	7668.4	6.6736,0.7193,2.0504,1.3186,1.0136,0.3462
sec_contact_sym_mig_three_epoch	Round_2_Replicate_12	-109602.55	219217.1	441302.41	9787.63	2.1992,3.359,0.8164,0.9409,0.2419,0.0972
sec_contact_sym_mig_three_epoch	Round_2_Replicate_13	-125198.81	250409.62	399833.99	6894.72	1.5593,4.1682,1.3198,3.0296,0.6555,0.8277
sec_contact_sym_mig_three_epoch	Round_2_Replicate_14	-76998.28	154008.56	321592.15	6655.41	3.0594,3.0346,2.0558,2.4138,0.6462,0.3341
sec_contact_sym_mig_three_epoch	Round_2_Replicate_15	-106251.33	212514.66	390083.84	11553.16	2.0136,2.2142,0.3555,0.4419,0.5555,0.0619
sec_contact_sym_mig_three_epoch	Round_2_Replicate_16	-168297.87	336607.74	910481.9	6523.04	2.8556,6.1101,0.5245,1.2835,0.2631,0.7739
sec_contact_sym_mig_three_epoch	Round_2_Replicate_17	-68088.32	136188.64	335017.99	9344.79	3.982,0.8736,2.945,1.1065,1.5398,0.1126
