Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2, T3)
sec_contact_sym_mig_three_epoch	Round_1_Replicate_1	-232346.02	464704.04	2299956.95	33204.91	0.3972,0.2576,0.9455,0.4744,0.2611,0.2529
sec_contact_sym_mig_three_epoch	Round_1_Replicate_2	-139094.98	278201.96	681380.33	17107.97	3.1593,0.1928,5.2306,0.305,0.2179,0.1647
sec_contact_sym_mig_three_epoch	Round_1_Replicate_3	-148222.55	296457.1	921756.32	6433.14	2.8641,0.8148,0.5147,7.5321,0.2674,0.167
sec_contact_sym_mig_three_epoch	Round_1_Replicate_4	-91579.87	183171.74	304984.16	18929.68	2.1762,0.2573,5.5084,0.3697,1.0356,0.1295
sec_contact_sym_mig_three_epoch	Round_1_Replicate_5	-115933.1	231878.2	453100.85	9928.27	6.0397,0.8945,1.0521,0.481,0.3536,0.134
sec_contact_sym_mig_three_epoch	Round_1_Replicate_6	-252032.9	504077.8	321668787332219.75	3522.05	0.1795,0.9906,0.6444,0.1943,6.3871,6.2481
sec_contact_sym_mig_three_epoch	Round_1_Replicate_7	-153592.76	307197.52	775561.08	9090.0	1.3432,0.8741,0.3212,6.2812,2.3527,0.5054
sec_contact_sym_mig_three_epoch	Round_1_Replicate_8	-321071.27	642154.54	5039682.73	5456.8	1.2579,4.9845,0.8749,1.4736,8.0008,2.9649
sec_contact_sym_mig_three_epoch	Round_1_Replicate_9	-564121.51	1128255.02	104484557.98	10824.39	0.4801,3.4804,0.2794,0.158,0.4267,1.9848
sec_contact_sym_mig_three_epoch	Round_1_Replicate_10	-277165.31	554342.62	404905036148.27	5111.29	1.5099,0.128,0.1833,2.8131,2.1825,4.275
sec_contact_sym_mig_three_epoch	Round_2_Replicate_1	-53073.42	106158.84	137446.13	20419.74	0.9803,0.4678,2.744,0.5786,0.7356,0.0716
sec_contact_sym_mig_three_epoch	Round_2_Replicate_2	-97753.93	195519.86	325857.71	11807.73	5.1913,0.3564,2.8128,0.7308,0.4599,0.0888
sec_contact_sym_mig_three_epoch	Round_2_Replicate_3	-60199.16	120410.32	189035.93	23999.01	1.9379,0.2381,14.2819,0.5343,1.9644,0.0567
sec_contact_sym_mig_three_epoch	Round_2_Replicate_4	-59949.08	119910.16	365687.62	22944.14	2.5628,0.2657,24.1236,0.2918,3.844,0.0452
sec_contact_sym_mig_three_epoch	Round_2_Replicate_5	-86154.91	172321.82	539771.84	13417.55	6.9641,0.3671,5.2867,0.4761,0.8633,0.0335
sec_contact_sym_mig_three_epoch	Round_2_Replicate_6	-318243.25	636498.5	8583317.51	17338.7	2.7974,0.0912,1.9826,0.5529,2.2093,0.2004
sec_contact_sym_mig_three_epoch	Round_2_Replicate_7	-53549.37	107110.74	258536.54	12450.74	2.1591,0.6827,2.8944,0.7022,2.271,0.0546
sec_contact_sym_mig_three_epoch	Round_2_Replicate_8	-88934.89	177881.78	320060.25	16957.43	6.9129,0.2601,6.0935,0.1321,0.2825,0.0406
sec_contact_sym_mig_three_epoch	Round_2_Replicate_9	-184272.5	368557.0	1253376.51	13962.94	5.6168,0.116,2.0229,0.1531,4.2639,0.0576
