Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2, T3)
sec_contact_sym_mig_three_epoch	Round_1_Replicate_1	-351705.77	703423.54	5467670.49	11309.27	0.3209,3.0478,0.2866,2.09,0.5715,0.4755
sec_contact_sym_mig_three_epoch	Round_1_Replicate_2	-1213237.8	2426487.6	2551197923254.41	19810.86	0.5185,0.299,3.1701,0.4326,3.8287,3.0568
sec_contact_sym_mig_three_epoch	Round_1_Replicate_3	-288849.51	577711.02	485995328500.91	5437.04	1.1581,0.1194,0.2258,5.6918,1.9273,3.5541
sec_contact_sym_mig_three_epoch	Round_1_Replicate_4	-569570.58	1139153.16	3.868435968696242e+16	5931.06	0.3634,1.2093,0.3576,0.1493,3.7765,6.5954
sec_contact_sym_mig_three_epoch	Round_1_Replicate_5	-1138638.64	2277289.28	998456501990.49	20135.97	0.7536,0.1675,5.495,0.9913,0.1188,2.1334
sec_contact_sym_mig_three_epoch	Round_1_Replicate_6	-147063.39	294138.78	776123.95	13534.1	1.3393,0.6874,2.157,0.3877,7.5861,0.6562
sec_contact_sym_mig_three_epoch	Round_1_Replicate_7	-89361.53	178735.06	249591.05	4054.89	3.5385,6.1286,0.4488,1.3112,5.8999,0.7171
sec_contact_sym_mig_three_epoch	Round_1_Replicate_8	-319648.38	639308.76	8827697.58	12426.58	3.7428,0.2135,8.1302,0.7213,0.2058,0.6548
sec_contact_sym_mig_three_epoch	Round_1_Replicate_9	-326069.24	652150.48	6315326.64	6823.81	1.3906,3.4976,0.4582,1.9706,1.3097,2.6769
sec_contact_sym_mig_three_epoch	Round_1_Replicate_10	-283562.26	567136.52	3445051.36	30078.02	0.2724,0.5841,0.5674,0.2191,0.2739,0.334
sec_contact_sym_mig_three_epoch	Round_2_Replicate_1	-175602.25	351216.5	603026.61	3315.29	1.3362,16.2014,0.2324,0.6875,12.3144,0.4411
sec_contact_sym_mig_three_epoch	Round_2_Replicate_2	-86516.51	173045.02	211040.97	6884.09	1.2431,4.8322,0.9111,1.7814,4.2545,0.2145
sec_contact_sym_mig_three_epoch	Round_2_Replicate_3	-129350.38	258712.76	376792.94	5979.21	1.208,4.0386,0.2497,2.5281,8.3975,0.2638
sec_contact_sym_mig_three_epoch	Round_2_Replicate_4	-121099.06	242210.12	362462.73	3412.35	2.7187,6.8736,0.1784,0.9167,14.5657,0.8563
sec_contact_sym_mig_three_epoch	Round_2_Replicate_5	-203457.54	406927.08	1083440.38	6498.09	1.1328,4.9103,0.2167,0.6179,4.5385,0.7353
sec_contact_sym_mig_three_epoch	Round_2_Replicate_6	-67334.6	134681.2	167520.2	1939.09	5.7884,11.4271,0.2042,2.2272,25.0447,0.5529
sec_contact_sym_mig_three_epoch	Round_2_Replicate_7	-138578.09	277168.18	491652.02	4303.16	2.3959,14.8164,0.8909,1.5397,2.5346,0.9443
sec_contact_sym_mig_three_epoch	Round_2_Replicate_8	-48809.15	97630.3	131968.75	2346.92	7.6664,4.7707,0.3912,4.3617,24.7641,0.5554
sec_contact_sym_mig_three_epoch	Round_2_Replicate_9	-232124.5	464261.0	1913267.8	8332.05	1.2077,2.2615,0.1534,1.6566,3.267,0.8983
sec_contact_sym_mig_three_epoch	Round_2_Replicate_10	-109328.98	218669.96	418671.9	5892.16	2.8156,1.5576,0.343,0.4967,23.9776,0.699
sec_contact_sym_mig_three_epoch	Round_2_Replicate_11	-50175.09	100362.18	247199.05	3322.23	4.348,4.6252,1.6735,1.0937,18.0869,0.4148
sec_contact_sym_mig_three_epoch	Round_2_Replicate_12	-78377.83	156767.66	602800.54	5635.53	3.5809,3.7018,1.2551,1.349,2.708,0.2045
sec_contact_sym_mig_three_epoch	Round_2_Replicate_13	-106530.4	213072.8	425688.46	4438.19	4.0868,7.4228,0.4418,2.0872,1.9351,0.4208
sec_contact_sym_mig_three_epoch	Round_2_Replicate_14	-129838.43	259688.86	651811.17	3225.04	6.8441,11.451,1.1493,0.8491,3.1561,1.1952
sec_contact_sym_mig_three_epoch	Round_2_Replicate_15	-142702.16	285416.32	538994.91	5069.72	2.1492,9.9937,0.4974,0.3796,3.1592,0.7426
sec_contact_sym_mig_three_epoch	Round_2_Replicate_16	-75698.49	151408.98	191897.08	3297.88	4.0654,4.5104,0.9541,0.4865,25.5778,1.302
sec_contact_sym_mig_three_epoch	Round_2_Replicate_17	-85065.41	170142.82	222900.94	2649.64	4.151,10.1623,0.1841,1.7839,13.1836,0.3799
sec_contact_sym_mig_three_epoch	Round_2_Replicate_18	-71486.74	142985.48	169775.94	4841.41	2.2715,3.8144,0.3199,1.6614,11.9684,0.1831
sec_contact_sym_mig_three_epoch	Round_2_Replicate_19	-158039.77	316091.54	763774.55	4483.26	2.0832,10.4594,0.1748,3.1345,1.8712,0.3003
sec_contact_sym_mig_three_epoch	Round_2_Replicate_20	-79843.58	159699.16	228528.86	2410.58	6.9335,8.1893,0.1908,1.5062,12.1285,0.8033
sec_contact_sym_mig_three_epoch	Round_3_Replicate_1	-59459.57	118931.14	307073.45	3283.65	3.4741,7.0324,0.8316,5.9864,9.2766,0.2653
sec_contact_sym_mig_three_epoch	Round_3_Replicate_2	-76623.69	153259.38	230996.66	1787.7	10.9422,5.724,0.1237,1.4315,28.6951,1.2045
sec_contact_sym_mig_three_epoch	Round_3_Replicate_3	-42930.54	85873.08	146342.13	4517.71	3.8847,2.2687,0.7031,4.4097,22.0745,0.1102
sec_contact_sym_mig_three_epoch	Round_3_Replicate_4	-54415.75	108843.5	150486.15	3529.11	7.0018,1.883,0.3983,2.588,24.2993,0.1889
sec_contact_sym_mig_three_epoch	Round_3_Replicate_5	-127203.65	254419.3	618529.89	1856.69	15.3383,2.4921,0.1498,11.6757,22.7126,1.5108
sec_contact_sym_mig_three_epoch	Round_3_Replicate_6	-85588.02	171188.04	197727.28	4267.25	2.1752,5.3314,0.8369,1.1419,22.512,0.7595
sec_contact_sym_mig_three_epoch	Round_3_Replicate_7	-49438.67	98889.34	160939.3	4379.77	6.238,1.5735,1.1287,16.5113,20.9819,0.2117
sec_contact_sym_mig_three_epoch	Round_3_Replicate_8	-65539.9	131091.8	158612.46	2027.91	4.7472,10.7614,0.242,13.1535,23.3947,0.466
sec_contact_sym_mig_three_epoch	Round_3_Replicate_9	-99012.29	198036.58	239554.54	3510.87	2.3733,7.6304,1.0279,9.0977,24.4035,1.1408
sec_contact_sym_mig_three_epoch	Round_3_Replicate_10	-103784.79	207581.58	278849.62	3529.09	2.482,6.6984,0.1509,2.2894,13.6192,0.2259
sec_contact_sym_mig_three_epoch	Round_3_Replicate_11	-159688.13	319388.26	936093.05	5573.09	2.9323,1.275,0.1815,7.884,8.7126,0.8326
sec_contact_sym_mig_three_epoch	Round_3_Replicate_12	-56857.19	113726.38	149597.06	3195.0	6.5864,2.5561,0.4992,12.9254,28.8724,0.5886
sec_contact_sym_mig_three_epoch	Round_3_Replicate_13	-173331.35	346674.7	1078061.09	4245.31	3.5585,2.3848,0.209,1.1036,24.4583,1.9884
sec_contact_sym_mig_three_epoch	Round_3_Replicate_14	-90349.13	180710.26	306773.94	2153.82	10.7601,4.2259,0.1905,1.3966,19.2951,1.4717
sec_contact_sym_mig_three_epoch	Round_3_Replicate_15	-46255.74	92523.48	215727.55	2799.43	5.8914,4.3224,1.5376,3.049,28.4608,0.4912
sec_contact_sym_mig_three_epoch	Round_3_Replicate_16	-56462.0	112936.0	138028.7	2330.21	6.2208,5.6799,0.1775,3.8926,27.9044,0.3633
sec_contact_sym_mig_three_epoch	Round_3_Replicate_17	-56857.38	113726.76	435491.05	1486.71	16.0625,7.0901,0.2978,4.483,25.9786,0.2573
sec_contact_sym_mig_three_epoch	Round_3_Replicate_18	-156534.31	313080.62	817044.43	3725.45	3.776,2.9871,0.1709,4.6583,23.3031,1.9075
sec_contact_sym_mig_three_epoch	Round_3_Replicate_19	-47020.35	94052.7	143053.38	2923.28	5.4385,4.3411,0.3417,3.3569,19.9264,0.1433
sec_contact_sym_mig_three_epoch	Round_3_Replicate_20	-67710.45	135432.9	2116084.92	1340.91	9.3127,16.6566,1.0093,10.2192,27.5279,0.5111
sec_contact_sym_mig_three_epoch	Round_3_Replicate_21	-79821.07	159654.14	211609.47	2783.63	4.3572,7.8711,0.1498,4.0744,11.4346,0.2317
sec_contact_sym_mig_three_epoch	Round_3_Replicate_22	-51448.69	102909.38	125621.36	3255.43	4.2141,4.3857,0.4404,1.1463,24.5165,0.3835
