Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m, T1, T2, T3)
sec_contact_sym_mig_three_epoch	Round_4_Replicate_19	-53573.11	107158.22	148691.12	2750.44	5.4673,1.0959,0.9546,28.632,2.0851,0.5266
sec_contact_sym_mig_three_epoch	Round_4_Replicate_20	-32820.65	65653.3	74356.88	3115.32	4.2323,1.5271,0.7017,26.9023,3.567,0.2478
sec_contact_sym_mig_three_epoch	Round_4_Replicate_21	-35363.97	70739.94	81670.41	2835.86	4.2133,1.2188,0.664,28.1943,1.8367,0.2584
sec_contact_sym_mig_three_epoch	Round_4_Replicate_22	-43719.99	87451.98	97629.84	3290.94	4.0745,3.8579,0.5808,13.9754,1.4874,0.3587
sec_contact_sym_mig_three_epoch	Round_4_Replicate_23	-23744.08	47500.16	65062.21	2831.59	3.8007,1.595,1.1197,28.7664,1.9135,0.149
sec_contact_sym_mig_three_epoch	Round_4_Replicate_24	-27317.12	54646.24	59251.86	2562.2	5.3072,1.5075,0.6667,28.5196,1.9172,0.1869
sec_contact_sym_mig_three_epoch	Round_4_Replicate_25	-28863.29	57738.58	67331.19	2449.91	5.446,2.4258,0.443,28.0212,3.7512,0.1489
sec_contact_sym_mig_three_epoch	Round_4_Replicate_26	-26047.74	52107.48	68674.84	3061.49	3.9524,1.5505,0.894,29.9515,3.6167,0.1312
sec_contact_sym_mig_three_epoch	Round_4_Replicate_27	-27848.71	55709.42	111240.53	2445.03	4.6899,2.5824,1.1523,29.1867,1.8243,0.2142
sec_contact_sym_mig_three_epoch	Round_4_Replicate_28	-29815.6	59643.2	71379.85	2223.9	7.4292,3.1852,0.5661,24.3807,1.6652,0.2663
sec_contact_sym_mig_three_epoch	Round_4_Replicate_29	-34883.2	69778.4	71734.02	3163.58	3.8011,2.7874,0.835,19.1432,1.1961,0.378
sec_contact_sym_mig_three_epoch	Round_4_Replicate_30	-27033.26	54078.52	70190.34	2471.67	5.4132,2.2953,0.6321,28.088,3.0341,0.1865
sec_contact_sym_mig_three_epoch	Round_4_Replicate_31	-29568.23	59148.46	67782.33	2559.31	4.5352,2.7487,0.5782,27.0991,2.9903,0.2518
sec_contact_sym_mig_three_epoch	Round_4_Replicate_32	-27223.03	54458.06	59066.99	3028.61	3.8962,1.3142,0.8156,26.6698,2.067,0.1788
sec_contact_sym_mig_three_epoch	Round_4_Replicate_33	-32470.41	64952.82	67420.25	1999.92	7.0056,3.8742,0.4568,29.4664,1.8277,0.425
sec_contact_sym_mig_three_epoch	Round_4_Replicate_34	-29089.51	58191.02	95672.0	2480.47	5.581,2.5303,0.6417,28.0394,4.1947,0.1551
sec_contact_sym_mig_three_epoch	Round_4_Replicate_35	-40130.93	80273.86	95256.15	2712.76	4.1245,1.3838,0.8502,29.9973,1.5939,0.4753
sec_contact_sym_mig_three_epoch	Round_4_Replicate_36	-25754.86	51521.72	59042.53	2761.13	3.8411,1.895,1.0227,28.8119,2.1005,0.2478
sec_contact_sym_mig_three_epoch	Round_4_Replicate_37	-35818.53	71649.06	72434.24	3771.65	2.5541,1.7605,0.6441,20.1796,1.9781,0.2149
sec_contact_sym_mig_three_epoch	Round_4_Replicate_38	-40124.88	80261.76	90379.8	3679.73	3.0382,1.4657,0.8511,22.8314,2.5479,0.373
sec_contact_sym_mig_three_epoch	Round_4_Replicate_39	-28955.93	57923.86	71524.57	2259.36	5.3849,3.0767,0.8675,29.9924,2.4586,0.4147
sec_contact_sym_mig_three_epoch	Round_4_Replicate_40	-29726.17	59464.34	68571.76	5032.39	2.6177,1.4574,0.972,11.7619,1.2799,0.1034
