Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2)
anc_asym_mig	Round_3_Replicate_14	-69939.38	139890.76	261239.72	16247.7	0.7104,2.3624,4.1076,0.066,0.6608,0.0259
anc_asym_mig	Round_3_Replicate_15	-85737.62	171487.24	217987.64	27177.05	0.393,0.7566,2.0072,0.1216,0.1955,0.0776
anc_asym_mig	Round_3_Replicate_16	-106104.96	212221.92	1112512.86	13456.05	2.6109,4.3207,3.0227,0.5016,0.206,0.1994
anc_asym_mig	Round_3_Replicate_17	-123881.44	247774.88	358658.91	15269.3	0.7748,5.7718,2.3198,0.1331,0.2299,0.274
anc_asym_mig	Round_3_Replicate_18	-72997.36	146006.72	214304.54	17532.28	1.0459,1.3986,5.9754,0.7976,0.5167,0.1542
anc_asym_mig	Round_3_Replicate_19	-97196.39	194404.78	1930367.17	16036.8	1.9531,3.4127,1.2829,0.9757,0.2552,0.0377
anc_asym_mig	Round_3_Replicate_20	-143935.0	287882.0	510561.12	9610.23	0.5282,12.5467,1.1488,0.2945,1.3037,0.0147
anc_asym_mig	Round_3_Replicate_21	-85726.27	171464.54	1162958.84	17557.65	1.1968,3.4066,4.4881,0.0647,0.2187,0.0503
anc_asym_mig	Round_3_Replicate_22	-109064.61	218141.22	301381.15	15828.79	0.5953,2.1687,9.1322,0.0553,1.0735,0.296
anc_asym_mig	Round_3_Replicate_23	-59357.75	118727.5	169878.51	18753.08	1.0401,0.7721,2.2614,0.5662,1.1703,0.0281
anc_asym_mig	Round_3_Replicate_24	-54051.47	108114.94	134448.67	20724.48	0.5932,1.0044,3.4348,0.214,2.013,0.0256
anc_asym_mig	Round_3_Replicate_25	-56771.56	113555.12	220248.5	23874.79	0.4777,1.2848,8.456,0.1004,0.2054,0.0344
anc_asym_mig	Round_3_Replicate_26	-98352.93	196717.86	341697.8	16738.93	1.5405,0.7549,3.3661,0.5138,1.9619,0.2475
anc_asym_mig	Round_3_Replicate_27	-77048.97	154109.94	206904.29	20918.44	0.5275,2.4779,15.2075,0.0968,0.1685,0.1184
anc_asym_mig	Round_3_Replicate_28	-72570.86	145153.72	173036.08	24218.12	0.4252,1.0627,2.5875,0.1159,0.3373,0.038
anc_asym_mig	Round_3_Replicate_29	-68894.33	137800.66	173307.47	13307.57	0.5309,2.8131,5.0559,0.0855,1.7687,0.0622
anc_asym_mig	Round_3_Replicate_30	-63629.67	127271.34	228455.94	21641.83	1.2861,0.8217,15.3393,0.4203,0.3141,0.1229
anc_asym_mig	Round_4_Replicate_1	-51360.8	102733.6	159274.22	21638.16	0.674,0.9213,4.1723,0.2534,1.1413,0.0101
anc_asym_mig	Round_4_Replicate_2	-50032.84	100077.68	157833.8	28833.91	0.4752,0.7116,6.3657,0.3321,3.4567,0.0122
anc_asym_mig	Round_4_Replicate_3	-51707.03	103426.06	139217.61	13919.94	0.7081,1.8254,3.0117,0.1158,2.9535,0.0107
anc_asym_mig	Round_4_Replicate_4	-60997.74	122007.48	316358.54	19547.09	1.1883,0.8283,4.1693,0.3586,1.7742,0.0115
anc_asym_mig	Round_4_Replicate_5	-49528.64	99069.28	173214.21	24036.57	0.5611,0.8766,5.7499,0.2021,1.0312,0.012
anc_asym_mig	Round_4_Replicate_6	-57865.28	115742.56	146873.52	15846.0	0.722,1.4483,2.1986,0.1369,2.0545,0.0148
anc_asym_mig	Round_4_Replicate_7	-56986.28	113984.56	262341.1	23919.46	0.8262,0.7456,5.237,0.3239,4.1667,0.0112
anc_asym_mig	Round_4_Replicate_8	-53601.25	107214.5	179286.46	16493.75	1.0311,1.0557,2.7658,0.4783,2.0028,0.0122
anc_asym_mig	Round_4_Replicate_9	-52757.52	105527.04	187758.69	24046.34	0.6855,0.7894,5.0059,0.2456,2.017,0.0111
anc_asym_mig	Round_4_Replicate_10	-54133.75	108279.5	176111.15	19748.62	0.8479,0.9424,3.5335,0.2878,1.2775,0.0109
anc_asym_mig	Round_4_Replicate_11	-49875.85	99763.7	161846.58	23508.69	0.5743,0.8946,5.2056,0.1767,1.3802,0.0104
anc_asym_mig	Round_4_Replicate_12	-47492.11	94996.22	135796.2	19690.99	0.4721,1.2069,5.0875,0.2317,3.7405,0.01
anc_asym_mig	Round_4_Replicate_13	-51388.62	102789.24	131140.04	16022.6	0.7907,1.1754,2.2428,0.2843,3.9015,0.0108
