Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, T1, T2)
no_mig_size	Round_3_Replicate_15	-61522.21	123056.42	465664.74	27159.83	1.7103,3.0725,0.2118,1.4534,0.0424,0.0296
no_mig_size	Round_3_Replicate_16	-142393.71	284799.42	464851.18	27832.33	1.0289,5.6135,0.2214,0.7666,0.1157,0.1919
no_mig_size	Round_3_Replicate_17	-73649.54	147311.08	665647.87	23274.02	1.3104,6.8998,0.3632,6.3744,0.0793,0.0393
no_mig_size	Round_3_Replicate_18	-73120.53	146253.06	194139.41	21863.69	0.9898,6.4968,0.7702,1.2941,0.0625,0.154
no_mig_size	Round_3_Replicate_19	-113853.4	227718.8	277061.7	20172.63	0.7694,11.2011,0.3195,5.4757,0.1653,0.1037
no_mig_size	Round_3_Replicate_20	-64364.53	128741.06	483765.28	28823.94	0.7459,14.1227,0.1239,1.6653,0.0291,0.0177
no_mig_size	Round_3_Replicate_21	-78234.45	156480.9	939975.22	20336.29	5.6089,2.2476,1.0019,3.5838,0.0553,0.1096
no_mig_size	Round_3_Replicate_22	-74551.39	149114.78	336153.2	19110.15	4.4272,2.9078,0.8249,1.4561,0.1593,0.0933
no_mig_size	Round_3_Replicate_23	-72846.39	145704.78	188521.6	24886.8	0.5023,5.4318,0.375,1.4267,0.0818,0.0532
no_mig_size	Round_3_Replicate_24	-112152.74	224317.48	262720.58	20238.96	1.7754,22.1337,0.2244,5.0833,0.1819,0.0896
no_mig_size	Round_3_Replicate_25	-67859.49	135730.98	414480.82	22588.0	2.3697,16.941,0.8536,1.7766,0.0127,0.1257
no_mig_size	Round_3_Replicate_26	-71265.02	142542.04	314753.87	20336.95	2.0265,22.2438,1.005,1.0963,0.102,0.1112
no_mig_size	Round_3_Replicate_27	-53711.65	107435.3	332061.36	27955.93	0.4302,3.2247,0.4195,0.7162,0.0149,0.0483
no_mig_size	Round_3_Replicate_28	-78091.22	156194.44	1040296.44	23002.58	0.6203,13.4155,0.7797,8.5328,0.0627,0.0405
no_mig_size	Round_3_Replicate_29	-99512.75	199037.5	6697756.79	18370.94	5.7222,4.5343,1.4328,3.0654,0.1135,0.0552
no_mig_size	Round_3_Replicate_30	-92997.69	186007.38	19179226.08	23576.91	4.1798,6.2596,1.102,2.8175,0.0175,0.0512
no_mig_size	Round_4_Replicate_1	-63203.97	126419.94	401523.33	26208.64	0.2011,2.3362,0.8255,1.3779,0.022,0.0497
no_mig_size	Round_4_Replicate_2	-57623.05	115258.1	325830.01	28465.09	0.8203,1.8286,0.2852,1.1678,0.0104,0.0471
no_mig_size	Round_4_Replicate_3	-50015.31	100042.62	226906.49	29132.58	0.8122,5.413,0.316,0.5515,0.0128,0.0473
no_mig_size	Round_4_Replicate_4	-57907.02	115826.04	269440.93	25487.53	0.5128,2.4606,0.6467,1.0097,0.0117,0.0889
no_mig_size	Round_4_Replicate_5	-58800.19	117612.38	369347.38	26902.78	0.4414,1.6284,0.452,1.2405,0.0171,0.0559
no_mig_size	Round_4_Replicate_6	-48745.38	97502.76	199140.42	29625.25	0.3912,2.9106,0.3165,0.4778,0.0133,0.0435
no_mig_size	Round_4_Replicate_7	-56908.44	113828.88	322784.38	28889.23	0.3588,3.7695,0.2782,0.9458,0.0125,0.0399
no_mig_size	Round_4_Replicate_8	-54262.75	108537.5	225419.48	29143.38	0.5234,3.0402,0.28,0.7729,0.0109,0.0481
no_mig_size	Round_4_Replicate_9	-51824.11	103660.22	233316.16	29092.68	0.7301,2.0604,0.3051,0.6722,0.0102,0.049
no_mig_size	Round_4_Replicate_10	-55177.21	110366.42	265611.68	27823.59	0.2833,2.9576,0.4244,0.8678,0.0102,0.0585
no_mig_size	Round_4_Replicate_11	-44803.86	89619.72	132832.22	29101.75	0.3835,2.5951,0.4885,0.3471,0.0103,0.0627
no_mig_size	Round_4_Replicate_12	-56221.65	112455.3	346446.92	28715.6	0.4066,1.6983,0.2975,0.9734,0.012,0.0413
no_mig_size	Round_4_Replicate_13	-50656.77	101325.54	203867.43	28290.55	0.6531,2.2445,0.4025,0.615,0.0125,0.0599
no_mig_size	Round_4_Replicate_14	-58475.9	116963.8	395184.12	27967.91	0.3909,4.4893,0.3471,1.1465,0.0113,0.0474
no_mig_size	Round_4_Replicate_15	-57394.44	114800.88	268725.79	28237.99	0.5627,1.9374,0.309,1.0973,0.0132,0.0515
no_mig_size	Round_4_Replicate_16	-54761.73	109535.46	296778.86	26826.12	0.4561,2.8015,0.539,0.8324,0.0101,0.0687
no_mig_size	Round_4_Replicate_17	-56112.97	112237.94	216934.23	27779.85	0.6539,2.8832,0.3682,0.9367,0.012,0.0655
no_mig_size	Round_4_Replicate_18	-58236.31	116484.62	332236.42	28885.83	0.3378,2.2428,0.266,1.1467,0.0117,0.0393
no_mig_size	Round_4_Replicate_19	-50613.76	101239.52	223729.61	28257.97	0.6285,6.4542,0.4114,0.6068,0.0107,0.0589
no_mig_size	Round_4_Replicate_20	-47311.76	94635.52	168822.18	29805.08	0.4489,4.4913,0.323,0.4379,0.0114,0.0485
no_mig_size	Round_4_Replicate_21	-59178.9	118369.8	356874.67	28832.94	0.7388,2.5423,0.2216,1.2513,0.0167,0.0352
no_mig_size	Round_4_Replicate_22	-48098.64	96209.28	220893.05	26900.59	0.4721,2.4276,0.7934,0.4092,0.0103,0.0645
no_mig_size	Round_4_Replicate_23	-56189.18	112390.36	288129.68	27518.44	0.8125,2.1964,0.3899,1.0038,0.0112,0.0614
no_mig_size	Round_4_Replicate_24	-47956.11	95924.22	183720.16	27748.71	0.5715,1.6742,0.5508,0.4546,0.0178,0.0609
no_mig_size	Round_4_Replicate_25	-55509.45	111030.9	265768.07	29006.09	0.4605,2.1165,0.2748,0.8797,0.0122,0.0438
no_mig_size	Round_4_Replicate_26	-50170.49	100352.98	171513.56	29264.5	0.7468,2.1615,0.3148,0.5584,0.0139,0.0538
no_mig_size	Round_4_Replicate_27	-58744.69	117501.38	284519.66	28682.12	0.2574,5.2363,0.2909,1.1376,0.0101,0.0456
no_mig_size	Round_4_Replicate_28	-55153.02	110318.04	255058.45	29185.92	0.3865,4.0766,0.2734,0.8127,0.0108,0.0439
no_mig_size	Round_4_Replicate_29	-44974.7	89961.4	181661.92	30060.94	0.459,3.613,0.3219,0.3604,0.0115,0.0417
no_mig_size	Round_4_Replicate_30	-58064.76	116141.52	246497.65	25302.88	0.5632,3.9306,0.6657,0.9402,0.0189,0.0883
no_mig_size	Round_4_Replicate_31	-52925.4	105862.8	226367.05	26527.77	0.2773,4.1541,0.762,0.6021,0.0148,0.0706
no_mig_size	Round_4_Replicate_32	-46979.34	93970.68	181288.77	30122.61	0.7325,4.3029,0.2693,0.4023,0.0148,0.0407
no_mig_size	Round_4_Replicate_33	-55204.56	110421.12	225275.07	28620.26	0.2726,5.5119,0.3535,0.7259,0.018,0.0457
no_mig_size	Round_4_Replicate_34	-57566.84	115145.68	366880.2	28154.64	0.8235,1.7653,0.3092,1.1639,0.0121,0.0471
no_mig_size	Round_4_Replicate_35	-53647.17	107306.34	276222.82	28086.49	0.4883,2.5103,0.3901,0.7885,0.0101,0.0558
no_mig_size	Round_4_Replicate_36	-57581.0	115174.0	315331.15	26593.2	0.8064,1.9744,0.4494,1.0713,0.0222,0.0612
no_mig_size	Round_4_Replicate_37	-52975.8	105963.6	181170.83	27290.29	0.6927,3.446,0.471,0.6729,0.0183,0.0736
no_mig_size	Round_4_Replicate_38	-57063.42	114138.84	362516.81	28775.93	0.4802,3.3731,0.2777,0.9998,0.0111,0.0408
no_mig_size	Round_4_Replicate_39	-43693.67	87399.34	175010.87	29350.42	0.7735,1.9997,0.3963,0.3336,0.014,0.0463
no_mig_size	Round_4_Replicate_40	-45460.49	90932.98	135902.44	28022.21	0.7598,2.9449,0.6006,0.3146,0.0191,0.0651
