Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, T1, T2)
no_mig_size	Round_1_Replicate_1	-344431.64	688875.28	10162959.65	15056.09	6.4919,1.6049,1.0189,0.9178,0.2952,1.6144
no_mig_size	Round_1_Replicate_2	-116220.02	232452.04	344989.21	17077.98	0.3617,0.7711,5.8044,1.8501,0.1263,0.1811
no_mig_size	Round_1_Replicate_3	-348789.18	697590.36	11186109.9	20616.05	0.4415,0.9551,1.4979,0.2803,0.7429,0.3596
no_mig_size	Round_1_Replicate_4	-752083.74	1504179.48	2189314846.22	19062.69	1.0304,0.3223,0.3028,2.2348,2.1414,0.1714
no_mig_size	Round_1_Replicate_5	-244742.17	489496.34	951512544126638.9	4149.68	0.2208,3.862,0.4119,0.2508,5.7976,1.0071
no_mig_size	Round_1_Replicate_6	-274495.05	549002.1	4228143.71	8614.31	6.9677,2.8977,1.602,1.9033,2.0273,1.0056
no_mig_size	Round_1_Replicate_7	-1240494.83	2481001.66	2323003672445.79	25065.07	0.3111,0.754,0.2027,0.3754,0.6302,1.826
no_mig_size	Round_1_Replicate_8	-267172.18	534356.36	3678053.79	9041.2	2.2917,1.1388,1.9597,4.7741,1.141,0.7815
no_mig_size	Round_1_Replicate_9	-247282.13	494576.26	3156743.24	10403.21	1.2304,1.4259,4.095,0.849,0.5403,0.867
no_mig_size	Round_1_Replicate_10	-1787793.91	3575599.82	2.1783671948776228e+16	10952.7	2.3619,1.8635,0.2336,0.3792,5.9519,2.8107
no_mig_size	Round_2_Replicate_1	-75256.88	150525.76	204811.05	20589.37	1.3777,0.2818,4.1114,1.3277,0.093,0.0697
no_mig_size	Round_2_Replicate_2	-100373.31	200758.62	292594.29	19029.58	0.3713,1.0305,5.4104,0.5615,0.083,0.1769
no_mig_size	Round_2_Replicate_3	-115876.01	231764.02	369976.33	14030.2	0.1842,0.5052,3.457,2.3039,0.0322,0.3958
no_mig_size	Round_2_Replicate_4	-194868.01	389748.02	957989.16	21874.34	0.1772,0.8815,7.4194,1.101,0.2229,0.103
no_mig_size	Round_2_Replicate_5	-149171.43	298354.86	522457.05	20695.35	0.3056,1.8717,25.085,0.8362,0.2599,0.07
no_mig_size	Round_2_Replicate_6	-114515.11	229042.22	481844.47	13578.76	0.7897,1.155,19.482,1.6458,0.0591,0.2453
no_mig_size	Round_2_Replicate_7	-80737.52	161487.04	183035.01	26927.4	0.1717,0.595,20.7589,0.9257,0.0651,0.0423
no_mig_size	Round_2_Replicate_8	-76468.11	152948.22	212337.29	20593.86	0.6719,0.4012,14.8737,1.8302,0.0857,0.0751
no_mig_size	Round_2_Replicate_9	-147473.12	294958.24	794940.41	18299.19	0.6925,0.662,1.6973,0.5086,0.0354,0.4926
no_mig_size	Round_2_Replicate_10	-129901.87	259815.74	470123.32	12856.32	0.2901,1.7781,2.9626,2.3431,0.0619,0.5219
no_mig_size	Round_2_Replicate_11	-223449.21	446910.42	1818260.63	27494.52	0.2237,0.3459,2.0865,0.5278,0.304,0.0966
no_mig_size	Round_2_Replicate_12	-69164.02	138340.04	403911.63	21806.19	0.7298,0.7365,2.875,1.6738,0.0619,0.0649
no_mig_size	Round_2_Replicate_13	-109014.38	218040.76	296062.94	18102.97	0.209,2.4591,17.7203,1.6769,0.0648,0.1436
no_mig_size	Round_2_Replicate_14	-94428.33	188868.66	269653.29	17095.36	0.649,0.7022,1.8695,3.2497,0.0871,0.2237
no_mig_size	Round_2_Replicate_15	-274196.11	548404.22	2975639.14	12791.43	0.1267,1.2671,11.5158,0.6925,0.1658,0.4824
no_mig_size	Round_2_Replicate_16	-105710.66	211433.32	376290.1	14230.11	0.3584,1.3017,4.8245,2.0651,0.0342,0.3129
no_mig_size	Round_2_Replicate_17	-107194.94	214401.88	274437.65	21623.32	0.3608,1.9648,2.1457,3.3622,0.1884,0.0429
no_mig_size	Round_2_Replicate_18	-77274.79	154561.58	1342284.8	21609.28	1.0655,1.3418,1.9863,5.5484,0.0733,0.0432
no_mig_size	Round_2_Replicate_19	-146321.92	292655.84	672418.06	9863.48	0.5175,0.5118,16.759,6.0919,0.0516,0.4375
no_mig_size	Round_2_Replicate_20	-297762.2	595536.4	5108566.06	12147.97	0.2884,0.621,3.1978,2.2954,0.4368,0.6046
no_mig_size	Round_3_Replicate_1	-77234.84	154481.68	189989.56	23325.17	0.364,1.5763,3.0763,0.9325,0.1051,0.0524
no_mig_size	Round_3_Replicate_2	-70322.35	140656.7	293052.4	20288.43	1.7131,0.89,1.4851,2.3525,0.1324,0.0485
no_mig_size	Round_3_Replicate_3	-48518.56	97049.12	156259.48	29183.29	0.2929,0.3967,2.297,0.928,0.0488,0.0125
no_mig_size	Round_3_Replicate_4	-77100.61	154213.22	227115.03	23381.03	0.3416,1.927,8.0798,2.5823,0.089,0.0358
no_mig_size	Round_3_Replicate_5	-75223.83	150459.66	202160.55	21632.74	1.5182,0.502,0.7562,2.1134,0.0125,0.192
no_mig_size	Round_3_Replicate_6	-69177.9	138367.8	155200.91	27217.48	0.3264,0.6838,9.1668,2.2078,0.1084,0.0155
