Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1f, nu2f, T)
schange	Round_1_Replicate_1	-1393537.47	2787084.94	5899279.92	181065.27	2.9513,0.2269,3.2147,1.212,0.6091
schange	Round_1_Replicate_2	-5070814.44	10141638.88	2681804849.62	69121.74	1.989,0.4677,4.5304,3.9233,5.6682
schange	Round_1_Replicate_3	-951945.62	1903901.24	2253866.96	191408.49	2.7158,0.4451,1.9096,3.4963,0.5051
schange	Round_1_Replicate_4	-4373681.33	8747372.66	791161286.77	91872.85	2.7575,1.3331,2.8628,1.3028,5.308
schange	Round_1_Replicate_5	-7896676.37	15793362.74	260751188122.43	214194.79	0.3267,1.9924,0.3534,0.767,3.3593
schange	Round_1_Replicate_6	-3305646.76	6611303.52	54096099.79	121787.01	2.1307,7.015,0.3084,7.2164,2.0663
schange	Round_1_Replicate_7	-664355.36	1328720.72	1417991.72	264402.48	2.6066,3.7678,1.7632,0.1541,0.2732
schange	Round_1_Replicate_8	-649965.47	1299940.94	1658321.75	340031.98	0.3747,0.1819,1.0425,0.7303,0.2498
schange	Round_1_Replicate_9	-429331.19	858672.38	747030.87	393770.46	0.2935,0.174,0.3368,1.7205,0.129
schange	Round_1_Replicate_10	-4610477.33	9220964.66	602055161.35	241699.03	0.3916,0.2962,0.3353,2.5556,1.5856
schange	Round_1_Replicate_11	-1791591.79	3583193.58	13550042.68	81325.22	7.0324,4.467,6.1956,1.2379,2.5067
schange	Round_1_Replicate_12	-1563849.13	3127708.26	9022327.79	458148.97	0.1598,0.3294,0.3174,0.4225,0.3898
schange	Round_1_Replicate_13	-8021246.15	16042502.3	118695713315.44	122358.65	7.1537,0.178,0.23,8.4417,4.2878
schange	Round_1_Replicate_14	-11129853.93	22259717.86	125834656641559.84	280211.48	0.4335,0.6441,0.4399,0.1256,3.1407
schange	Round_1_Replicate_15	-393957.93	787925.86	986002.26	336213.72	7.7156,8.1099,0.2967,0.178,0.3792
schange	Round_2_Replicate_1	-700502.61	1401015.22	2165749.96	212675.14	17.5317,12.9313,0.5101,0.6054,0.9325
schange	Round_2_Replicate_2	-626716.89	1253443.78	1718205.25	323167.11	27.5822,4.4654,0.3874,0.0787,0.293
schange	Round_2_Replicate_3	-523190.26	1046390.52	1290694.73	338856.71	15.7261,2.5625,0.1426,0.6393,0.193
schange	Round_2_Replicate_4	-1222454.21	2444918.42	5940118.15	251725.5	23.5059,12.0161,0.6715,0.1072,0.7719
schange	Round_2_Replicate_5	-558538.33	1117086.66	1201028.63	299543.86	5.6769,13.3608,0.8774,0.0818,0.2044
schange	Round_2_Replicate_6	-815268.1	1630546.2	2972395.44	219381.99	5.4949,7.1859,1.1344,0.6856,0.3983
schange	Round_2_Replicate_7	-239606.56	479223.12	481542.28	402620.24	13.9877,14.08,0.1379,0.0958,0.1845
schange	Round_2_Replicate_8	-1057734.23	2115478.46	4741023.76	342657.6	5.7852,23.67,0.4014,0.0814,0.645
schange	Round_2_Replicate_9	-365730.83	731471.66	1015146.94	381102.51	11.5929,8.3017,0.1418,0.1497,0.1345
schange	Round_2_Replicate_10	-345085.47	690180.94	744629.79	376158.85	16.9562,8.8435,0.2293,0.0569,0.1509
schange	Round_2_Replicate_11	-777090.95	1554191.9	2820615.06	205381.79	6.5218,27.188,0.8505,0.3797,1.0212
schange	Round_2_Replicate_12	-2177372.73	4354755.46	23805752.6	297019.14	4.6372,4.7604,0.2597,0.3918,1.5056
schange	Round_2_Replicate_13	-796908.33	1593826.66	3005696.76	241649.65	6.2036,4.6318,0.6192,0.4158,0.8563
schange	Round_2_Replicate_14	-437837.91	875685.82	978263.38	335790.83	3.0427,5.8046,0.5877,0.0974,0.1632
schange	Round_2_Replicate_15	-404873.24	809756.48	899520.7	321904.94	2.3244,18.6954,0.4919,0.1726,0.2362
schange	Round_2_Replicate_16	-834642.14	1669294.28	6741198.35	285071.8	9.4387,3.927,0.4369,0.6341,0.2048
schange	Round_2_Replicate_17	-793216.49	1586442.98	2892349.8	283008.96	16.9661,2.2029,0.9886,0.1659,0.1547
schange	Round_2_Replicate_18	-2193192.38	4386394.76	25046918.94	239646.04	24.8904,13.5901,0.6595,0.1021,1.3049
schange	Round_2_Replicate_19	-3715588.55	7431187.1	172672572.42	416586.86	2.6341,2.1799,0.3183,0.067,1.0345
schange	Round_2_Replicate_20	-1031728.44	2063466.88	4016904.07	535315.08	6.0823,2.391,0.1046,0.0684,0.3551
schange	Round_2_Replicate_21	-586959.03	1173928.06	1429212.66	248699.78	2.6554,18.4473,1.1691,0.2017,0.4855
schange	Round_2_Replicate_22	-893326.47	1786662.94	3739136.34	308739.61	4.5929,5.4774,0.411,0.2217,0.7473
schange	Round_2_Replicate_23	-322174.64	644359.28	675856.42	351413.95	6.7029,8.8313,0.3098,0.1161,0.2249
schange	Round_2_Replicate_24	-567434.11	1134878.22	1224680.64	340768.04	3.6157,26.8271,0.1649,0.3695,0.1918
schange	Round_2_Replicate_25	-385095.31	770200.62	729861.19	400096.22	11.268,23.6476,0.0837,0.1655,0.1462
schange	Round_2_Replicate_26	-425426.98	850863.96	841934.38	312951.82	10.1428,2.4811,0.2544,0.5028,0.3159
schange	Round_2_Replicate_27	-624307.16	1248624.32	2009027.06	412797.63	13.8314,5.0813,0.1815,0.0862,0.3683
schange	Round_2_Replicate_28	-512147.05	1024304.1	1102563.91	298368.29	11.3809,10.6919,0.625,0.1034,0.235
schange	Round_2_Replicate_29	-1304176.45	2608362.9	7442911.98	237683.26	26.3645,4.7402,0.3293,0.5633,1.4153
schange	Round_2_Replicate_30	-477867.09	955744.18	943135.63	300870.49	2.9542,9.0907,0.3623,0.4189,0.3268
schange	Round_3_Replicate_1	-1129728.2	2259466.4	5131413.91	322639.74	13.0625,22.6731,0.4238,0.0689,0.6119
schange	Round_3_Replicate_2	-253469.17	506948.34	464048.06	478293.69	4.9406,11.7365,0.0558,0.0685,0.1053
schange	Round_3_Replicate_3	-460701.67	921413.34	1198003.07	280888.35	21.3552,24.6322,0.3416,0.2466,0.5552
schange	Round_3_Replicate_4	-290353.33	580716.66	520944.52	417716.08	28.5428,29.1135,0.2011,0.1977,0.1257
schange	Round_3_Replicate_5	-241058.37	482126.74	506787.97	410832.6	21.1967,15.7886,0.1229,0.0894,0.2018
schange	Round_3_Replicate_6	-469321.47	938652.94	1225894.55	415524.91	29.5343,29.1759,0.1993,0.0392,0.1823
schange	Round_3_Replicate_7	-443371.42	886752.84	905563.48	365173.54	17.1712,7.9819,0.1075,0.3188,0.1811
schange	Round_3_Replicate_8	-513553.0	1027116.0	930932.02	409644.91	7.013,20.8679,0.0592,0.2106,0.1391
schange	Round_3_Replicate_9	-546841.9	1093693.8	1607860.95	461199.65	29.5343,29.1759,0.1213,0.0405,0.2572
