Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1f, nu2f, T)
schange	Round_4_Replicate_17	-149912.48	299834.96	296068.24	263209.78	2.8908,2.9372,0.1642,0.0999,0.1353
schange	Round_4_Replicate_18	-142749.77	285509.54	279906.42	274800.67	1.2588,3.6261,0.175,0.0792,0.1218
schange	Round_4_Replicate_19	-128170.89	256351.78	245638.05	288690.06	2.2383,3.6247,0.103,0.0673,0.1011
schange	Round_4_Replicate_20	-142807.73	285625.46	290330.11	280880.05	1.2221,2.3524,0.1726,0.0689,0.1135
schange	Round_4_Replicate_21	-138415.7	276841.4	270551.73	282181.72	1.6904,1.166,0.1333,0.0961,0.107
schange	Round_4_Replicate_22	-129265.45	258540.9	253243.37	284697.1	3.095,1.7301,0.1019,0.0737,0.0933
schange	Round_4_Replicate_23	-149003.35	298016.7	293551.72	266207.95	3.1922,2.1465,0.1493,0.1098,0.1363
schange	Round_4_Replicate_24	-166501.06	333012.12	335049.23	255568.52	3.345,1.3086,0.1827,0.1473,0.156
schange	Round_4_Replicate_25	-109876.6	219763.2	208458.92	316462.26	1.5093,1.1341,0.0529,0.0407,0.0526
schange	Round_4_Replicate_26	-123162.79	246335.58	238558.49	292950.94	1.3055,3.0832,0.1121,0.0536,0.0841
schange	Round_4_Replicate_27	-139014.67	278039.34	272695.41	277558.53	2.1757,3.0549,0.1366,0.0837,0.1225
schange	Round_4_Replicate_28	-152733.75	305477.5	295102.38	265463.44	2.0948,2.0622,0.1633,0.1201,0.134
schange	Round_4_Replicate_29	-118416.0	236842.0	232017.42	304828.77	2.5744,1.9013,0.0745,0.0526,0.081
schange	Round_4_Replicate_30	-120330.59	240671.18	230932.39	296347.88	3.0606,3.37,0.0802,0.056,0.0872
schange	Round_4_Replicate_31	-152715.08	305440.16	284692.54	273189.08	3.1516,2.207,0.107,0.1242,0.1156
schange	Round_4_Replicate_32	-144836.08	289682.16	283892.63	274238.67	2.4409,1.2289,0.1381,0.1123,0.1205
schange	Round_4_Replicate_33	-140957.66	281925.32	279233.09	271688.55	1.9621,3.6908,0.1612,0.0724,0.1128
schange	Round_4_Replicate_34	-127435.7	254881.4	252213.6	306170.06	1.3981,1.323,0.0899,0.0644,0.0883
schange	Round_4_Replicate_35	-135619.9	271249.8	268719.39	279130.06	1.4412,3.4679,0.1573,0.0621,0.1029
schange	Round_4_Replicate_36	-112548.53	225107.06	217250.02	317144.95	1.8329,1.2335,0.0574,0.044,0.0624
schange	Round_4_Replicate_37	-118404.06	236818.12	225278.3	305104.24	1.0902,2.0081,0.0871,0.0515,0.0731
schange	Round_4_Replicate_38	-147551.97	295113.94	297465.58	270855.84	2.6353,3.2754,0.1526,0.0916,0.1421
schange	Round_4_Replicate_39	-135952.7	271915.4	263394.48	281633.66	3.0662,1.0794,0.108,0.1019,0.1043
schange	Round_4_Replicate_40	-128656.82	257323.64	248747.87	300842.75	1.321,1.0478,0.0961,0.0774,0.0887
schange	Round_4_Replicate_41	-123094.63	246199.26	238168.08	296146.33	1.7423,1.3356,0.0946,0.0658,0.0822
schange	Round_4_Replicate_42	-137817.63	275645.26	267766.18	279918.0	1.1052,1.8826,0.1608,0.0795,0.1016
schange	Round_4_Replicate_43	-115746.2	231502.4	230029.96	311090.91	0.8687,3.1285,0.0928,0.0339,0.0677
schange	Round_4_Replicate_44	-137565.08	275140.16	270973.71	287964.56	2.3234,1.2068,0.1092,0.0962,0.1114
schange	Round_4_Replicate_45	-156502.59	313015.18	312974.09	263876.82	2.4759,1.6789,0.1725,0.1209,0.1445
schange	Round_4_Replicate_46	-135631.75	271273.5	266524.88	288011.79	2.2988,1.4326,0.1094,0.0897,0.1102
schange	Round_4_Replicate_47	-132149.83	264309.66	255212.98	284236.51	2.9864,3.4765,0.1058,0.0762,0.1125
schange	Round_4_Replicate_48	-117427.2	234864.4	224757.79	302793.8	1.7703,1.3792,0.0757,0.0556,0.0697
schange	Round_4_Replicate_49	-119861.79	239733.58	233524.38	303735.39	2.4714,1.2397,0.075,0.0608,0.08
schange	Round_4_Replicate_50	-151911.74	303833.48	313357.39	292209.17	3.6385,1.2119,0.0943,0.1065,0.1308
schange	Round_4_Replicate_51	-129268.53	258547.06	254275.75	287351.61	4.233,1.358,0.0928,0.0801,0.0996
schange	Round_4_Replicate_52	-127499.95	255009.9	249187.78	290480.84	1.1704,3.6384,0.1305,0.0567,0.0958
schange	Round_4_Replicate_53	-140907.3	281824.6	269338.7	278699.58	1.6872,1.6301,0.1341,0.1018,0.1114
schange	Round_4_Replicate_54	-112981.83	225973.66	216656.02	309796.26	1.3701,1.0306,0.0649,0.0465,0.0565
schange	Round_4_Replicate_55	-148788.9	297587.8	296788.3	266368.31	1.7547,3.014,0.1877,0.0783,0.1144
schange	Round_4_Replicate_56	-121141.5	242293.0	235752.3	294481.29	3.8415,2.9806,0.0817,0.0579,0.0915
schange	Round_4_Replicate_57	-118709.8	237429.6	231725.62	298676.79	1.1384,2.4512,0.0958,0.0443,0.0669
schange	Round_4_Replicate_58	-141844.59	283699.18	273317.16	272949.87	1.983,3.1474,0.1429,0.0894,0.1155
schange	Round_4_Replicate_59	-108924.87	217859.74	218469.01	319944.39	1.6846,1.1859,0.0475,0.0251,0.0428
schange	Round_4_Replicate_60	-110675.2	221360.4	208917.08	314027.33	1.4108,3.4521,0.0589,0.0345,0.0576
schange	Round_4_Replicate_61	-132633.42	265276.84	257365.0	284982.75	1.8183,1.0813,0.1162,0.0864,0.0912
schange	Round_4_Replicate_62	-149347.03	298704.06	296888.07	264975.65	1.9059,3.1529,0.186,0.0831,0.1201
schange	Round_4_Replicate_63	-142997.32	286004.64	279982.32	274259.87	1.3297,2.285,0.1727,0.0856,0.1154
