Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1f, nu2f, T)
schange	Round_1_Replicate_1	-4988700.69	9977411.38	1342679122.3	118950.22	0.7257,0.2933,8.1952,0.4738,2.076
schange	Round_1_Replicate_2	-2573562.75	5147135.5	38469775.65	140842.52	1.2345,2.9948,0.7283,3.208,2.2112
schange	Round_1_Replicate_3	-8257627.0	16515264.0	859117824559.62	183586.6	7.7582,0.1653,0.5129,0.9014,3.8494
schange	Round_1_Replicate_4	-1070448.15	2140906.3	3694257.06	181207.6	1.8397,0.6056,1.9471,1.9512,0.7791
schange	Round_1_Replicate_5	-2718854.25	5437718.5	56715748.47	357650.73	0.202,1.7643,0.7581,0.2024,0.9196
schange	Round_1_Replicate_6	-1288166.37	2576342.74	4801857.79	134667.05	2.3476,1.1685,1.8478,5.5306,1.2052
schange	Round_1_Replicate_7	-4201906.23	8403822.46	1.5067924215168415e+18	113176.59	0.4916,1.8014,0.67,0.1211,7.463
schange	Round_1_Replicate_8	-14860186.04	29720382.08	7.888204953811174e+17	243094.29	0.4606,1.1163,0.2531,0.1267,4.5776
schange	Round_1_Replicate_9	-1351301.62	2702613.24	5390086.02	268162.2	0.4142,8.3869,0.397,0.8854,0.613
schange	Round_1_Replicate_10	-2172852.17	4345714.34	20530324.19	214620.28	0.3686,0.2091,0.9969,5.7906,0.9202
schange	Round_1_Replicate_11	-1557667.5	3115345.0	28452257.82	214780.81	0.5979,5.1928,3.2099,8.3328,0.2542
schange	Round_1_Replicate_12	-1035471.18	2070952.36	3399752.84	336445.7	0.4659,7.1697,0.2786,0.4486,0.4546
schange	Round_1_Replicate_13	-3807557.72	7615125.44	196292381.94	424103.51	2.2659,0.7592,0.1857,0.228,1.2931
schange	Round_1_Replicate_14	-3467215.94	6934441.88	149546486.62	328182.67	1.787,0.3487,0.2957,0.5802,1.3967
schange	Round_1_Replicate_15	-457522.26	915054.52	866742.64	320033.09	5.2282,3.911,0.2385,0.5092,0.2932
schange	Round_2_Replicate_1	-1200686.55	2401383.1	47172276.58	325413.18	10.9523,4.7304,0.1944,1.0737,0.1102
schange	Round_2_Replicate_2	-642082.39	1284174.78	1303455.4	391524.57	2.2405,3.7105,0.0712,0.583,0.1053
schange	Round_2_Replicate_3	-1899421.29	3798852.58	11994912.25	350215.19	10.2909,4.2487,0.1069,0.4537,0.9515
schange	Round_2_Replicate_4	-1427843.82	2855697.64	5477409.75	371769.37	4.0021,1.5433,0.0897,0.7069,0.5311
schange	Round_2_Replicate_5	-747937.43	1495884.86	1440715.05	260781.43	15.7899,5.1459,0.209,1.7012,0.3863
schange	Round_2_Replicate_6	-637369.15	1274748.3	1461056.99	273188.23	8.1653,1.876,0.2797,1.0652,0.5171
schange	Round_2_Replicate_7	-444082.89	888175.78	910517.87	312977.11	1.8592,1.0913,0.5542,0.4424,0.2807
schange	Round_2_Replicate_8	-385818.87	771647.74	984658.13	376115.75	23.5614,13.4318,0.1548,0.1494,0.3693
schange	Round_2_Replicate_9	-268989.77	537989.54	537552.85	406249.41	2.0899,0.9874,0.2213,0.1505,0.1472
schange	Round_2_Replicate_10	-443604.86	887219.72	1010142.81	284624.66	5.7406,11.6704,0.4622,0.2805,0.4383
schange	Round_2_Replicate_11	-1635705.3	3271420.6	11648541.35	370612.12	1.5256,8.9726,0.309,0.17,0.9265
schange	Round_2_Replicate_12	-1108205.33	2216420.66	3082141.81	289136.62	18.3669,1.4461,0.1121,1.8294,0.5643
schange	Round_2_Replicate_13	-744929.97	1489869.94	2025567.28	226700.3	21.2192,1.1479,0.397,1.5825,0.7085
schange	Round_2_Replicate_14	-700377.65	1400765.3	1541409.42	256812.27	4.7133,9.2487,0.3162,0.8466,0.5454
schange	Round_2_Replicate_15	-774065.97	1548141.94	1394381.88	297940.64	7.1467,7.5897,0.1383,1.3417,0.2886
schange	Round_2_Replicate_16	-940551.85	1881113.7	3504045.53	227920.42	5.9721,1.5704,0.4827,1.1565,0.9071
schange	Round_2_Replicate_17	-1391552.38	2783114.76	6360812.76	420595.24	7.6774,3.008,0.1019,0.2766,0.6551
schange	Round_2_Replicate_18	-713403.54	1426817.08	2008603.97	259182.76	3.8294,14.5201,0.4711,0.7691,0.3327
schange	Round_2_Replicate_19	-408633.92	817277.84	775336.87	342677.34	3.1518,10.7019,0.2291,0.2869,0.2793
schange	Round_2_Replicate_20	-1193880.87	2387771.74	5393562.66	244235.18	21.5191,1.2878,0.7919,0.178,0.6092
schange	Round_2_Replicate_21	-786775.88	1573561.76	4940119.0	361044.72	3.4932,2.8287,0.1291,0.7893,0.101
schange	Round_2_Replicate_22	-1086747.36	2173504.72	18299389.59	334797.88	2.6697,3.4186,0.1893,1.9848,0.104
schange	Round_2_Replicate_23	-1691807.12	3383624.24	8545064.71	238060.52	3.4347,3.5919,0.2118,1.5035,1.0173
schange	Round_2_Replicate_24	-680680.87	1361371.74	3696601.19	337286.91	13.4732,2.9998,0.1632,0.6094,0.1481
schange	Round_2_Replicate_25	-952375.24	1904760.48	2132290.71	275178.89	9.3197,8.7503,0.1397,1.2045,0.4793
schange	Round_2_Replicate_26	-1222635.77	2445281.54	3527722.07	256442.09	5.4556,6.4204,0.1593,1.485,0.6314
schange	Round_2_Replicate_27	-981582.86	1963175.72	5425831.68	247963.63	3.9268,6.7196,0.5022,1.963,0.2881
schange	Round_2_Replicate_28	-730654.7	1461319.4	2032357.8	421491.38	17.2597,8.3612,0.0815,0.2043,0.4011
schange	Round_2_Replicate_29	-1776127.49	3552264.98	10963995.41	292286.01	15.6076,4.1433,0.1465,0.6429,1.1684
schange	Round_2_Replicate_30	-448560.4	897130.8	1175580.83	372867.87	14.4596,1.2285,0.172,0.2851,0.3506
schange	Round_3_Replicate_1	-220403.78	440817.56	419636.52	459944.66	2.7858,0.3644,0.0933,0.1554,0.0959
schange	Round_3_Replicate_2	-297780.47	595570.94	549048.86	410602.23	0.558,1.2373,0.2725,0.1977,0.1334
schange	Round_3_Replicate_3	-471222.58	942455.16	933950.28	371080.53	2.1008,2.5421,0.1556,0.4575,0.1555
schange	Round_3_Replicate_4	-303261.72	606533.44	569769.78	395944.26	2.9172,1.9432,0.1622,0.2257,0.1583
schange	Round_3_Replicate_5	-426983.24	853976.48	1106612.56	409882.79	3.9593,0.4366,0.202,0.2133,0.2294
schange	Round_3_Replicate_6	-858214.8	1716439.6	2774689.06	501997.3	0.8525,0.3507,0.1261,0.2757,0.2778
schange	Round_3_Replicate_7	-423431.24	846872.48	733392.15	400806.55	7.0953,0.998,0.0816,0.5312,0.1579
schange	Round_3_Replicate_8	-291254.75	582519.5	575776.78	391653.7	1.5945,1.8303,0.2506,0.1699,0.1472
schange	Round_3_Replicate_9	-418911.13	837832.26	951436.3	371167.78	2.6851,1.275,0.4196,0.0769,0.1034
schange	Round_3_Replicate_10	-201681.01	403372.02	386329.66	460012.62	2.7233,2.688,0.0989,0.0736,0.1027
schange	Round_3_Replicate_11	-236773.95	473557.9	449947.5	436283.45	1.155,1.1223,0.1695,0.1271,0.117
schange	Round_3_Replicate_12	-365312.12	730634.24	779649.78	348965.89	2.311,1.907,0.4332,0.1786,0.2351
schange	Round_3_Replicate_13	-425061.97	850133.94	826784.9	335995.76	0.6095,1.3506,0.7484,0.3308,0.2047
schange	Round_3_Replicate_14	-359934.31	719878.62	666847.19	369305.99	4.991,0.5884,0.1778,0.5639,0.1971
schange	Round_3_Replicate_15	-369666.69	739343.38	797185.4	331697.77	5.692,2.9765,0.3133,0.2645,0.3109
schange	Round_3_Replicate_16	-328941.44	657892.88	673600.57	379998.54	1.6982,0.6558,0.3125,0.2495,0.1874
schange	Round_3_Replicate_17	-614961.19	1229932.38	1557131.19	358242.04	5.8683,0.9346,0.5647,0.0392,0.0705
schange	Round_3_Replicate_18	-337650.36	675310.72	796266.36	380961.33	6.7668,2.1274,0.2178,0.1608,0.2596
schange	Round_3_Replicate_19	-370160.78	740331.56	766348.07	343840.84	2.6982,3.1124,0.4732,0.1378,0.2041
schange	Round_3_Replicate_20	-353231.57	706473.14	684489.69	375899.97	0.7457,0.8362,0.3819,0.3202,0.1921
schange	Round_3_Replicate_21	-1221394.61	2442799.22	5444510.38	536828.77	1.1903,0.7948,0.1351,0.1287,0.3806
schange	Round_3_Replicate_22	-499643.08	999296.16	1058012.31	296474.12	3.5199,3.445,0.8155,0.1674,0.2557
schange	Round_3_Replicate_23	-313725.97	627461.94	628024.41	392151.63	0.5922,1.6152,0.438,0.1541,0.1725
schange	Round_3_Replicate_24	-626447.86	1252905.72	1858176.83	436440.4	0.6529,1.4167,0.2423,0.1902,0.3053
schange	Round_3_Replicate_25	-382086.31	764182.62	770407.58	349810.7	4.4254,0.4309,0.2914,0.4781,0.2085
schange	Round_3_Replicate_26	-287993.34	575996.68	617781.04	403958.2	6.6035,3.5159,0.1976,0.0665,0.1427
schange	Round_3_Replicate_27	-379459.15	758928.3	786263.46	371104.43	1.0059,0.4366,0.5222,0.2148,0.1606
schange	Round_3_Replicate_28	-364629.69	729269.38	779851.96	349513.32	2.0612,2.5108,0.4587,0.1576,0.235
schange	Round_3_Replicate_29	-532805.21	1065620.42	1172522.66	310531.0	3.6154,0.3735,0.64,0.4902,0.1872
schange	Round_3_Replicate_30	-348327.92	696665.84	719356.01	336439.92	6.4731,3.1728,0.3028,0.2342,0.2657
schange	Round_3_Replicate_31	-500352.8	1000715.6	1250233.7	396982.36	2.933,0.2184,0.3031,0.0525,0.0618
schange	Round_3_Replicate_32	-609857.64	1219725.28	1635049.24	280715.86	2.3717,1.7356,0.5069,0.6188,0.5128
schange	Round_3_Replicate_33	-447174.58	894359.16	848920.54	343093.0	1.0187,2.5305,0.3449,0.4446,0.2082
schange	Round_3_Replicate_34	-267950.6	535911.2	512220.95	425070.47	3.1274,0.4944,0.1347,0.2493,0.144
schange	Round_3_Replicate_35	-255046.64	510103.28	516600.63	428993.16	2.5327,0.3456,0.1439,0.1653,0.0949
schange	Round_3_Replicate_36	-418137.92	836285.84	875267.49	331573.44	5.794,0.5035,0.3198,0.5297,0.2569
schange	Round_3_Replicate_37	-599570.77	1199151.54	1402076.08	240708.06	6.4155,2.4845,0.8683,0.4509,0.4711
schange	Round_3_Replicate_38	-440536.14	881082.28	958233.83	357414.47	0.7801,2.3517,0.3759,0.3175,0.2803
schange	Round_3_Replicate_39	-308651.18	617312.36	642580.08	395277.56	6.5753,0.4013,0.1883,0.1915,0.1341
schange	Round_3_Replicate_40	-262526.69	525063.38	521224.04	443369.02	4.0541,0.4433,0.109,0.2168,0.1413
schange	Round_3_Replicate_41	-414355.93	828721.86	882167.73	322983.06	2.4092,3.5939,0.6085,0.1595,0.259
schange	Round_3_Replicate_42	-397211.51	794433.02	703114.42	406329.8	1.3629,2.7375,0.1272,0.2772,0.1444
schange	Round_3_Replicate_43	-476292.11	952594.22	1235793.51	423030.94	0.6488,1.9801,0.2619,0.1772,0.2622
schange	Round_3_Replicate_44	-275193.58	550397.16	523727.33	409378.5	0.7685,1.3912,0.2791,0.1568,0.1404
schange	Round_3_Replicate_45	-332135.66	664281.32	702933.96	431953.09	0.553,0.5521,0.2494,0.2306,0.1646
schange	Round_3_Replicate_46	-325706.77	651423.54	666013.78	387610.3	2.0043,0.6651,0.2457,0.2906,0.1991
schange	Round_3_Replicate_47	-274928.96	549867.92	556487.43	454203.44	0.5942,2.8978,0.1816,0.1037,0.1426
schange	Round_3_Replicate_48	-184994.41	369998.82	361622.9	482224.03	1.477,2.3237,0.0925,0.0486,0.0793
schange	Round_3_Replicate_49	-359181.01	718372.02	683579.54	368566.32	1.1053,0.8099,0.3281,0.3833,0.1718
schange	Round_3_Replicate_50	-455796.0	911602.0	994437.84	341496.66	4.7674,0.6946,0.4653,0.1578,0.1819
schange	Round_4_Replicate_1	-187761.8	375533.6	368260.62	481878.48	2.0396,1.9239,0.0864,0.0552,0.0854
schange	Round_4_Replicate_2	-202882.07	405774.14	409744.38	464980.36	2.1399,2.1603,0.1147,0.0614,0.1024
schange	Round_4_Replicate_3	-178705.44	357420.88	352980.62	493789.43	1.2081,1.8333,0.0821,0.0392,0.0658
schange	Round_4_Replicate_4	-190482.5	380975.0	370344.07	468665.26	2.0887,3.4488,0.0946,0.0526,0.0842
schange	Round_4_Replicate_5	-169414.43	338838.86	338088.25	517485.02	2.784,1.6185,0.0451,0.0291,0.054
schange	Round_4_Replicate_6	-181067.56	362145.12	347405.77	485432.19	2.029,3.6589,0.0704,0.0426,0.0692
schange	Round_4_Replicate_7	-196151.37	392312.74	384516.15	468000.98	0.847,2.648,0.1366,0.0499,0.0814
schange	Round_4_Replicate_8	-176680.74	353371.48	349422.4	497368.61	1.2779,1.8022,0.0761,0.0372,0.0634
schange	Round_4_Replicate_9	-173125.67	346261.34	340550.39	498286.83	2.1222,2.2474,0.0631,0.0358,0.0629
schange	Round_4_Replicate_10	-170186.78	340383.56	329714.79	502091.5	2.4995,2.3262,0.0535,0.0348,0.0586
schange	Round_4_Replicate_11	-167194.9	334399.8	322191.75	519386.63	1.59,2.5481,0.0479,0.0286,0.0532
schange	Round_4_Replicate_12	-184942.52	369895.04	353901.57	486019.34	1.0691,2.7993,0.0925,0.0478,0.0765
schange	Round_4_Replicate_13	-167569.62	335149.24	321517.92	512728.6	1.8569,1.7542,0.0473,0.0323,0.0519
schange	Round_4_Replicate_14	-199302.1	398614.2	385916.4	466383.8	0.7534,2.9882,0.1462,0.0549,0.0882
schange	Round_4_Replicate_15	-193969.71	387949.42	380007.74	470972.68	1.8035,1.3272,0.0995,0.064,0.0842
schange	Round_4_Replicate_16	-172692.7	345395.4	336944.29	510892.2	1.2199,1.6779,0.0626,0.0356,0.0597
schange	Round_4_Replicate_17	-158500.58	317011.16	303277.38	535335.04	0.9397,3.6099,0.0267,0.013,0.0274
schange	Round_4_Replicate_18	-169320.15	338650.3	331537.24	502680.25	2.4262,2.6137,0.0545,0.0317,0.0575
schange	Round_4_Replicate_19	-160552.56	321115.12	316596.47	526491.77	1.0675,3.2683,0.0407,0.0167,0.0375
schange	Round_4_Replicate_20	-198100.42	396210.84	383876.88	491592.09	1.3038,2.8964,0.0865,0.0558,0.0909
schange	Round_4_Replicate_21	-194234.16	388478.32	377909.92	479868.83	1.1625,1.3351,0.1043,0.064,0.0856
schange	Round_4_Replicate_22	-187644.23	375298.46	373658.78	479844.71	1.3307,3.4901,0.1053,0.0427,0.0829
schange	Round_4_Replicate_23	-194924.35	389858.7	385301.54	473826.87	1.0656,1.2273,0.116,0.0566,0.0777
schange	Round_4_Replicate_24	-164795.36	329600.72	315718.5	521038.54	1.303,2.0269,0.0448,0.0267,0.0465
schange	Round_4_Replicate_25	-179790.5	359591.0	354818.58	493022.13	1.2903,2.393,0.0844,0.04,0.0716
schange	Round_4_Replicate_26	-205762.37	411534.74	390865.41	461913.15	0.8266,4.3655,0.1409,0.061,0.0957
schange	Round_4_Replicate_27	-182893.17	365796.34	358020.69	495806.23	0.9969,1.3287,0.0871,0.0478,0.0708
schange	Round_4_Replicate_28	-179580.5	359171.0	347120.36	488504.21	1.5629,2.0001,0.0763,0.0451,0.0682
schange	Round_4_Replicate_29	-190489.79	380989.58	375020.81	471839.74	1.3152,4.0184,0.1144,0.0467,0.0871
schange	Round_4_Replicate_30	-172828.83	345667.66	331499.72	502258.27	0.8603,4.0052,0.0748,0.0317,0.0601
schange	Round_4_Replicate_31	-205716.32	411442.64	396664.06	456960.04	2.4404,1.3221,0.1045,0.0862,0.0972
schange	Round_4_Replicate_32	-187821.15	375652.3	369786.02	470931.19	1.5796,4.9995,0.1025,0.0424,0.0795
schange	Round_4_Replicate_33	-187616.87	375243.74	362080.27	472998.68	2.338,4.0465,0.0877,0.0514,0.0865
schange	Round_4_Replicate_34	-158673.49	317356.98	308000.31	533467.17	0.4835,1.4817,0.0357,0.0149,0.0274
schange	Round_4_Replicate_35	-190269.77	380549.54	369018.0	478907.68	1.0159,1.4415,0.1064,0.057,0.0777
schange	Round_4_Replicate_36	-199768.23	399546.46	388419.43	457216.28	2.3625,3.4362,0.1102,0.0645,0.1012
schange	Round_4_Replicate_37	-202559.47	405128.94	393647.52	461851.26	0.8977,3.7852,0.1483,0.0574,0.0975
schange	Round_4_Replicate_38	-181849.94	363709.88	351533.14	486756.42	2.6952,1.6437,0.0696,0.0533,0.0759
schange	Round_4_Replicate_39	-187096.25	374202.5	359591.52	486301.86	2.2241,2.0751,0.0761,0.0568,0.084
schange	Round_4_Replicate_40	-182902.22	365814.44	361930.14	488477.21	2.4589,3.2387,0.0777,0.0448,0.084
schange	Round_4_Replicate_41	-173179.23	346368.46	336442.23	504561.27	2.2577,1.2817,0.0556,0.0417,0.0616
schange	Round_4_Replicate_42	-165012.84	330035.68	330890.42	517868.06	1.9181,2.2107,0.0406,0.0197,0.0402
schange	Round_4_Replicate_43	-167718.34	335446.68	324001.6	509696.21	1.2987,2.9417,0.0572,0.0291,0.0542
schange	Round_4_Replicate_44	-182256.53	364523.06	361836.96	485675.97	1.6344,4.1245,0.09,0.0394,0.0798
schange	Round_4_Replicate_45	-192976.43	385962.86	373271.06	478280.15	1.0266,2.0897,0.1102,0.0575,0.086
schange	Round_4_Replicate_46	-174733.58	349477.16	346030.33	508870.14	2.5115,1.6518,0.0556,0.0378,0.0651
schange	Round_4_Replicate_47	-187322.09	374654.18	371157.99	483282.2	1.6405,1.883,0.092,0.0503,0.0816
schange	Round_4_Replicate_48	-206045.14	412100.28	414634.28	456909.54	1.5541,3.2345,0.1402,0.0546,0.1004
schange	Round_4_Replicate_49	-164374.82	328759.64	317614.25	522826.71	1.3647,1.1508,0.0423,0.0281,0.044
schange	Round_4_Replicate_50	-169494.01	338998.02	333296.77	511019.87	1.3416,1.396,0.0568,0.0317,0.0525
schange	Round_4_Replicate_51	-197739.66	395489.32	384399.48	468195.28	1.1841,2.7348,0.1222,0.0599,0.0946
schange	Round_4_Replicate_52	-200392.91	400795.82	398435.36	460753.73	1.8678,1.7593,0.109,0.0597,0.0817
schange	Round_4_Replicate_53	-180256.54	360523.08	344306.41	492083.0	1.2583,1.6781,0.0753,0.0473,0.0661
schange	Round_4_Replicate_54	-201694.18	403398.36	404094.4	468448.32	1.0316,3.1648,0.1399,0.0524,0.0972
schange	Round_4_Replicate_55	-207392.11	414794.22	402635.05	459953.32	1.3331,1.2465,0.128,0.0819,0.0976
schange	Round_4_Replicate_56	-212351.81	424713.62	430214.24	452859.42	2.3178,2.2146,0.131,0.0695,0.1131
schange	Round_4_Replicate_57	-163389.05	326788.1	315006.87	519371.82	1.4305,2.4606,0.0442,0.0245,0.0454
schange	Round_4_Replicate_58	-201516.27	403042.54	403888.27	473071.46	1.1215,3.806,0.1278,0.0536,0.1023
