Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1f, nu2f, T)
schange	Round_1_Replicate_1	-4488564.18	8977138.36	678468683.46	263657.01	0.3118,0.214,1.8907,0.2401,1.1435
schange	Round_1_Replicate_2	-719076.6	1438163.2	1416993.94	311721.44	0.3006,1.4969,0.6126,1.9286,0.1879
schange	Round_1_Replicate_3	-3404516.24	6809042.48	147088193.8	354328.74	0.3543,0.3552,0.5303,0.3908,1.0758
schange	Round_1_Replicate_4	-615396.07	1230802.14	1119144.96	364182.29	0.3402,0.2467,0.2718,4.2411,0.1774
schange	Round_1_Replicate_5	-4979167.32	9958344.64	1388437765.2	116835.11	2.1081,3.7912,0.7268,1.8644,5.502
schange	Round_1_Replicate_6	-2982420.69	5964851.38	85211883.8	102332.42	4.1415,0.2084,3.4972,4.8052,2.0674
schange	Round_1_Replicate_7	-8921900.24	17843810.48	2189390626590.79	105791.81	0.1759,4.5741,0.6204,4.2625,4.1272
schange	Round_1_Replicate_8	-941816.22	1883642.44	3261234.02	379922.46	0.1333,0.3172,1.5473,0.2671,0.2809
schange	Round_1_Replicate_9	-551525.35	1103060.7	1111001.25	330098.58	0.3091,0.7354,4.089,0.1482,0.1352
schange	Round_1_Replicate_10	-2625635.33	5251280.66	38091976.03	163425.54	4.4557,2.7912,0.3858,2.248,2.3415
schange	Round_1_Replicate_11	-2259876.24	4519762.48	22936786.53	108544.3	4.3438,1.762,0.8419,7.4516,2.592
schange	Round_1_Replicate_12	-2330165.94	4660341.88	1049136109010.8	72018.0	4.1813,0.4039,1.8035,0.1596,5.9006
schange	Round_1_Replicate_13	-6862714.27	13725438.54	33290946272.64	142688.68	2.468,2.3163,1.8294,0.183,4.1674
schange	Round_1_Replicate_14	-3067854.12	6135718.24	85243589.65	83841.06	2.7937,0.2762,8.0536,3.732,2.2288
schange	Round_1_Replicate_15	-2162576.0	4325162.0	27852436.56	282791.55	0.8396,1.1262,0.7587,0.3538,1.1713
schange	Round_2_Replicate_1	-1063155.98	2126321.96	4223680.3	384702.36	0.1898,1.0062,1.3406,0.1139,0.3346
schange	Round_2_Replicate_2	-816063.45	1632136.9	6393651.26	357955.63	0.2179,0.2326,7.2451,0.203,0.0507
schange	Round_2_Replicate_3	-1633199.09	3266408.18	9476113.64	414391.05	0.108,0.2914,1.9722,0.1021,0.302
schange	Round_2_Replicate_4	-500379.07	1000768.14	1516814.87	389121.0	0.0984,0.2603,3.2679,0.2572,0.0631
schange	Round_2_Replicate_5	-690880.37	1381770.74	1701250.04	297996.2	0.521,2.1447,6.0336,0.1312,0.1452
schange	Round_2_Replicate_6	-637171.41	1274352.82	1461346.41	339732.93	0.3123,1.0588,10.378,0.057,0.0858
schange	Round_2_Replicate_7	-650231.43	1300472.86	1674045.17	357765.24	0.3662,1.1822,7.0793,0.0319,0.0581
schange	Round_2_Replicate_8	-380524.19	761058.38	773914.93	389754.49	0.267,2.9923,1.3644,0.0514,0.0926
schange	Round_2_Replicate_9	-1081702.35	2163414.7	3250000.32	232688.45	0.2298,0.8413,8.1567,0.4425,0.4397
schange	Round_2_Replicate_10	-524123.71	1048257.42	1069959.75	339056.93	0.2008,1.0472,4.8561,0.1535,0.1261
schange	Round_2_Replicate_11	-1755631.7	3511273.4	785039296.17	331329.81	1.007,0.7168,2.4621,0.3828,0.0492
schange	Round_2_Replicate_12	-355536.5	711083.0	687500.84	395631.15	0.1639,3.0176,1.66,0.0657,0.0966
schange	Round_2_Replicate_13	-1363277.11	2726564.22	90698936.42	330267.54	0.1743,3.0325,5.158,0.4882,0.0713
schange	Round_2_Replicate_14	-1088119.36	2176248.72	23746510.63	321132.31	0.3088,2.4694,5.8759,0.2341,0.0856
schange	Round_2_Replicate_15	-1400650.59	2801311.18	6654118.31	329724.0	0.1363,0.5829,3.2803,0.1625,0.387
schange	Round_2_Replicate_16	-1134661.22	2269332.44	4004170.73	315899.74	0.7222,0.6183,2.1686,0.075,0.2523
schange	Round_2_Replicate_17	-1276160.46	2552330.92	4474892.96	280674.56	0.117,0.3822,13.5564,0.2459,0.3288
schange	Round_2_Replicate_18	-1212904.79	2425819.58	5202148.46	334984.47	0.3357,0.9872,1.7823,0.1068,0.3823
schange	Round_2_Replicate_19	-340588.31	681186.62	629751.36	424048.32	0.0711,0.3196,2.9117,0.1098,0.0709
schange	Round_2_Replicate_20	-551265.23	1102540.46	1046099.66	345231.03	0.1366,1.4444,11.3887,0.0853,0.129
schange	Round_2_Replicate_21	-1280943.8	2561897.6	4274526.67	221022.53	0.8037,2.9961,7.8104,0.1076,0.4248
schange	Round_2_Replicate_22	-876810.48	1753630.96	2969286.82	256483.88	0.9801,1.5816,5.48,0.3284,0.1977
schange	Round_2_Replicate_23	-1012653.1	2025316.2	12768462.2	339418.0	0.4675,0.6764,12.7036,0.0976,0.0498
schange	Round_2_Replicate_24	-625359.83	1250729.66	1335010.96	310329.75	1.0203,2.0064,2.44,0.0894,0.1488
schange	Round_2_Replicate_25	-611703.39	1223416.78	1377097.83	382898.31	0.0843,0.8374,5.0151,0.1029,0.1596
schange	Round_2_Replicate_26	-813174.61	1626359.22	7662148.79	359446.27	0.1626,2.3174,9.6386,0.0797,0.0551
