Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
anc_sym_mig_size	Round_3_Replicate_28	-90737.44	181488.88	319934.45	13061.6	1.4431,0.5556,1.4475,0.5448,0.6779,18.0085,0.1499
anc_sym_mig_size	Round_3_Replicate_29	-227279.6	454573.2	2018105.82	22578.98	0.6399,0.3197,0.4541,0.5629,0.4575,14.0912,0.3178
anc_sym_mig_size	Round_3_Replicate_30	-56880.45	113774.9	124506.7	22177.25	0.4812,1.608,0.2584,0.144,2.773,2.8886,0.0363
anc_sym_mig_size	Round_4_Replicate_1	-40141.76	80297.52	156698.81	15024.93	1.5173,0.7093,0.2992,0.704,3.7995,22.5909,0.0312
anc_sym_mig_size	Round_4_Replicate_2	-40511.27	81036.54	186175.83	20634.97	1.163,0.4638,0.2652,0.5928,4.724,22.4062,0.0201
anc_sym_mig_size	Round_4_Replicate_3	-40935.45	81884.9	166986.16	14157.09	1.6362,0.7314,0.3569,0.9003,3.667,24.3989,0.0367
anc_sym_mig_size	Round_4_Replicate_4	-42142.68	84299.36	126996.29	18603.02	0.934,0.5799,0.3661,1.3091,2.2983,12.963,0.016
anc_sym_mig_size	Round_4_Replicate_5	-41208.51	82431.02	150652.24	19386.93	1.4586,0.4215,0.2585,1.0866,3.4509,26.3588,0.0196
anc_sym_mig_size	Round_4_Replicate_6	-39588.46	79190.92	159081.51	17759.81	1.8163,0.5026,0.2323,0.5272,4.9374,16.2317,0.0254
anc_sym_mig_size	Round_4_Replicate_7	-42935.79	85885.58	182316.99	28708.45	0.7564,0.3585,0.1952,0.8077,6.7011,10.5675,0.0188
anc_sym_mig_size	Round_4_Replicate_8	-43004.69	86023.38	146112.55	22239.71	0.6802,0.6526,0.3439,0.4848,6.8588,24.6015,0.0386
anc_sym_mig_size	Round_4_Replicate_9	-38641.74	77297.48	127514.33	17458.41	1.1681,0.6187,0.2141,0.4674,2.8099,11.0638,0.0155
anc_sym_mig_size	Round_4_Replicate_10	-41472.14	82958.28	202342.53	15284.93	1.5346,0.6078,0.4883,0.8132,3.532,20.5335,0.0308
anc_sym_mig_size	Round_4_Replicate_11	-36722.69	73459.38	137674.7	15559.47	0.9789,0.9814,0.5692,0.337,8.6611,23.4212,0.0503
anc_sym_mig_size	Round_4_Replicate_12	-40789.65	81593.3	125480.36	16386.93	0.8118,1.1789,0.284,0.3225,5.4061,25.391,0.0334
anc_sym_mig_size	Round_4_Replicate_13	-41254.61	82523.22	134095.49	12936.97	1.3975,0.8547,0.4713,1.2413,1.9121,16.4965,0.0286
anc_sym_mig_size	Round_4_Replicate_14	-38583.18	77180.36	130550.2	13401.97	1.7514,0.7047,0.2303,0.7247,2.057,13.6384,0.0153
anc_sym_mig_size	Round_4_Replicate_15	-36367.92	72749.84	136835.88	13022.47	1.2649,1.2173,0.288,0.2708,5.5884,10.747,0.0303
anc_sym_mig_size	Round_4_Replicate_16	-42411.76	84837.52	232297.47	21384.0	0.9833,0.4963,0.1854,1.0004,4.9268,27.7839,0.0142
anc_sym_mig_size	Round_4_Replicate_17	-42550.19	85114.38	111369.37	26438.8	0.7126,0.3709,0.4407,0.3512,3.2046,18.2942,0.0222
anc_sym_mig_size	Round_4_Replicate_18	-46258.59	92531.18	196505.48	27488.75	0.5388,0.5049,0.2452,0.7138,6.3874,18.2849,0.0216
anc_sym_mig_size	Round_4_Replicate_19	-44095.91	88205.82	172659.86	21058.77	0.7758,0.5502,0.4595,1.003,3.7679,15.8356,0.0264
anc_sym_mig_size	Round_4_Replicate_20	-41681.23	83376.46	171568.51	16210.67	1.7517,0.4999,0.4491,0.7415,3.4147,16.5107,0.0293
anc_sym_mig_size	Round_4_Replicate_21	-41507.85	83029.7	150720.98	18186.15	1.0447,0.5413,0.4128,1.1397,2.5719,10.427,0.0136
anc_sym_mig_size	Round_4_Replicate_22	-54300.96	108615.92	191087.18	17045.53	0.6019,1.141,0.3576,0.8739,2.309,15.3724,0.0119
anc_sym_mig_size	Round_4_Replicate_23	-45446.53	90907.06	188739.57	10676.48	1.9186,1.214,0.2467,0.8757,5.7728,24.9143,0.0386
anc_sym_mig_size	Round_4_Replicate_24	-44115.94	88245.88	175287.89	19667.46	1.6948,0.3861,0.4015,0.9995,4.6809,23.3279,0.0359
anc_sym_mig_size	Round_4_Replicate_25	-42530.91	85075.82	189254.65	16035.62	1.8937,0.4966,0.3797,1.2051,3.5068,17.2013,0.0284
anc_sym_mig_size	Round_4_Replicate_26	-40583.91	81181.82	139870.96	15280.03	1.2127,0.6877,0.4939,0.7711,2.2999,12.7337,0.0224
anc_sym_mig_size	Round_4_Replicate_27	-45018.6	90051.2	234346.97	20451.87	0.7072,0.7544,0.2679,0.5396,6.9901,11.6784,0.0257
anc_sym_mig_size	Round_4_Replicate_28	-46703.77	93421.54	256336.75	14131.84	1.0541,1.05,0.2332,1.0898,3.5887,14.2899,0.0201
anc_sym_mig_size	Round_4_Replicate_29	-41159.04	82332.08	157423.96	20350.64	0.6533,0.8067,0.5119,0.3973,8.6419,12.8509,0.0463
anc_sym_mig_size	Round_4_Replicate_30	-39589.09	79192.18	137189.34	14194.3	1.5008,0.8099,0.3752,0.6062,4.0595,12.2909,0.043
anc_sym_mig_size	Round_4_Replicate_31	-42804.81	85623.62	99481.68	20796.77	1.1828,0.4869,0.2078,0.475,2.885,17.5276,0.0305
anc_sym_mig_size	Round_4_Replicate_32	-40084.69	80183.38	146835.0	23698.46	0.8247,0.4344,0.3188,0.4331,4.0297,21.8961,0.0166
anc_sym_mig_size	Round_4_Replicate_33	-39160.46	78334.92	152236.81	15919.05	1.3189,0.6747,0.1584,0.5986,2.8055,21.9225,0.0117
anc_sym_mig_size	Round_4_Replicate_34	-35796.8	71607.6	118024.93	13820.34	1.8947,0.7371,0.3727,0.3168,3.8073,12.9557,0.035
anc_sym_mig_size	Round_4_Replicate_35	-53316.05	106646.1	170640.75	17173.1	0.6687,1.1403,0.1803,0.8113,2.9482,21.3955,0.017
anc_sym_mig_size	Round_4_Replicate_36	-38504.55	77023.1	125046.78	15696.83	1.6729,0.6179,0.3943,0.4848,3.9139,10.6077,0.0404
anc_sym_mig_size	Round_4_Replicate_37	-37883.55	75781.1	112873.52	16304.5	0.8311,1.1225,0.4596,0.3236,6.7811,17.9496,0.0491
anc_sym_mig_size	Round_4_Replicate_38	-43688.78	87391.56	161434.19	28776.34	0.6332,0.3669,0.2884,1.1154,4.8704,7.9325,0.0185
anc_sym_mig_size	Round_4_Replicate_39	-41292.39	82598.78	143714.85	25758.72	0.8501,0.369,0.2292,0.936,4.2126,26.6503,0.0161
anc_sym_mig_size	Round_4_Replicate_40	-41900.99	83815.98	132225.88	30480.59	0.5454,0.354,0.4416,0.3237,4.0231,13.8038,0.0107
