Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
anc_sym_mig_size	Round_1_Replicate_1	-184741.82	369497.64	1409065.37	17713.2	1.3708,1.1989,2.3697,0.2346,0.1602,0.2904,0.3032
anc_sym_mig_size	Round_1_Replicate_2	-627957.27	1255928.54	391743293.3	23144.4	0.6766,2.3272,0.5528,0.3652,0.9703,0.1304,1.6748
anc_sym_mig_size	Round_1_Replicate_3	-247441.26	494896.52	201144036400451.6	2493.33	0.5951,0.1523,0.1726,5.415,0.7664,0.2166,4.0519
anc_sym_mig_size	Round_1_Replicate_4	-190109.09	380232.18	875607.84	10859.49	2.236,1.5832,0.4967,2.383,1.207,3.8215,0.6497
anc_sym_mig_size	Round_1_Replicate_5	-998549.72	1997113.44	153088462144.17	9242.55	0.3672,1.3251,2.9406,0.2927,1.43,1.4965,3.3443
anc_sym_mig_size	Round_1_Replicate_6	-199306.99	398627.98	1479373.42	12887.24	1.4746,0.5655,1.2662,1.5469,2.6713,1.1748,1.0913
anc_sym_mig_size	Round_1_Replicate_7	-206758.07	413530.14	1757647.37	14277.36	3.0962,0.2572,7.5658,0.2232,0.4396,0.2896,0.2031
anc_sym_mig_size	Round_1_Replicate_8	-187894.41	375802.82	1314507.67	8670.98	1.3967,0.5284,5.0318,1.8502,0.988,0.6905,0.9403
anc_sym_mig_size	Round_1_Replicate_9	-445579.0	891172.0	12649418.04	7818.21	0.888,4.9866,0.2074,8.3285,0.1859,3.695,0.5759
anc_sym_mig_size	Round_1_Replicate_10	-756329.47	1512672.94	1775288917.66	9411.11	4.5006,4.6952,0.7127,2.2836,0.3783,0.3098,4.5264
anc_sym_mig_size	Round_2_Replicate_1	-192914.15	385842.3	1584728.69	20226.17	1.1273,0.6949,1.577,0.1112,0.3311,0.7881,0.1283
anc_sym_mig_size	Round_2_Replicate_2	-881368.35	1762750.7	21537792153.05	11681.76	0.3819,0.4408,6.0455,0.0924,0.4319,0.2922,0.9207
anc_sym_mig_size	Round_2_Replicate_3	-135233.12	270480.24	657509.5	21280.26	1.3724,4.5175,2.9688,0.1065,0.0455,0.127,0.1264
anc_sym_mig_size	Round_2_Replicate_4	-170104.22	340222.44	1111512.84	12400.08	4.3225,3.4158,2.2913,0.4116,0.0711,0.8207,0.3293
anc_sym_mig_size	Round_2_Replicate_5	-73194.75	146403.5	360377.3	19665.55	3.3366,2.8492,3.642,0.3856,0.245,0.0894,0.0699
anc_sym_mig_size	Round_2_Replicate_6	-160300.53	320615.06	930756.31	16696.14	1.3361,4.4412,3.5359,0.1644,0.1547,0.5572,0.157
anc_sym_mig_size	Round_2_Replicate_7	-266209.81	532433.62	3948082.56	23476.65	0.462,1.0471,1.4391,0.1798,0.0589,0.5267,0.2546
anc_sym_mig_size	Round_2_Replicate_8	-122054.69	244123.38	505018.71	23853.46	0.5281,0.7091,3.5761,0.1407,0.4438,0.1691,0.1069
anc_sym_mig_size	Round_2_Replicate_9	-563386.49	1126786.98	217612117.76	21331.86	5.6804,1.2992,1.1303,0.1329,0.456,0.2007,0.8279
anc_sym_mig_size	Round_2_Replicate_10	-131135.97	262285.94	618005.81	22305.63	0.4074,0.6013,1.8336,0.257,0.2103,0.0702,0.2396
anc_sym_mig_size	Round_2_Replicate_11	-174082.12	348178.24	1129423.26	20870.61	0.5951,0.3916,1.1411,0.6186,0.3768,0.2838,0.3463
anc_sym_mig_size	Round_2_Replicate_12	-68949.8	137913.6	193542.0	20999.56	4.5314,0.8986,1.5792,0.4544,0.0781,0.0756,0.124
anc_sym_mig_size	Round_2_Replicate_13	-736991.03	1473996.06	2728911115.68	13473.79	0.7691,0.492,3.2549,0.1223,0.2446,0.4058,0.9671
anc_sym_mig_size	Round_2_Replicate_14	-232005.92	464025.84	2689780.3	19536.46	0.9641,1.1744,1.9059,0.1645,0.1527,0.5063,0.2672
anc_sym_mig_size	Round_2_Replicate_15	-476541.9	953097.8	69112147.04	18182.43	1.6234,1.7346,2.0433,0.1188,0.2762,0.071,0.6366
anc_sym_mig_size	Round_2_Replicate_16	-669685.67	1339385.34	902155822.19	10188.16	1.6826,1.5216,7.4426,0.0789,0.4117,1.0713,0.5846
anc_sym_mig_size	Round_2_Replicate_17	-240519.96	481053.92	2805429.76	9405.79	1.3223,0.8739,6.0606,0.8139,0.0805,0.3183,0.9189
anc_sym_mig_size	Round_2_Replicate_18	-259216.5	518447.0	3675763.92	14223.73	3.3406,0.4404,5.9869,0.1762,0.2145,0.0746,0.3968
anc_sym_mig_size	Round_2_Replicate_19	-361889.66	723793.32	14963525.43	27179.46	0.5163,0.4152,1.0978,0.0801,0.6045,0.3002,0.2773
anc_sym_mig_size	Round_2_Replicate_20	-244269.79	488553.58	234542989853.53	9113.27	1.1859,2.8956,1.9132,0.0563,0.6306,0.0985,1.1743
anc_sym_mig_size	Round_3_Replicate_1	-72634.3	145282.6	532643.63	20103.85	3.5545,2.7392,2.5448,0.6472,0.0503,0.0602,0.0904
anc_sym_mig_size	Round_3_Replicate_2	-85372.96	170759.92	257504.12	20330.21	6.6534,0.2985,1.4288,0.6811,0.1436,0.0408,0.2382
anc_sym_mig_size	Round_3_Replicate_3	-57753.94	115521.88	254243.74	23418.1	7.0397,0.4739,2.4079,0.3231,0.2316,0.0189,0.0652
anc_sym_mig_size	Round_3_Replicate_4	-91442.24	182898.48	1906281.13	18071.83	4.3798,2.6375,3.4799,1.6647,0.1187,0.0206,0.1504
anc_sym_mig_size	Round_3_Replicate_5	-49406.89	98827.78	159952.67	25576.22	13.0579,0.4276,0.8909,0.3547,0.0326,0.0267,0.0689
anc_sym_mig_size	Round_3_Replicate_6	-58190.98	116395.96	352147.25	23713.93	1.8094,2.7673,3.2528,0.23,0.0645,0.0374,0.0426
anc_sym_mig_size	Round_3_Replicate_7	-68112.32	136238.64	290226.57	20580.84	2.0632,1.1423,4.2597,0.2596,0.1386,0.1373,0.024
anc_sym_mig_size	Round_3_Replicate_8	-62445.71	124905.42	171774.52	22700.71	7.8088,0.3767,1.7365,0.2582,0.0175,0.0593,0.0592
anc_sym_mig_size	Round_3_Replicate_9	-76980.08	153974.16	213479.58	20184.87	1.4441,0.4484,3.2379,0.4012,0.2069,0.0289,0.1462
anc_sym_mig_size	Round_3_Replicate_10	-94650.56	189315.12	329935.08	20595.92	8.7713,0.5012,1.259,0.2192,0.1368,0.1672,0.0936
anc_sym_mig_size	Round_3_Replicate_11	-87167.29	174348.58	8254338.95	22487.77	6.8916,2.1452,1.3582,1.7294,0.2243,0.0315,0.0547
anc_sym_mig_size	Round_3_Replicate_12	-115609.62	231233.24	501036.73	22330.95	11.2011,0.5258,0.8319,0.271,0.0531,0.2111,0.1596
anc_sym_mig_size	Round_3_Replicate_13	-118557.91	237129.82	467983.69	29049.43	15.2363,0.4632,0.4479,0.3583,0.0622,0.0855,0.2332
anc_sym_mig_size	Round_3_Replicate_14	-48358.82	96731.64	129620.08	26709.14	13.9017,0.9882,0.5439,0.2122,0.2889,0.06,0.0559
anc_sym_mig_size	Round_3_Replicate_15	-146059.6	292133.2	722318.08	15191.1	3.2327,1.8832,4.537,0.3593,0.0544,0.0429,0.3616
anc_sym_mig_size	Round_3_Replicate_16	-68201.77	136417.54	538102.57	22016.54	1.4338,1.8541,1.1358,1.4442,0.1818,0.033,0.1045
