Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, T)
bottlegrowth	Round_1_Replicate_1	-107259.54	214525.08	199902.99	338034.95	3.1425,0.654,5.8711
bottlegrowth	Round_1_Replicate_2	-171671.11	343348.22	333934.64	524437.25	0.1983,0.6543,0.7094
bottlegrowth	Round_1_Replicate_3	-149333.04	298672.08	287174.69	236593.02	0.826,1.1924,4.9556
bottlegrowth	Round_1_Replicate_4	-89901.63	179809.26	165382.76	955119.47	0.1878,0.213,0.4149
bottlegrowth	Round_1_Replicate_5	-119225.47	238456.94	218306.42	316123.04	0.1831,1.9655,0.1353
bottlegrowth	Round_1_Replicate_6	-87631.63	175269.26	161347.24	1017457.83	0.9872,0.1883,1.3
bottlegrowth	Round_1_Replicate_7	-34363.01	68732.02	62954.0	461756.22	2.376,0.1484,0.2793
bottlegrowth	Round_1_Replicate_8	-306285.37	612576.74	679113.37	105009.27	1.9836,5.0339,1.9186
bottlegrowth	Round_1_Replicate_9	-315484.17	630974.34	677778.52	194545.72	0.3828,4.2273,0.8628
bottlegrowth	Round_1_Replicate_10	-116504.13	233014.26	218010.61	645953.1	0.2917,0.3769,0.6833
bottlegrowth	Round_1_Replicate_11	-124815.82	249637.64	235484.94	1067164.64	0.3473,0.2317,1.3789
bottlegrowth	Round_1_Replicate_12	-142063.55	284133.1	271577.8	836405.67	0.2622,0.3254,1.4964
bottlegrowth	Round_1_Replicate_13	-105798.67	211603.34	197451.04	303496.14	1.3393,0.6943,1.0832
bottlegrowth	Round_1_Replicate_14	-282417.96	564841.92	601951.53	163051.51	0.6966,3.5078,1.3018
bottlegrowth	Round_1_Replicate_15	-72909.04	145824.08	133335.54	588466.76	0.596,0.2818,0.5933
bottlegrowth	Round_2_Replicate_1	-65036.32	130078.64	120858.26	338990.26	2.1852,0.2673,0.2121
bottlegrowth	Round_2_Replicate_2	-20007.61	40021.22	36799.09	675728.47	0.6533,0.0711,0.1529
bottlegrowth	Round_2_Replicate_3	-16138.94	32283.88	29808.8	779347.39	5.5921,0.0508,0.2633
bottlegrowth	Round_2_Replicate_4	-45100.1	90206.2	82338.33	404697.11	5.2824,0.2421,0.6895
bottlegrowth	Round_2_Replicate_5	-15423.86	30853.72	28502.33	1022357.79	8.4279,0.0392,0.2984
bottlegrowth	Round_2_Replicate_6	-43042.14	86090.28	79092.18	393625.39	4.462,0.1914,0.3472
bottlegrowth	Round_2_Replicate_7	-44500.85	89007.7	80966.55	530437.59	3.0642,0.2023,0.7554
bottlegrowth	Round_2_Replicate_8	-24298.46	48602.92	44578.8	545893.49	7.1353,0.1009,0.371
bottlegrowth	Round_2_Replicate_9	-11691.07	23388.14	21765.58	938741.69	0.8997,0.0281,0.1118
bottlegrowth	Round_2_Replicate_10	-19584.46	39174.92	35992.51	916364.55	0.955,0.0564,0.2134
bottlegrowth	Round_2_Replicate_11	-25072.15	50150.3	45942.73	602623.41	1.236,0.0979,0.2266
bottlegrowth	Round_2_Replicate_12	-30590.38	61186.76	55913.59	498201.12	7.7259,0.1422,0.5329
bottlegrowth	Round_2_Replicate_13	-34930.44	69866.88	63552.7	791050.55	3.9647,0.1152,0.6941
bottlegrowth	Round_2_Replicate_14	-71539.87	143085.74	134101.68	316748.47	4.7075,0.2551,0.2224
bottlegrowth	Round_2_Replicate_15	-61084.09	122174.18	112748.64	333684.56	4.438,0.3127,0.4918
bottlegrowth	Round_2_Replicate_16	-83958.85	167923.7	157079.03	310656.57	1.9168,0.3939,0.2474
bottlegrowth	Round_2_Replicate_17	-27534.13	55074.26	50240.25	1109050.35	1.0249,0.0674,0.3261
bottlegrowth	Round_2_Replicate_18	-58129.93	116265.86	106820.28	371352.13	2.1283,0.2926,0.3931
bottlegrowth	Round_2_Replicate_19	-28360.1	56726.2	51873.82	551456.47	3.8431,0.1207,0.3924
bottlegrowth	Round_2_Replicate_20	-87108.94	174223.88	163770.6	282506.49	4.566,0.4373,0.455
bottlegrowth	Round_2_Replicate_21	-12631.65	25269.3	23481.86	757043.11	5.3988,0.0357,0.1701
bottlegrowth	Round_2_Replicate_22	-76210.03	152426.06	141241.79	330668.8	1.7034,0.4003,0.3569
bottlegrowth	Round_2_Replicate_23	-66942.46	133890.92	123316.39	361918.18	0.9711,0.3424,0.2414
bottlegrowth	Round_2_Replicate_24	-47820.67	95647.34	88229.44	382352.65	1.8952,0.1888,0.1898
bottlegrowth	Round_2_Replicate_25	-66571.36	133148.72	123380.4	306471.59	6.2469,0.3522,0.5714
bottlegrowth	Round_2_Replicate_26	-12636.28	25278.56	23481.28	859537.43	0.9888,0.0335,0.1217
bottlegrowth	Round_2_Replicate_27	-87358.88	174723.76	161238.43	352365.89	0.6815,0.5199,0.3253
bottlegrowth	Round_2_Replicate_28	-33137.71	66281.42	60775.83	463546.52	0.6297,0.1372,0.1323
bottlegrowth	Round_2_Replicate_29	-88318.79	176643.58	163055.98	366873.32	1.2588,0.5027,0.9235
bottlegrowth	Round_2_Replicate_30	-16478.96	32963.92	30407.07	951050.53	2.1259,0.0448,0.2266
bottlegrowth	Round_3_Replicate_1	-7880.71	15767.42	14827.58	1009956.39	0.1986,0.012,0.0386
bottlegrowth	Round_3_Replicate_2	-12964.93	25935.86	24066.6	1066318.66	1.6216,0.0299,0.1586
bottlegrowth	Round_3_Replicate_3	-29337.85	58681.7	53508.55	810748.34	0.69,0.0949,0.2748
bottlegrowth	Round_3_Replicate_4	-10805.95	21617.9	20153.78	1362152.69	0.7877,0.0184,0.1053
bottlegrowth	Round_3_Replicate_5	-7559.91	15125.82	14239.59	1091107.28	1.4041,0.0102,0.059
bottlegrowth	Round_3_Replicate_6	-7993.98	15993.96	15033.41	1283532.72	1.4447,0.0106,0.071
bottlegrowth	Round_3_Replicate_7	-7583.18	15172.36	14284.71	867501.38	0.4215,0.0108,0.0372
bottlegrowth	Round_3_Replicate_8	-9079.09	18164.18	17014.13	1362300.05	1.1648,0.0134,0.0877
bottlegrowth	Round_3_Replicate_9	-12652.25	25310.5	23506.82	913781.25	1.5788,0.0323,0.1442
bottlegrowth	Round_3_Replicate_10	-35949.36	71904.72	65347.77	1327496.04	0.5724,0.0723,0.3375
bottlegrowth	Round_3_Replicate_11	-7480.02	14966.04	14093.37	1054576.09	0.5285,0.01,0.0455
bottlegrowth	Round_3_Replicate_12	-11101.89	22209.78	20705.42	792335.89	3.4628,0.0279,0.1275
bottlegrowth	Round_3_Replicate_13	-15186.37	30378.74	28084.26	880279.8	0.6679,0.0429,0.1386
bottlegrowth	Round_3_Replicate_14	-12419.55	24845.1	23082.6	990631.21	0.6492,0.0297,0.1131
bottlegrowth	Round_3_Replicate_15	-7405.11	14816.22	13956.84	953824.12	0.476,0.01,0.04
bottlegrowth	Round_3_Replicate_16	-12556.61	25119.22	23375.19	642954.25	0.4639,0.0334,0.0638
bottlegrowth	Round_3_Replicate_17	-9241.94	18489.88	17311.62	1214563.41	0.9976,0.0153,0.0863
bottlegrowth	Round_3_Replicate_18	-9231.49	18468.98	17290.6	1865104.25	1.0804,0.0105,0.0868
bottlegrowth	Round_3_Replicate_19	-11017.13	22040.26	20537.83	1229535.14	3.0437,0.0208,0.1483
bottlegrowth	Round_3_Replicate_20	-9283.53	18573.06	17386.14	1491520.01	1.2761,0.013,0.0931
bottlegrowth	Round_3_Replicate_21	-11615.19	23236.38	21629.12	913702.15	1.0304,0.0283,0.1133
bottlegrowth	Round_3_Replicate_22	-18845.11	37696.22	34649.29	1223024.35	2.2044,0.042,0.2765
bottlegrowth	Round_3_Replicate_23	-15220.49	30446.98	28139.34	979824.75	2.3581,0.0397,0.2123
bottlegrowth	Round_3_Replicate_24	-7656.53	15319.06	14417.38	983229.14	0.3123,0.0111,0.0403
bottlegrowth	Round_3_Replicate_25	-26424.28	52854.56	48279.17	711153.43	0.2673,0.098,0.1478
bottlegrowth	Round_3_Replicate_26	-10545.61	21097.22	19686.33	970410.42	2.9573,0.0232,0.1302
bottlegrowth	Round_3_Replicate_27	-13013.4	26032.8	24175.15	750471.66	1.6043,0.0372,0.1293
bottlegrowth	Round_3_Replicate_28	-8951.1	17908.2	16782.34	1110215.38	0.8222,0.0154,0.0761
bottlegrowth	Round_3_Replicate_29	-7688.26	15382.52	14476.17	932298.4	0.4212,0.0114,0.042
bottlegrowth	Round_3_Replicate_30	-8720.34	17446.68	16365.7	862981.71	0.936,0.0163,0.0636
bottlegrowth	Round_3_Replicate_31	-19056.85	38119.7	35028.09	1294239.79	0.8685,0.0403,0.2122
bottlegrowth	Round_3_Replicate_32	-13682.12	27370.24	25406.64	661836.28	1.7865,0.0403,0.1194
bottlegrowth	Round_3_Replicate_33	-7648.58	15303.16	14402.78	992830.79	3.5277,0.011,0.0687
bottlegrowth	Round_3_Replicate_34	-29026.64	58059.28	52976.95	706378.04	0.638,0.1052,0.2409
bottlegrowth	Round_3_Replicate_35	-11968.41	23942.82	22264.85	1034509.35	1.5361,0.0272,0.1388
bottlegrowth	Round_3_Replicate_36	-9818.05	19642.1	18365.63	902725.1	0.7496,0.021,0.0788
bottlegrowth	Round_3_Replicate_37	-30616.47	61238.94	55786.54	935333.2	0.7379,0.087,0.311
bottlegrowth	Round_3_Replicate_38	-9675.66	19357.32	18106.72	892298.24	2.4178,0.0205,0.1012
bottlegrowth	Round_3_Replicate_39	-26501.75	53009.5	48422.98	773795.23	0.5293,0.0895,0.2148
bottlegrowth	Round_3_Replicate_40	-10163.62	20333.24	18990.25	1074733.93	1.0684,0.0202,0.1
