Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, T)
bottlegrowth	Round_1_Replicate_1	-67730.39	135466.78	123570.85	981634.22	0.8743,0.1611,0.8212
bottlegrowth	Round_1_Replicate_2	-112032.61	224071.22	209446.34	1184415.37	7.3417,0.193,5.1378
bottlegrowth	Round_1_Replicate_3	-137466.65	274939.3	261813.93	689740.66	0.3465,0.3857,1.5295
bottlegrowth	Round_1_Replicate_4	-199176.25	398358.5	393631.82	226105.46	4.5656,1.2715,0.1661
bottlegrowth	Round_1_Replicate_5	-137646.08	275298.16	262274.78	1689042.64	0.1881,0.157,8.2238
bottlegrowth	Round_1_Replicate_6	-129581.23	259168.46	245384.86	756536.32	0.568,0.3352,3.1926
bottlegrowth	Round_1_Replicate_7	-66620.51	133247.02	121182.09	557404.29	0.2515,0.3001,0.2711
bottlegrowth	Round_1_Replicate_8	-51394.95	102795.9	93824.64	413923.58	0.303,0.2843,0.1236
bottlegrowth	Round_1_Replicate_9	-129817.01	259640.02	236178.75	338160.02	0.1298,2.3786,0.1574
bottlegrowth	Round_1_Replicate_10	-118146.92	236299.84	221845.07	1373629.58	1.8424,0.1727,3.5768
bottlegrowth	Round_1_Replicate_11	-168877.84	337761.68	325810.03	253816.25	0.6911,1.481,0.4426
bottlegrowth	Round_1_Replicate_12	-166860.84	333727.68	324086.32	272852.03	0.6281,1.1917,1.041
bottlegrowth	Round_1_Replicate_13	-46178.29	92362.58	83734.21	581409.04	0.1906,0.2155,0.1691
bottlegrowth	Round_1_Replicate_14	-79221.82	158449.64	145367.9	510076.76	1.109,0.3423,1.0273
bottlegrowth	Round_1_Replicate_15	-257268.31	514542.62	548309.43	97709.92	2.7306,4.266,2.5022
bottlegrowth	Round_2_Replicate_1	-93231.38	186468.76	171340.32	813474.66	0.1393,0.2718,0.3222
bottlegrowth	Round_2_Replicate_2	-42946.85	85899.7	78178.35	476267.41	0.2686,0.2217,0.137
bottlegrowth	Round_2_Replicate_3	-45285.42	90576.84	82287.32	692483.15	0.4547,0.1639,0.3187
bottlegrowth	Round_2_Replicate_4	-17871.77	35749.54	33011.72	586171.38	0.3805,0.0613,0.0839
bottlegrowth	Round_2_Replicate_5	-53031.74	106069.48	96532.31	548395.93	0.7114,0.2281,0.406
bottlegrowth	Round_2_Replicate_6	-23717.66	47441.32	43398.47	984447.69	0.3642,0.0654,0.1837
bottlegrowth	Round_2_Replicate_7	-16584.15	33174.3	30661.18	627796.13	0.4685,0.0554,0.0945
bottlegrowth	Round_2_Replicate_8	-75348.34	150702.68	135771.52	453471.74	0.1078,0.6303,0.1355
bottlegrowth	Round_2_Replicate_9	-49654.76	99315.52	90682.11	439360.8	0.6613,0.243,0.2274
bottlegrowth	Round_2_Replicate_10	-14163.98	28333.96	26285.24	631011.83	0.1908,0.0437,0.0548
bottlegrowth	Round_2_Replicate_11	-72600.17	145206.34	132590.46	366981.84	0.2421,0.5452,0.12
bottlegrowth	Round_2_Replicate_12	-40514.73	81035.46	73800.02	444781.96	0.1296,0.2503,0.0728
bottlegrowth	Round_2_Replicate_13	-26190.0	52386.0	47815.75	1334787.61	0.3419,0.0543,0.2058
bottlegrowth	Round_2_Replicate_14	-68539.95	137085.9	125017.11	1567865.92	0.3096,0.1031,0.4611
bottlegrowth	Round_2_Replicate_15	-53193.85	106393.7	96733.99	441573.95	0.2539,0.3065,0.1443
bottlegrowth	Round_2_Replicate_16	-89119.03	178244.06	163681.08	359091.96	0.3861,0.6047,0.2221
bottlegrowth	Round_2_Replicate_17	-49095.09	98196.18	89447.86	494106.03	0.7337,0.2282,0.3177
bottlegrowth	Round_2_Replicate_18	-79343.35	158692.7	144637.13	729235.5	0.1333,0.2782,0.2567
bottlegrowth	Round_2_Replicate_19	-129444.98	258895.96	244683.92	1343260.56	0.1341,0.1934,0.5537
bottlegrowth	Round_2_Replicate_20	-18188.03	36382.06	33493.44	766726.88	0.2428,0.0606,0.1054
bottlegrowth	Round_2_Replicate_21	-36313.43	72632.86	66178.31	532578.24	0.3578,0.1652,0.1642
bottlegrowth	Round_2_Replicate_22	-13582.29	27170.58	25242.58	625130.02	0.6779,0.0381,0.0772
bottlegrowth	Round_2_Replicate_23	-33997.82	68001.64	62101.84	510339.58	0.4833,0.1508,0.1616
bottlegrowth	Round_2_Replicate_24	-54762.88	109531.76	99213.57	398027.45	0.0743,0.655,0.0578
bottlegrowth	Round_2_Replicate_25	-23855.46	47716.92	43682.35	757602.15	0.7939,0.0812,0.2247
