Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, T)
bottlegrowth	Round_1_Replicate_1	-234886.98	469779.96	484793.97	277858.34	0.2905,1.536,1.6573
bottlegrowth	Round_1_Replicate_2	-166002.21	332010.42	323450.46	245217.18	0.6976,1.2575,2.5509
bottlegrowth	Round_1_Replicate_3	-42735.42	85476.84	77828.12	480370.63	0.3162,0.2136,0.1516
bottlegrowth	Round_1_Replicate_4	-308681.93	617369.86	665171.81	184666.16	0.4454,3.9065,1.0169
bottlegrowth	Round_1_Replicate_5	-349447.12	698900.24	792357.96	121162.29	0.8058,5.9921,1.7179
bottlegrowth	Round_1_Replicate_6	-54056.35	108118.7	98276.34	417015.03	0.1816,0.3608,0.1038
bottlegrowth	Round_1_Replicate_7	-172066.13	344138.26	325466.85	274888.61	0.3281,2.2875,0.2675
bottlegrowth	Round_1_Replicate_8	-136689.95	273385.9	260074.8	628469.75	0.3508,0.4239,1.28
bottlegrowth	Round_1_Replicate_9	-141129.83	282265.66	271640.17	153291.67	3.5469,1.6019,2.1608
bottlegrowth	Round_1_Replicate_10	-157821.2	315648.4	299280.73	261540.41	0.5021,2.0827,0.1686
bottlegrowth	Round_1_Replicate_11	-89260.22	178526.44	164465.95	1038200.57	7.468,0.1876,3.2624
bottlegrowth	Round_1_Replicate_12	-94687.97	189381.94	179056.57	294265.66	2.5577,0.3658,0.1676
bottlegrowth	Round_1_Replicate_13	-128285.45	256576.9	242691.63	1221761.17	0.3809,0.2061,2.0366
bottlegrowth	Round_1_Replicate_14	-89844.96	179695.92	165640.07	794323.97	0.7445,0.2452,1.128
bottlegrowth	Round_1_Replicate_15	-167821.17	335648.34	330966.74	93185.43	5.7327,2.9574,3.6993
bottlegrowth	Round_2_Replicate_1	-49518.59	99043.18	91263.5	383984.96	0.8396,0.2046,0.1324
bottlegrowth	Round_2_Replicate_2	-24487.19	48980.38	44770.45	1038125.65	0.2678,0.0648,0.1685
bottlegrowth	Round_2_Replicate_3	-92298.81	184603.62	170558.97	362308.6	0.6763,0.5408,0.4238
bottlegrowth	Round_2_Replicate_4	-35406.32	70818.64	64621.8	522120.34	0.6348,0.1556,0.206
bottlegrowth	Round_2_Replicate_5	-36923.5	73853.0	67112.36	1086004.89	0.4547,0.0898,0.3096
bottlegrowth	Round_2_Replicate_6	-53944.36	107894.72	98165.23	601106.4	0.8582,0.2135,0.5148
bottlegrowth	Round_2_Replicate_7	-27255.31	54516.62	49926.14	542437.88	0.4399,0.113,0.1325
bottlegrowth	Round_2_Replicate_8	-46203.17	92412.34	85187.26	389464.88	0.7561,0.1812,0.1137
bottlegrowth	Round_2_Replicate_9	-49358.88	98723.76	89584.36	416491.44	0.0959,0.4225,0.0661
bottlegrowth	Round_2_Replicate_10	-37778.51	75563.02	69685.83	410655.07	1.2826,0.1316,0.1252
bottlegrowth	Round_2_Replicate_11	-45257.43	90520.86	83419.15	392952.62	1.0178,0.1766,0.1354
bottlegrowth	Round_2_Replicate_12	-50194.41	100394.82	90994.38	449771.38	0.1476,0.3336,0.1044
bottlegrowth	Round_2_Replicate_13	-23208.41	46422.82	42521.53	597733.73	0.1128,0.1039,0.0715
bottlegrowth	Round_2_Replicate_14	-60344.98	120695.96	110391.89	383212.33	0.3041,0.3622,0.1182
bottlegrowth	Round_2_Replicate_15	-100841.05	201688.1	186675.09	458465.7	0.4149,0.4831,0.5316
bottlegrowth	Round_2_Replicate_16	-37399.07	74804.14	67973.28	1129714.69	0.9268,0.0871,0.4292
