Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, T)
bottlegrowth	Round_3_Replicate_12	-4555.64	9117.28	8540.05	739294.56	0.6165,0.0104,0.0533
bottlegrowth	Round_3_Replicate_13	-5056.77	10119.54	9464.85	481605.83	0.8214,0.0146,0.048
bottlegrowth	Round_3_Replicate_14	-4346.54	8699.08	8157.55	590204.94	0.179,0.01,0.03
bottlegrowth	Round_3_Replicate_15	-4579.38	9164.76	8584.71	597167.14	0.091,0.0119,0.0278
bottlegrowth	Round_3_Replicate_16	-6381.15	12768.3	11892.27	420547.66	0.0897,0.0252,0.0295
bottlegrowth	Round_3_Replicate_17	-4636.92	9279.84	8692.29	530764.11	0.6378,0.012,0.0431
bottlegrowth	Round_3_Replicate_18	-4977.28	9960.56	9318.42	491878.29	0.8114,0.0142,0.048
bottlegrowth	Round_3_Replicate_19	-4579.62	9165.24	8586.88	537838.03	0.6579,0.0116,0.0429
bottlegrowth	Round_3_Replicate_20	-4489.03	8984.06	8421.59	506644.53	0.1345,0.0105,0.0239
bottlegrowth	Round_3_Replicate_21	-4502.31	9010.62	8443.59	594626.65	0.3732,0.0111,0.0403
bottlegrowth	Round_3_Replicate_22	-5545.71	11097.42	10349.91	869550.47	0.3653,0.0141,0.0688
bottlegrowth	Round_3_Replicate_23	-4353.56	8713.12	8171.56	528434.52	0.051,0.01,0.0174
bottlegrowth	Round_3_Replicate_24	-5139.83	10285.66	9611.92	567540.87	0.1214,0.0163,0.0364
bottlegrowth	Round_3_Replicate_25	-4326.89	8659.78	8120.97	612264.91	0.0693,0.01,0.0229
bottlegrowth	Round_3_Replicate_26	-4835.1	9676.2	9053.75	598516.61	0.3999,0.0135,0.0485
bottlegrowth	Round_3_Replicate_27	-6995.23	13996.46	12984.13	531207.18	0.029,0.0358,0.0292
bottlegrowth	Round_3_Replicate_28	-4365.6	8737.2	8191.31	655870.54	0.0293,0.0104,0.018
