Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, T)
bottlegrowth	Round_1_Replicate_1	-142994.92	285995.84	273312.83	326283.54	0.662,0.8486,1.4391
bottlegrowth	Round_1_Replicate_2	-45565.99	91137.98	83885.62	371777.47	6.6627,0.2036,0.389
bottlegrowth	Round_1_Replicate_3	-400405.07	800816.14	966480.3	120672.74	0.1861,6.3589,3.2975
bottlegrowth	Round_1_Replicate_4	-148173.41	296352.82	275833.92	350864.05	0.1899,1.4249,0.277
bottlegrowth	Round_1_Replicate_5	-112740.01	225486.02	211454.76	91565.59	7.7103,2.404,6.9697
bottlegrowth	Round_1_Replicate_6	-47621.26	95248.52	86792.3	475144.84	1.9095,0.2281,0.5371
bottlegrowth	Round_1_Replicate_7	-191913.05	383832.1	361124.68	276880.4	0.2065,4.2584,0.237
bottlegrowth	Round_1_Replicate_8	-231810.95	463627.9	489054.23	166991.04	6.7357,1.6064,0.665
bottlegrowth	Round_1_Replicate_9	-116468.19	232942.38	217911.82	473553.26	0.4133,0.5151,0.7204
bottlegrowth	Round_1_Replicate_10	-67526.22	135058.44	122979.83	424744.1	0.3034,0.3995,0.2005
bottlegrowth	Round_1_Replicate_11	-166053.35	332112.7	326750.29	95459.72	5.416,2.8848,3.6669
bottlegrowth	Round_1_Replicate_12	-144177.23	288360.46	276129.22	836279.18	0.1713,0.3283,4.7661
bottlegrowth	Round_1_Replicate_13	-328204.54	656415.08	733393.38	165081.82	0.3716,3.8904,1.7992
bottlegrowth	Round_1_Replicate_14	-128845.02	257696.04	243833.81	449060.04	0.6945,0.5631,2.3239
bottlegrowth	Round_1_Replicate_15	-271174.5	542355.0	573972.01	207112.8	0.4014,2.5606,1.3782
bottlegrowth	Round_2_Replicate_1	-26218.59	52443.18	47880.56	1008112.84	5.892,0.0707,0.5463
bottlegrowth	Round_2_Replicate_2	-14727.44	29460.88	27297.87	645312.57	7.4935,0.0467,0.1934
bottlegrowth	Round_2_Replicate_3	-26231.98	52469.96	47911.66	774014.58	27.6627,0.0914,0.8552
bottlegrowth	Round_2_Replicate_4	-33890.16	67786.32	62137.81	449479.79	3.7157,0.1462,0.3109
bottlegrowth	Round_2_Replicate_5	-47704.16	95414.32	87735.46	390056.38	2.2668,0.2093,0.2679
bottlegrowth	Round_2_Replicate_6	-124327.67	248661.34	238592.7	250879.08	2.7738,0.7157,0.44
bottlegrowth	Round_2_Replicate_7	-55622.96	111251.92	101633.86	367093.74	4.3138,0.3259,0.8756
bottlegrowth	Round_2_Replicate_8	-26086.98	52179.96	47654.14	855682.52	8.4197,0.082,0.6052
bottlegrowth	Round_2_Replicate_9	-26139.8	52285.6	48026.34	465946.12	18.2853,0.1111,0.4021
bottlegrowth	Round_2_Replicate_10	-21185.09	42376.18	38887.85	752994.91	2.3986,0.0719,0.2927
bottlegrowth	Round_2_Replicate_11	-75363.21	150732.42	139729.24	356567.26	26.6297,0.3043,0.0993
bottlegrowth	Round_2_Replicate_12	-45031.24	90068.48	82052.49	379022.3	10.2123,0.2738,1.125
bottlegrowth	Round_2_Replicate_13	-49633.22	99272.44	90221.87	530661.54	6.7718,0.2293,1.4658
bottlegrowth	Round_2_Replicate_14	-19684.37	39374.74	36236.92	604449.45	10.1564,0.075,0.3341
bottlegrowth	Round_2_Replicate_15	-35952.58	71911.16	65415.92	506676.56	24.6094,0.1822,1.4012
bottlegrowth	Round_2_Replicate_16	-82664.57	165335.14	152603.9	268989.42	3.6521,0.6178,1.3939
bottlegrowth	Round_2_Replicate_17	-47425.51	94857.02	86400.31	360203.7	10.7006,0.3037,1.2938
bottlegrowth	Round_2_Replicate_18	-59648.69	119303.38	108578.75	696359.92	3.1656,0.2047,1.3725
bottlegrowth	Round_2_Replicate_19	-42305.47	84616.94	77268.28	446157.35	2.6717,0.2039,0.4465
bottlegrowth	Round_2_Replicate_20	-19447.24	38900.48	35764.48	708162.41	12.9817,0.0696,0.4192
bottlegrowth	Round_2_Replicate_21	-25226.22	50458.44	46339.43	476378.43	20.7012,0.1086,0.4261
bottlegrowth	Round_2_Replicate_22	-34615.42	69236.84	63491.08	448860.81	2.5659,0.146,0.2611
bottlegrowth	Round_2_Replicate_23	-145462.84	290931.68	281126.1	255664.71	5.3709,0.5499,0.1188
bottlegrowth	Round_2_Replicate_24	-15868.97	31743.94	29309.88	871730.26	17.4473,0.0466,0.3559
bottlegrowth	Round_2_Replicate_25	-14911.82	29829.64	27580.49	1051642.71	1.6383,0.0364,0.1902
bottlegrowth	Round_2_Replicate_26	-35774.77	71555.54	65094.27	588063.98	11.9309,0.1564,1.0627
bottlegrowth	Round_2_Replicate_27	-33853.08	67712.16	61637.01	510265.82	28.6135,0.171,1.3162
bottlegrowth	Round_2_Replicate_28	-61397.2	122800.4	111764.13	1050830.81	4.055,0.1403,1.434
bottlegrowth	Round_2_Replicate_29	-32669.82	65345.64	59482.4	841528.23	3.0222,0.1022,0.5771
bottlegrowth	Round_2_Replicate_30	-54006.48	108018.96	98238.15	581705.55	3.1517,0.2234,1.1447
bottlegrowth	Round_3_Replicate_1	-7894.74	15795.48	14854.75	911625.31	4.787,0.0123,0.0733
bottlegrowth	Round_3_Replicate_2	-12727.69	25461.38	23651.35	801312.61	2.3051,0.0352,0.1473
bottlegrowth	Round_3_Replicate_3	-26534.67	53075.34	48457.43	883950.49	5.6143,0.0807,0.548
bottlegrowth	Round_3_Replicate_4	-20390.1	40786.2	37433.82	888067.54	10.7702,0.0615,0.4616
bottlegrowth	Round_3_Replicate_5	-8312.62	16631.24	15615.54	1512869.68	13.8542,0.01,0.1046
bottlegrowth	Round_3_Replicate_6	-12836.33	25678.66	23835.45	995080.82	6.5723,0.0313,0.2148
bottlegrowth	Round_3_Replicate_7	-7589.82	15185.64	14295.61	947185.06	3.4488,0.0109,0.0644
bottlegrowth	Round_3_Replicate_8	-11661.03	23328.06	21708.15	1002541.34	17.3596,0.027,0.2209
