Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T)
asym_mig	Round_1_Replicate_1	-48971.51	97953.02	122375.25	28725.8	0.5632,0.345,0.5055,1.2652,0.1247
asym_mig	Round_1_Replicate_2	-166015.22	332040.44	861388.61	39014.33	0.2599,0.2828,0.293,0.5526,0.548
asym_mig	Round_1_Replicate_3	-66934.97	133879.94	872864.14	26601.14	0.2517,1.0691,8.0162,5.855,8.297
asym_mig	Round_1_Replicate_4	-181124.33	362258.66	736552.65	12317.61	0.3266,4.9376,0.5289,0.52,1.9028
asym_mig	Round_1_Replicate_5	-162555.47	325120.94	571456.25	15339.59	0.1783,5.8846,1.6954,0.1805,0.7784
asym_mig	Round_1_Replicate_6	-96155.71	192321.42	24957467.85	10112.21	2.0514,1.5751,2.8433,4.8131,2.5244
asym_mig	Round_1_Replicate_7	-158735.07	317480.14	718372.67	31910.58	0.269,2.9207,0.3765,3.894,1.6318
asym_mig	Round_1_Replicate_8	-75107.78	150225.56	597934.72	9351.79	2.2339,2.3129,1.6849,0.3421,2.2481
asym_mig	Round_1_Replicate_9	-121112.57	242235.14	687980.61	26995.55	0.2213,4.9312,2.7259,4.7871,3.1864
asym_mig	Round_1_Replicate_10	-82573.76	165157.52	211334.77	15569.98	0.2144,3.7379,6.0517,0.1389,0.8426
asym_mig	Round_2_Replicate_1	-36323.96	72657.92	100492.37	31078.73	0.4498,0.1254,0.6682,0.446,0.0404
asym_mig	Round_2_Replicate_2	-67715.54	135441.08	268630.57	20871.24	1.2355,1.0062,0.3154,1.0069,0.2272
asym_mig	Round_2_Replicate_3	-57904.71	115819.42	136665.04	32905.78	0.3622,0.2645,0.2584,1.5669,0.1354
asym_mig	Round_2_Replicate_4	-50630.92	101271.84	181998.56	25852.85	1.037,0.2643,0.133,4.5915,0.1343
asym_mig	Round_2_Replicate_5	-76480.44	152970.88	260048.03	24143.62	1.0829,0.2864,1.2808,0.6322,0.38
asym_mig	Round_2_Replicate_6	-51566.09	103142.18	250813.26	28191.05	0.4702,0.585,1.2059,2.8107,0.1008
asym_mig	Round_2_Replicate_7	-41165.3	82340.6	182733.61	32705.21	0.2259,0.2306,0.3948,4.3198,0.0372
asym_mig	Round_2_Replicate_8	-84966.76	169943.52	294168.83	24740.28	1.0891,0.254,0.6497,0.4237,0.2696
