Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T)
asym_mig	Round_1_Replicate_1	-140053.66	280117.32	674567.76	14225.71	6.283,0.2323,0.2085,0.8081,0.4352
asym_mig	Round_1_Replicate_2	-132607.28	265224.56	160633687.83	14019.62	2.2496,3.7965,0.2649,7.2586,0.7776
asym_mig	Round_1_Replicate_3	-175123.03	350256.06	740331.88	22170.57	0.2866,0.8394,0.2859,0.5609,6.3652
asym_mig	Round_1_Replicate_4	-55830.57	111671.14	131276.05	30943.0	0.3755,0.4165,1.5352,1.4713,0.2138
asym_mig	Round_1_Replicate_5	-61571.91	123153.82	203654.38	10229.87	2.6659,0.9334,1.3163,0.5109,5.752
asym_mig	Round_1_Replicate_6	-76774.62	153559.24	302144.33	13413.52	1.8102,1.5977,1.5671,0.2109,0.9189
asym_mig	Round_1_Replicate_7	-63279.23	126568.46	374444.4	20455.55	1.0655,0.5457,0.2327,4.5406,2.2795
asym_mig	Round_1_Replicate_8	-149861.24	299732.48	1988874315.93	7350.62	4.2652,3.9421,1.0657,7.375,2.5207
asym_mig	Round_1_Replicate_9	-49636.51	99283.02	139565.56	26657.87	0.8896,0.1944,0.8975,4.6125,0.3905
asym_mig	Round_1_Replicate_10	-101641.92	203293.84	302888.3	15230.38	1.1218,3.4721,0.2479,0.2951,0.5136
asym_mig	Round_2_Replicate_1	-69211.16	138432.32	189264.44	28851.71	0.4049,0.6185,1.1146,2.8911,0.4442
asym_mig	Round_2_Replicate_2	-45408.45	90826.9	155912.62	35217.61	0.6277,0.1438,0.8462,9.6758,1.1255
asym_mig	Round_2_Replicate_3	-121725.33	243460.66	511045.11	47317.5	0.3508,0.128,0.3017,1.8776,1.542
asym_mig	Round_2_Replicate_4	-62794.24	125598.48	275003.52	21728.75	1.6159,0.4765,0.2572,2.7421,0.193
asym_mig	Round_2_Replicate_5	-46499.51	93009.02	171307.39	26631.06	1.0885,0.1016,0.6201,12.882,0.2347
asym_mig	Round_2_Replicate_6	-68973.4	137956.8	1548673.6	22339.72	1.2435,0.4105,0.3935,9.4408,0.3868
asym_mig	Round_2_Replicate_7	-60869.74	121749.48	318597.51	20932.04	2.0763,0.142,2.3907,10.3473,0.3464
asym_mig	Round_2_Replicate_8	-54086.28	108182.56	264100.11	26350.48	0.5948,0.7534,0.8932,1.2941,0.1077
asym_mig	Round_2_Replicate_9	-61694.15	123398.3	170152.45	28182.99	0.728,0.2316,0.2488,2.5019,0.2632
asym_mig	Round_2_Replicate_10	-47581.43	95172.86	198414.06	28388.74	0.5535,0.409,0.3245,2.8447,0.0913
asym_mig	Round_2_Replicate_11	-61998.88	124007.76	174811.57	26924.21	1.5113,0.077,1.7156,4.3755,0.0885
asym_mig	Round_2_Replicate_12	-125672.4	251354.8	643335.48	24143.4	1.0986,0.076,0.2314,1.6993,1.148
asym_mig	Round_2_Replicate_13	-47382.37	94774.74	224901.15	36220.89	0.4178,0.1961,0.2567,11.7334,0.2195
asym_mig	Round_2_Replicate_14	-37518.76	75047.52	100490.32	36004.3	0.301,0.1214,0.6903,9.6987,0.0797
asym_mig	Round_2_Replicate_15	-79854.81	159719.62	248714.94	18089.33	2.8409,0.3058,0.3691,2.0888,0.3256
asym_mig	Round_2_Replicate_16	-136470.45	272950.9	772878.7	14487.13	3.3288,0.0748,0.685,2.006,1.187
asym_mig	Round_2_Replicate_17	-77229.45	154468.9	256883.42	16409.65	2.6708,0.1606,0.3065,4.4158,0.6564
asym_mig	Round_2_Replicate_18	-69208.59	138427.18	223885.76	24861.13	1.2478,0.1649,2.2121,2.1546,0.6769
asym_mig	Round_2_Replicate_19	-42719.6	85449.2	152759.31	27970.9	0.8821,0.1618,2.6827,7.1563,0.1906
asym_mig	Round_2_Replicate_20	-39822.83	79655.66	118873.43	41588.08	0.4939,0.1211,2.9171,8.9696,1.2281
asym_mig	Round_3_Replicate_1	-46875.94	93761.88	153785.56	29952.54	0.6397,0.2198,0.4633,6.7931,0.2447
asym_mig	Round_3_Replicate_2	-32409.06	64828.12	99299.89	35021.41	0.2243,0.08,0.6191,11.4984,0.0328
asym_mig	Round_3_Replicate_3	-33455.53	66921.06	114695.53	32878.96	0.274,0.1254,1.5104,3.4556,0.0334
asym_mig	Round_3_Replicate_4	-39738.32	79486.64	140675.78	28990.36	0.9436,0.0867,2.6444,3.5474,0.0308
asym_mig	Round_3_Replicate_5	-39765.32	79540.64	134929.07	29014.94	0.8254,0.1135,1.9193,4.5245,0.0452
asym_mig	Round_3_Replicate_6	-48219.47	96448.94	108688.63	40046.55	0.2497,0.1107,0.2948,6.7738,0.1082
asym_mig	Round_3_Replicate_7	-46632.39	93274.78	188043.06	26931.76	0.9837,0.2222,0.2049,4.6799,0.0853
asym_mig	Round_3_Replicate_8	-43291.56	86593.12	233889.02	34332.72	0.1799,0.2044,2.0262,10.2622,0.0374
asym_mig	Round_3_Replicate_9	-56899.99	113809.98	117271.62	38098.23	0.1589,0.1983,0.1512,4.0968,0.0688
asym_mig	Round_3_Replicate_10	-42354.06	84718.12	97558.72	37164.31	0.2769,0.1327,0.7573,6.2885,0.0942
asym_mig	Round_3_Replicate_11	-51712.58	103435.16	225698.36	28177.91	0.6351,0.3618,0.3113,5.611,0.172
asym_mig	Round_3_Replicate_12	-41388.94	82787.88	171153.5	29582.75	0.5316,0.2457,0.4243,3.476,0.0643
asym_mig	Round_3_Replicate_13	-36615.15	73240.3	103642.99	34486.86	0.1789,0.144,0.2388,3.1763,0.0317
asym_mig	Round_3_Replicate_14	-51905.59	103821.18	170361.67	26179.06	0.7978,0.402,0.398,2.9032,0.16
asym_mig	Round_3_Replicate_15	-34550.07	69110.14	103330.83	38069.49	0.267,0.1122,2.2933,12.3171,0.089
asym_mig	Round_3_Replicate_16	-30617.02	61244.04	106057.97	35543.7	0.2243,0.0614,2.281,18.6136,0.032
asym_mig	Round_3_Replicate_17	-39132.38	78274.76	140456.6	29862.46	0.7556,0.0496,0.4573,22.7663,0.0356
asym_mig	Round_3_Replicate_18	-40736.44	81482.88	125329.9	49636.36	0.2327,0.0879,0.2759,19.4606,0.1674
asym_mig	Round_3_Replicate_19	-39690.39	79390.78	149982.83	28972.74	0.8045,0.1106,0.4015,3.9745,0.036
asym_mig	Round_3_Replicate_20	-33875.68	67761.36	111160.35	32618.2	0.3345,0.1119,1.1462,5.983,0.0389
asym_mig	Round_3_Replicate_21	-31302.36	62614.72	108195.03	32865.1	0.2351,0.0513,0.326,8.4905,0.0167
asym_mig	Round_3_Replicate_22	-36365.05	72740.1	130331.14	32485.75	0.399,0.1227,0.3923,9.8715,0.0559
asym_mig	Round_3_Replicate_23	-34086.33	68182.66	97137.27	36315.13	0.25,0.0942,1.0628,12.1231,0.0532
asym_mig	Round_3_Replicate_24	-32707.43	65424.86	116834.31	35049.34	0.355,0.0805,2.008,16.7951,0.0678
asym_mig	Round_3_Replicate_25	-66449.71	132909.42	182721.46	40292.13	0.3345,0.1222,0.6115,3.4929,0.2411
asym_mig	Round_3_Replicate_26	-37700.47	75410.94	127754.66	33014.68	0.5762,0.0863,0.3069,15.6907,0.1461
asym_mig	Round_3_Replicate_27	-65894.41	131798.82	184639.44	39241.78	0.2179,0.2896,0.5352,7.941,0.157
