Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T)
asym_mig	Round_1_Replicate_1	-52853.78	105717.56	196009.45	23355.3	0.4252,1.2026,5.792,0.2039,0.3486
asym_mig	Round_1_Replicate_2	-80391.8	160793.6	239980.06	22771.82	0.486,4.1946,0.3465,0.4339,0.1638
asym_mig	Round_1_Replicate_3	-108648.2	217306.4	528188.26	8877.61	4.9874,1.9634,0.8537,0.1629,1.2324
asym_mig	Round_1_Replicate_4	-73882.72	147775.44	1596512.47	12596.23	1.9178,1.348,3.2092,0.9268,1.8532
asym_mig	Round_1_Replicate_5	-158235.78	316481.56	546977.48	12524.91	0.2015,4.028,1.2913,0.171,1.9408
asym_mig	Round_1_Replicate_6	-227080.86	454171.72	3043218.75	7118.23	6.0902,0.1632,0.3975,0.2015,8.2148
asym_mig	Round_1_Replicate_7	-96255.11	192520.22	1928198.43	16398.39	5.0092,0.4422,1.1804,6.2756,0.2703
asym_mig	Round_1_Replicate_8	-161658.67	323327.34	626036.19	13840.67	0.5628,3.8665,0.1872,1.1987,5.7553
asym_mig	Round_1_Replicate_9	-126724.13	253458.26	543922.33	56672.32	0.1564,0.2127,2.1666,0.3096,0.7701
asym_mig	Round_1_Replicate_10	-56416.22	112842.44	120813.51	49919.03	0.1563,0.2127,3.8014,3.6478,0.3283
asym_mig	Round_2_Replicate_1	-39999.16	80008.32	93680.15	46231.74	0.2235,0.329,8.1313,0.5048,0.5332
asym_mig	Round_2_Replicate_2	-63480.05	126970.1	145208.51	19658.17	0.2608,1.7606,4.7335,0.0816,1.0172
asym_mig	Round_2_Replicate_3	-67589.34	135188.68	301202.26	22334.41	0.2736,3.0569,8.3515,0.0519,0.1946
asym_mig	Round_2_Replicate_4	-66816.62	133643.24	851148.38	21440.11	0.8963,1.3075,4.3368,0.4742,0.2115
asym_mig	Round_2_Replicate_5	-43822.82	87655.64	99622.67	31577.34	0.2892,0.603,5.5868,0.1681,0.5193
asym_mig	Round_2_Replicate_6	-51118.61	102247.22	207745.56	38069.08	0.4285,0.4941,8.2305,0.0652,1.1757
asym_mig	Round_2_Replicate_7	-96935.97	193881.94	34195336.14	19984.63	1.0017,1.4332,12.1892,0.485,0.3713
asym_mig	Round_2_Replicate_8	-59284.34	118578.68	218116.96	16908.09	0.4238,2.0388,5.634,0.0714,1.1166
asym_mig	Round_2_Replicate_9	-76018.28	152046.56	562393.19	16392.57	1.5377,1.5631,2.4938,0.294,0.4591
asym_mig	Round_2_Replicate_10	-97487.6	194985.2	241724.95	18227.73	0.1391,4.2624,6.3818,0.3841,0.5271
asym_mig	Round_2_Replicate_11	-31701.26	63412.52	86991.41	36161.65	0.2866,0.3266,9.6051,0.3255,0.2047
asym_mig	Round_2_Replicate_12	-53870.7	107751.4	253782.64	26856.92	0.2875,1.1533,7.7388,0.497,0.1303
asym_mig	Round_2_Replicate_13	-83985.39	167980.78	208149.25	17361.3	0.2457,3.5941,4.7174,0.1191,0.5818
asym_mig	Round_2_Replicate_14	-127589.95	255189.9	406091.15	13653.96	0.284,4.6525,1.6872,0.0967,1.0808
asym_mig	Round_2_Replicate_15	-44952.85	89915.7	311556.57	35582.02	0.3022,0.5881,12.4599,0.0577,0.7141
asym_mig	Round_2_Replicate_16	-63778.78	127567.56	341226.33	18709.59	1.2755,1.0087,3.107,0.3857,0.4765
asym_mig	Round_2_Replicate_17	-50587.86	101185.72	199358.87	35642.12	0.4654,0.5043,7.5168,0.1652,1.1057
asym_mig	Round_2_Replicate_18	-99984.18	199978.36	6862230.63	15229.55	1.2916,2.9123,5.2052,0.0956,0.4395
asym_mig	Round_2_Replicate_19	-101820.81	203651.62	52389109.64	17095.65	1.61,1.4364,10.4489,0.284,1.0948
asym_mig	Round_2_Replicate_20	-86756.69	173523.38	21758930.55	21757.01	0.7389,1.2404,14.7923,0.064,0.5464
asym_mig	Round_3_Replicate_1	-54655.5	109321.0	145831.76	94113.04	0.1515,0.1938,13.1234,0.1226,0.8099
asym_mig	Round_3_Replicate_2	-38357.73	76725.46	231236.79	66850.85	0.1826,0.2218,22.0624,0.9831,0.4179
asym_mig	Round_3_Replicate_3	-62051.13	124112.26	585164.83	21100.4	0.8043,1.2387,5.2451,0.0496,0.3046
asym_mig	Round_3_Replicate_4	-29953.58	59917.16	110787.52	35917.34	0.232,0.293,13.3837,0.3201,0.1169
asym_mig	Round_3_Replicate_5	-43079.78	86169.56	150944.67	27454.05	0.9762,0.2261,3.6686,1.0095,0.0828
asym_mig	Round_3_Replicate_6	-54289.36	108588.72	246699.55	22632.75	0.4189,1.1165,5.5522,1.1341,0.5996
asym_mig	Round_3_Replicate_7	-51583.49	103176.98	280811.83	25858.27	0.5135,0.8197,4.5609,1.0795,0.1601
asym_mig	Round_3_Replicate_8	-62301.58	124613.16	2170655.21	38028.46	1.092,0.2027,20.3186,0.1506,0.1799
asym_mig	Round_3_Replicate_9	-43797.48	87604.96	113354.09	40760.72	0.3608,0.2591,5.9878,0.8827,0.4603
asym_mig	Round_3_Replicate_10	-54815.58	109641.16	158721.0	29862.83	0.6878,0.4063,4.7895,0.217,0.6134
asym_mig	Round_3_Replicate_11	-50724.96	101459.92	213125.5	28106.42	0.3576,0.7924,3.6408,0.6698,0.0935
asym_mig	Round_3_Replicate_12	-60627.13	121264.26	171715.4	27053.57	0.8793,0.3308,3.5935,0.1384,0.3796
asym_mig	Round_3_Replicate_13	-50725.35	101460.7	219246.86	29398.04	0.2649,0.7649,4.2081,0.3116,0.0657
asym_mig	Round_3_Replicate_14	-65270.37	130550.74	1172035.48	21709.75	0.9498,1.0221,6.0482,0.3358,0.2671
asym_mig	Round_3_Replicate_15	-67853.12	135716.24	599660.77	20031.26	1.0345,1.1978,2.7426,1.3465,0.3065
asym_mig	Round_3_Replicate_16	-29673.38	59356.76	94116.08	35144.23	0.3337,0.1991,11.2696,0.2056,0.0968
asym_mig	Round_3_Replicate_17	-51381.17	102772.34	176183.65	22309.74	0.834,0.6943,3.5036,0.672,0.6189
asym_mig	Round_3_Replicate_18	-50924.96	101859.92	140569.07	22388.09	0.5273,1.0093,3.8738,0.2833,0.6366
asym_mig	Round_3_Replicate_19	-55922.51	111855.02	275664.28	28331.96	0.2087,1.2878,8.9942,0.1742,0.0742
asym_mig	Round_3_Replicate_20	-33684.76	67379.52	77469.06	37030.82	0.2579,0.1966,6.6192,0.6997,0.1133
asym_mig	Round_3_Replicate_21	-37795.7	75601.4	133262.8	29932.17	0.7753,0.1091,7.8688,0.438,0.0404
asym_mig	Round_3_Replicate_22	-41932.35	83874.7	124398.26	30129.82	0.3487,0.6392,6.9376,0.4065,0.5971
asym_mig	Round_3_Replicate_23	-29287.98	58585.96	94136.85	36512.03	0.3328,0.1618,12.5982,0.9545,0.095
asym_mig	Round_3_Replicate_24	-48586.45	97182.9	113958.94	37275.88	0.2457,0.3006,3.9119,0.8142,0.2361
asym_mig	Round_3_Replicate_25	-28715.24	57440.48	73155.25	38044.89	0.2746,0.1779,11.1583,0.3461,0.1095
asym_mig	Round_3_Replicate_26	-33024.34	66058.68	107920.04	32214.46	0.321,0.1469,3.5813,0.1843,0.0383
