Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, m12, m21, T1, T2)
sec_contact_bottle_schange	Round_1_Replicate_1	-751144.21	1502308.42	1704560.21	198646.67	0.3119,3.1384,4.0125,0.1654,0.3082,3.1062,0.5829,0.1553,2.3446,0.4724
sec_contact_bottle_schange	Round_1_Replicate_2	-597277.44	1194574.88	1232297.49	358281.94	0.2716,0.2034,0.7005,2.4058,0.2705,0.5614,0.5771,1.4951,1.3492,2.3873
sec_contact_bottle_schange	Round_1_Replicate_3	-810577.06	1621174.12	3499023.0	115580.38	5.2048,1.656,0.4193,0.4128,0.5754,5.9834,0.2659,3.451,3.4808,0.1576
sec_contact_bottle_schange	Round_1_Replicate_4	-461155.52	922331.04	1317141.3	283872.73	0.2871,2.2972,0.1368,4.7229,0.2887,0.6562,4.4151,0.242,0.3205,1.5703
sec_contact_bottle_schange	Round_1_Replicate_5	-1314687.3	2629394.6	15564103.98	161821.78	0.602,0.1602,1.2077,1.194,1.0639,6.1032,0.7427,1.1135,0.4765,1.1417
sec_contact_bottle_schange	Round_1_Replicate_6	-938822.25	1877664.5	4115764.33	66391.93	7.5815,1.8862,1.0345,6.5153,1.933,5.8684,0.1379,0.7233,6.5079,0.4154
sec_contact_bottle_schange	Round_1_Replicate_7	-990524.83	1981069.66	9499745.64	388292.14	0.595,0.2891,0.1661,2.5704,1.1971,0.3568,0.3286,5.1743,1.3203,1.1623
sec_contact_bottle_schange	Round_1_Replicate_8	-1902004.9	3804029.8	7450503.04	187303.74	6.8631,0.1728,1.5743,1.9365,0.2072,7.2076,0.253,0.1397,0.2002,1.2066
sec_contact_bottle_schange	Round_1_Replicate_9	-1187286.77	2374593.54	60041904.54	204745.08	0.4823,1.5732,0.6094,0.7751,1.2277,0.723,2.8846,1.7772,2.6266,7.1905
sec_contact_bottle_schange	Round_1_Replicate_10	-939542.09	1879104.18	2193091.43	138368.45	0.1221,0.5406,5.4207,4.7851,0.2618,3.2531,1.1497,0.6127,0.197,3.5705
sec_contact_bottle_schange	Round_1_Replicate_11	-999597.66	1999215.32	3430085.85	260541.96	0.4035,1.7188,1.6052,0.7364,2.2722,0.6471,0.3858,3.8312,0.5452,0.122
sec_contact_bottle_schange	Round_1_Replicate_12	-1427737.44	2855494.88	78016836.12	157910.09	2.272,0.3481,0.1938,4.3794,3.0355,0.716,2.1619,2.7224,3.0814,0.4126
sec_contact_bottle_schange	Round_1_Replicate_13	-1848141.34	3696302.68	10110075.95	118003.37	5.753,6.7584,0.786,0.1227,4.3172,0.1721,0.2606,0.1923,3.6568,0.8662
sec_contact_bottle_schange	Round_1_Replicate_14	-944973.35	1889966.7	6466463.09	144524.25	0.4374,3.0753,4.9507,0.3242,1.9047,0.3559,1.6513,1.1434,3.7045,0.883
sec_contact_bottle_schange	Round_1_Replicate_15	-634497.18	1269014.36	1485118.66	324892.75	7.8434,0.2403,7.5486,0.1697,0.2678,1.5097,1.5875,0.3607,0.1861,0.5152
sec_contact_bottle_schange	Round_2_Replicate_1	-432802.23	865624.46	813693.67	212143.26	0.8071,0.9377,0.2114,7.9167,0.2414,1.0848,2.1947,0.1512,0.2152,5.9216
sec_contact_bottle_schange	Round_2_Replicate_2	-1534923.1	3069866.2	127607374.06	483088.48	0.1057,5.2095,0.066,12.5548,1.0135,0.2621,7.8867,0.2114,1.2639,5.8025
sec_contact_bottle_schange	Round_2_Replicate_3	-397868.94	795757.88	850651.81	301398.28	0.3496,1.0072,0.0697,2.4776,0.526,0.5215,1.833,0.3229,0.1245,3.8786
sec_contact_bottle_schange	Round_2_Replicate_4	-1187570.82	2375161.64	86921818.61	291431.29	0.3925,1.3697,0.4488,9.6828,0.7222,0.4866,6.5658,0.0669,0.4001,3.4348
sec_contact_bottle_schange	Round_2_Replicate_5	-349100.2	698220.4	646163.21	405574.55	0.0872,0.5699,0.0451,3.3763,0.19,0.4777,4.2799,0.073,0.1212,1.8837
sec_contact_bottle_schange	Round_2_Replicate_6	-587375.48	1174770.96	1535338.6	276645.08	0.1179,1.367,0.124,3.9782,1.1457,0.243,1.599,0.2075,0.2742,1.0553
sec_contact_bottle_schange	Round_2_Replicate_7	-385210.19	770440.38	789069.18	308374.27	0.9446,4.3766,0.4745,4.0463,0.13,0.1882,2.013,0.3415,1.091,0.3978
sec_contact_bottle_schange	Round_2_Replicate_8	-469939.65	939899.3	839862.71	333564.36	0.2502,0.6338,0.2379,1.6966,0.1738,0.952,3.7937,0.0911,0.5288,4.6313
sec_contact_bottle_schange	Round_2_Replicate_9	-444248.3	888516.6	924653.29	401975.87	0.2608,2.396,0.1383,4.8427,0.0906,0.4479,6.926,0.4372,1.082,2.0243
sec_contact_bottle_schange	Round_2_Replicate_10	-2352939.2	4705898.4	35505805044.97	141815.81	0.6085,4.9693,0.0558,5.3743,0.8471,2.0785,10.0557,0.282,0.7017,2.9072
sec_contact_bottle_schange	Round_2_Replicate_11	-451551.96	903123.92	1654907.89	429704.54	0.0719,4.7788,0.4719,3.8009,0.2031,0.1868,7.5698,0.2166,0.9692,0.9282
sec_contact_bottle_schange	Round_2_Replicate_12	-291721.03	583462.06	562961.52	343943.83	0.6109,2.6939,0.1309,9.1452,0.3458,0.2629,2.3485,0.3364,0.1603,1.1379
sec_contact_bottle_schange	Round_2_Replicate_13	-436725.12	873470.24	1313332.63	442364.51	1.0563,1.1419,0.1727,4.6481,0.2197,0.4152,6.021,0.0696,0.0876,2.7455
sec_contact_bottle_schange	Round_2_Replicate_14	-770251.03	1540522.06	1520943.15	172060.33	1.1323,0.9784,0.1732,18.0568,0.2621,1.9476,2.075,0.2934,0.252,1.7453
sec_contact_bottle_schange	Round_2_Replicate_15	-346063.94	692147.88	699396.5	289521.44	0.6481,1.1043,0.1266,16.1208,0.4805,0.3158,1.364,0.0593,0.3626,0.8728
sec_contact_bottle_schange	Round_2_Replicate_16	-764402.98	1528825.96	1604204.92	241578.48	0.0733,1.2832,0.3106,2.5278,0.1126,1.9493,6.0594,0.1642,0.1273,1.4472
sec_contact_bottle_schange	Round_2_Replicate_17	-499167.38	998354.76	2180773.04	434927.08	0.151,4.9484,0.1759,15.6318,0.1205,0.2045,13.2471,0.8492,0.0855,0.6438
sec_contact_bottle_schange	Round_2_Replicate_18	-1376780.99	2753581.98	71129836.09	177259.23	0.3504,2.2983,0.0497,3.2618,0.6845,2.5407,4.1456,0.7761,0.5659,1.0533
sec_contact_bottle_schange	Round_2_Replicate_19	-1464202.01	2928424.02	362693618.4	304123.28	0.6462,1.3341,0.3702,5.3521,0.7993,0.284,10.5169,0.1856,0.4905,0.5189
sec_contact_bottle_schange	Round_2_Replicate_20	-480155.31	960330.62	1610232.55	454158.07	0.2231,0.9813,0.0647,1.5822,0.2056,0.3821,7.1751,0.3591,0.2742,0.7901
sec_contact_bottle_schange	Round_2_Replicate_21	-430273.39	860566.78	801446.7	364520.56	0.1481,0.9747,0.0495,7.277,0.2035,0.3835,3.918,0.4576,0.2548,0.4128
sec_contact_bottle_schange	Round_2_Replicate_22	-556354.48	1112728.96	1111643.18	215745.8	0.5626,7.0268,0.0566,11.9236,0.2277,0.6955,2.2152,0.114,0.8597,0.7244
sec_contact_bottle_schange	Round_2_Replicate_23	-596029.58	1192079.16	3980327.39	365985.97	0.0961,1.0559,0.1575,15.8383,0.2943,0.2643,7.5324,0.4581,0.3274,1.3319
sec_contact_bottle_schange	Round_2_Replicate_24	-474884.28	949788.56	1119496.95	223367.59	0.8666,2.1071,0.0871,12.5398,0.7333,0.474,2.3728,0.1736,0.8196,0.4437
sec_contact_bottle_schange	Round_2_Replicate_25	-278634.68	557289.36	514627.85	465920.12	0.4098,2.2059,0.2217,3.5914,0.1319,0.2325,5.4874,0.22,0.1887,0.6533
sec_contact_bottle_schange	Round_2_Replicate_26	-1147060.02	2294140.04	51661133.67	189585.4	0.4058,5.6164,0.0577,14.0743,0.2194,1.1772,12.1894,0.2311,0.5866,2.5578
sec_contact_bottle_schange	Round_2_Replicate_27	-512337.03	1024694.06	1488513.76	446099.05	0.1321,3.9797,0.054,1.901,0.3511,0.4984,3.8196,0.0629,0.2747,5.5025
sec_contact_bottle_schange	Round_2_Replicate_28	-360558.71	721137.42	651380.5	333441.04	0.168,2.9178,0.0722,3.808,0.2847,0.493,3.0492,0.08,0.0988,0.6491
sec_contact_bottle_schange	Round_2_Replicate_29	-1099699.34	2199418.68	67246663.15	275824.82	0.1923,7.4287,0.132,2.06,0.3964,0.8461,8.2432,0.1401,0.2785,0.5574
sec_contact_bottle_schange	Round_2_Replicate_30	-533804.11	1067628.22	1362515.4	382269.49	0.3444,2.7512,0.0476,2.0791,0.1654,0.7746,6.7948,0.0675,0.1245,3.8918
sec_contact_bottle_schange	Round_3_Replicate_1	-373931.86	747883.72	648085.86	390672.64	0.0995,7.2082,0.2173,1.163,0.2475,0.538,2.2984,0.6585,0.1053,2.5175
sec_contact_bottle_schange	Round_3_Replicate_2	-426566.67	853153.34	755282.76	294619.26	0.3735,4.2273,0.2379,9.7176,0.2115,0.4518,2.8678,0.2511,0.2762,0.4531
sec_contact_bottle_schange	Round_3_Replicate_3	-472404.44	944828.88	1277207.46	260020.04	0.3761,0.6863,0.066,5.074,0.4795,0.7981,2.8918,0.0735,0.5055,1.2777
sec_contact_bottle_schange	Round_3_Replicate_4	-345996.72	692013.44	1135436.67	400202.04	0.8285,1.8123,0.6818,7.1257,0.1542,0.0729,9.5601,0.1252,0.4046,0.2006
sec_contact_bottle_schange	Round_3_Replicate_5	-602172.42	1204364.84	1324399.04	456240.38	0.2107,1.2411,0.1441,1.4274,0.1175,0.2113,1.6959,0.2125,0.1957,0.1608
sec_contact_bottle_schange	Round_3_Replicate_6	-446654.35	893328.7	1180125.28	273659.75	1.197,1.3227,0.1686,3.5152,0.4723,0.6649,2.7156,0.3412,0.0476,1.2974
sec_contact_bottle_schange	Round_3_Replicate_7	-846927.45	1693874.9	2119982.01	320671.86	0.2828,2.2157,0.0579,1.8187,0.0739,0.8594,3.5817,0.0746,0.717,0.4907
sec_contact_bottle_schange	Round_3_Replicate_8	-535968.43	1071956.86	1052246.75	415022.26	1.0681,0.646,0.1062,7.383,0.0853,0.3912,8.7243,0.1572,0.1826,0.1942
sec_contact_bottle_schange	Round_3_Replicate_9	-357589.95	715199.9	944350.54	397457.94	0.4461,1.1978,0.5881,14.5644,0.2436,0.1873,4.7598,0.4424,0.3536,1.1848
sec_contact_bottle_schange	Round_3_Replicate_10	-379846.63	759713.26	718556.45	2511605.92	1.4674,5.3284,0.2092,3.2176,0.0417,0.0877,18.2893,0.8657,0.0763,2.2985
sec_contact_bottle_schange	Round_3_Replicate_11	-1119909.75	2239839.5	10468079.29	909283.77	0.9033,1.1091,0.8787,9.1132,0.3534,0.1052,10.8407,0.1202,0.0588,2.2234
sec_contact_bottle_schange	Round_3_Replicate_12	-506753.21	1013526.42	1940389.4	362285.26	0.5538,0.6052,0.1292,4.0787,0.2645,0.5241,5.7726,0.1206,0.5485,1.6239
sec_contact_bottle_schange	Round_3_Replicate_13	-591544.84	1183109.68	1425576.78	373538.88	0.122,0.929,0.072,5.1388,0.0786,0.6197,12.0643,0.2148,0.0683,1.6948
sec_contact_bottle_schange	Round_3_Replicate_14	-385562.71	771145.42	705965.31	807223.48	0.1007,0.6231,0.6481,2.7846,0.0972,0.2356,5.3727,0.1294,0.1444,2.4113
sec_contact_bottle_schange	Round_3_Replicate_15	-504113.12	1008246.24	1345662.65	417642.13	0.3993,7.1016,0.1755,9.9781,0.0668,0.2279,15.6378,0.4674,0.0639,0.2487
sec_contact_bottle_schange	Round_3_Replicate_16	-356683.22	713386.44	738639.0	509601.26	0.3732,4.2729,0.307,6.3425,0.0585,0.156,7.1812,0.1854,0.2803,0.494
sec_contact_bottle_schange	Round_3_Replicate_17	-509944.24	1019908.48	1421852.62	297330.69	0.1137,3.2563,0.4721,7.1694,0.0665,0.2574,14.0623,0.0761,0.6801,0.1802
sec_contact_bottle_schange	Round_3_Replicate_18	-432463.38	864946.76	899913.84	564826.43	0.3036,0.8231,0.2155,9.265,0.0635,0.2126,5.9031,0.2063,0.0809,1.1401
sec_contact_bottle_schange	Round_3_Replicate_19	-374541.87	749103.74	744317.59	704141.36	0.6909,1.2386,0.3667,2.2496,0.1243,0.1713,4.9933,0.1963,0.1367,1.2111
sec_contact_bottle_schange	Round_3_Replicate_20	-428913.39	857846.78	879617.02	253242.05	0.1327,2.0212,0.4538,9.5569,0.485,0.5265,2.0712,0.1026,0.3115,0.5036
sec_contact_bottle_schange	Round_3_Replicate_21	-495132.45	990284.9	1567536.37	781580.92	0.7168,5.4194,0.3678,1.7759,0.1859,0.2227,7.5334,0.1308,0.1686,2.09
sec_contact_bottle_schange	Round_3_Replicate_22	-346943.73	693907.46	675972.13	550698.74	0.3607,2.4983,0.2519,1.597,0.1004,0.1107,5.4227,0.3139,0.7351,0.4649
sec_contact_bottle_schange	Round_3_Replicate_23	-1068551.49	2137122.98	71956647.79	368511.37	1.3567,2.4956,0.1267,2.9111,0.2206,0.3917,15.421,0.2673,0.2613,0.4737
sec_contact_bottle_schange	Round_3_Replicate_24	-1064941.79	2129903.58	4961241.12	684123.86	1.6322,2.7346,0.0641,4.0123,0.4522,0.1151,6.2543,0.0708,0.3295,1.9161
sec_contact_bottle_schange	Round_3_Replicate_25	-697113.38	1394246.76	2944215.94	1009704.92	1.6526,5.8612,0.0607,1.0136,0.2352,0.1524,8.3835,0.4891,0.0824,2.1934
sec_contact_bottle_schange	Round_3_Replicate_26	-618693.37	1237406.74	2543978.04	371704.11	0.7798,7.3171,0.4015,3.5348,0.1117,0.4336,10.8472,0.149,0.0608,0.2451
sec_contact_bottle_schange	Round_3_Replicate_27	-963547.23	1927114.46	3156912.41	623136.44	0.3952,1.947,0.3616,1.3165,0.4253,0.1431,3.5715,0.0789,0.1405,1.9821
sec_contact_bottle_schange	Round_3_Replicate_28	-380203.93	760427.86	664736.12	263971.48	0.1191,8.2139,0.764,2.434,0.3863,0.7313,1.4971,0.6898,0.2779,1.3491
sec_contact_bottle_schange	Round_3_Replicate_29	-604036.75	1208093.5	4824209.96	353979.6	0.1057,0.6064,0.1668,11.2505,0.4141,0.2785,6.0784,0.2144,0.624,0.6108
sec_contact_bottle_schange	Round_3_Replicate_30	-1280853.6	2561727.2	209572222.31	293173.1	0.3033,6.6952,0.2178,7.462,0.2791,0.5975,13.3912,0.6282,0.0828,1.0604
sec_contact_bottle_schange	Round_3_Replicate_31	-341878.06	683776.12	673562.61	451873.97	1.2488,1.1306,0.182,2.5716,0.2246,0.1961,1.7074,0.3252,0.0608,0.4022
sec_contact_bottle_schange	Round_3_Replicate_32	-474695.83	949411.66	1857481.26	334282.49	0.8111,1.3328,0.5729,2.4304,0.319,0.3268,4.1962,0.2847,0.1823,0.2194
sec_contact_bottle_schange	Round_3_Replicate_33	-363027.74	726075.48	633313.77	283093.03	0.2492,0.594,0.7915,3.2209,0.3201,0.6341,1.7487,0.7449,0.5109,1.6477
sec_contact_bottle_schange	Round_3_Replicate_34	-486581.02	973182.04	966102.33	1532706.28	1.4369,2.706,0.2472,1.0149,0.0531,0.116,6.5759,0.866,0.4983,1.7067
sec_contact_bottle_schange	Round_3_Replicate_35	-331710.19	663440.38	605363.33	308192.23	1.4189,8.5555,0.1475,3.6213,0.3344,0.5275,2.2524,0.4173,0.1548,2.4777
sec_contact_bottle_schange	Round_3_Replicate_36	-436893.49	873806.98	955498.43	463649.11	0.7029,4.2077,0.4448,10.0086,0.0974,0.0693,1.4109,0.2078,0.2187,0.1943
sec_contact_bottle_schange	Round_3_Replicate_37	-516431.91	1032883.82	1354912.2	930242.65	0.5137,3.7072,0.1232,1.2704,0.075,0.2814,15.0387,0.7921,0.5532,2.5195
sec_contact_bottle_schange	Round_3_Replicate_38	-379501.84	759023.68	718226.25	1019178.67	0.4849,0.7089,0.231,4.2365,0.0548,0.0975,8.854,0.4022,0.095,0.9115
sec_contact_bottle_schange	Round_3_Replicate_39	-807817.49	1615654.98	1884445.27	934163.67	0.1928,1.3653,0.1086,1.2657,0.0666,0.1216,2.4875,0.8715,0.0539,1.0844
sec_contact_bottle_schange	Round_3_Replicate_40	-751076.66	1502173.32	3600808.75	360161.42	0.3939,3.4543,0.7848,7.17,0.3786,0.0974,6.3465,0.0752,0.5926,0.5779
sec_contact_bottle_schange	Round_3_Replicate_41	-541625.69	1083271.38	1037375.38	374675.81	0.6396,1.0606,0.255,1.034,0.1381,0.9002,5.1051,0.3552,0.0768,2.0928
sec_contact_bottle_schange	Round_3_Replicate_42	-306405.82	612831.64	796906.91	326340.87	0.3103,2.3693,0.5874,7.1183,0.2322,0.2156,4.8265,0.1375,0.3657,0.3229
sec_contact_bottle_schange	Round_3_Replicate_43	-733066.18	1466152.36	1743161.21	455297.47	1.2094,0.578,0.5098,1.1667,0.0613,0.6429,4.6927,0.5673,0.1135,0.8431
sec_contact_bottle_schange	Round_3_Replicate_44	-297813.73	595647.46	624319.25	640799.72	0.1333,1.8744,0.3748,1.6656,0.1009,0.1555,8.5202,0.4914,0.1646,0.5727
sec_contact_bottle_schange	Round_3_Replicate_45	-529404.75	1058829.5	1946764.72	363458.34	0.3654,4.0878,0.6886,1.7506,0.2223,0.6199,5.9999,0.1328,0.0527,0.9488
sec_contact_bottle_schange	Round_3_Replicate_46	-657727.05	1315474.1	4600533.19	576888.75	0.1257,1.3632,0.26,1.4934,0.2665,0.2703,8.1029,0.4024,0.1188,1.4608
sec_contact_bottle_schange	Round_3_Replicate_47	-310194.69	620409.38	629324.5	704523.39	0.2593,0.7834,0.0969,2.8138,0.0412,0.0989,17.1926,0.1545,0.1261,0.2654
sec_contact_bottle_schange	Round_3_Replicate_48	-445744.42	891508.84	1066269.87	1890299.09	0.2845,2.5741,0.3543,6.3914,0.0712,0.0876,14.3651,0.2674,0.1121,2.0555
sec_contact_bottle_schange	Round_3_Replicate_49	-1270908.85	2541837.7	29929411.87	892922.72	0.1314,2.9882,0.3114,1.0318,0.3665,0.09,15.4283,0.2978,0.4707,0.7817
sec_contact_bottle_schange	Round_3_Replicate_50	-453661.46	907342.92	887507.32	455261.95	1.3245,0.8528,0.0747,1.5076,0.1923,0.3604,2.0095,0.2437,0.5292,1.4077
sec_contact_bottle_schange	Round_4_Replicate_1	-361241.69	722503.38	787658.14	328714.47	0.5756,3.0119,0.3496,7.4818,0.2079,0.3889,4.6241,0.4037,0.1767,0.6461
sec_contact_bottle_schange	Round_4_Replicate_2	-294070.09	588160.18	560379.75	411692.62	0.5678,1.2048,0.2353,4.3158,0.2236,0.2729,3.393,0.3017,0.2154,1.0907
sec_contact_bottle_schange	Round_4_Replicate_3	-248694.29	497408.58	464584.19	460000.06	0.2118,1.8388,0.2669,3.6322,0.138,0.1785,5.4418,0.1167,0.2117,0.4295
sec_contact_bottle_schange	Round_4_Replicate_4	-316513.81	633047.62	602079.92	629754.12	0.2495,1.1443,0.1618,3.4981,0.1182,0.2061,6.0646,0.1483,0.1585,1.2585
sec_contact_bottle_schange	Round_4_Replicate_5	-225817.01	451654.02	418626.37	423782.16	0.5845,1.2787,0.2263,7.85,0.1869,0.1383,4.0355,0.3058,0.2626,0.3662
sec_contact_bottle_schange	Round_4_Replicate_6	-267304.56	534629.12	506903.44	518001.7	0.3111,1.3079,0.1676,2.5073,0.1662,0.1188,3.783,0.3694,0.0995,0.3445
sec_contact_bottle_schange	Round_4_Replicate_7	-361896.92	723813.84	657827.04	395347.72	0.2145,2.9299,0.1696,1.9975,0.157,0.4288,4.7114,0.1666,0.1224,0.4588
sec_contact_bottle_schange	Round_4_Replicate_8	-278838.0	557696.0	526536.22	463094.39	0.2445,1.4584,0.1424,2.2422,0.1982,0.2199,4.1305,0.2127,0.0993,0.5146
sec_contact_bottle_schange	Round_4_Replicate_9	-310434.53	620889.06	553677.46	373777.96	0.3217,1.3591,0.1324,2.9204,0.2375,0.3389,3.261,0.3442,0.3004,0.4889
sec_contact_bottle_schange	Round_4_Replicate_10	-279147.1	558314.2	520117.83	514463.35	0.3555,2.2347,0.3747,8.3023,0.1041,0.1784,6.1789,0.3205,0.1176,0.8522
sec_contact_bottle_schange	Round_4_Replicate_11	-337541.01	675102.02	721170.18	429805.96	0.7989,4.339,0.1399,1.9754,0.1953,0.3448,5.2097,0.1534,0.1568,0.78
sec_contact_bottle_schange	Round_4_Replicate_12	-289340.71	578701.42	542567.07	410345.63	0.3203,2.7005,0.2353,7.8316,0.1796,0.2777,4.0919,0.1584,0.0998,1.2695
sec_contact_bottle_schange	Round_4_Replicate_13	-236153.94	472327.88	450457.46	423480.33	0.2288,3.0519,0.3301,5.5037,0.1432,0.1612,5.4492,0.1969,0.3122,0.4431
sec_contact_bottle_schange	Round_4_Replicate_14	-366389.56	732799.12	702272.62	413372.24	0.2222,1.9251,0.188,5.7745,0.107,0.3471,6.5169,0.3141,0.1102,0.7681
sec_contact_bottle_schange	Round_4_Replicate_15	-306210.93	612441.86	579082.45	532165.69	0.657,2.1097,0.1161,2.2152,0.1588,0.2023,4.3548,0.3885,0.1966,0.8366
sec_contact_bottle_schange	Round_4_Replicate_16	-358978.92	717977.84	780519.38	481725.43	0.3257,4.3709,0.1501,3.3181,0.2253,0.2297,4.0157,0.1527,0.1138,1.2727
sec_contact_bottle_schange	Round_4_Replicate_17	-283164.72	566349.44	531884.83	581576.26	0.6269,2.7042,0.1892,2.7322,0.0978,0.1635,6.988,0.0947,0.1433,0.5777
sec_contact_bottle_schange	Round_4_Replicate_18	-278945.79	557911.58	534258.74	509776.06	0.2436,4.2583,0.2216,2.8144,0.1141,0.1904,6.6756,0.2518,0.2628,0.6112
sec_contact_bottle_schange	Round_4_Replicate_19	-318252.73	636525.46	609202.15	410384.42	0.5321,2.114,0.3899,2.3992,0.1521,0.3449,5.3004,0.2667,0.2536,0.6389
sec_contact_bottle_schange	Round_4_Replicate_20	-366165.28	732350.56	680485.99	385490.44	0.3927,2.3331,0.2718,2.671,0.1464,0.4286,5.0118,0.3283,0.1739,0.6037
sec_contact_bottle_schange	Round_4_Replicate_21	-270430.59	540881.18	487439.99	369869.52	0.3801,1.3202,0.2854,5.9513,0.222,0.2784,3.4877,0.1139,0.1876,0.5065
