Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, m12, m21, T1, T2)
sec_contact_bottle_schange	Round_1_Replicate_1	-1311334.32	2622688.64	7700986.46	155488.71	1.0228,0.203,0.5612,0.2548,0.1578,0.9109,0.2357,0.2112,3.1426,0.315
sec_contact_bottle_schange	Round_1_Replicate_2	-495221.57	990463.14	3956699.15	98164.67	0.9307,3.3263,0.9598,4.9902,1.5558,0.5213,1.8009,1.1915,1.6891,4.7244
sec_contact_bottle_schange	Round_1_Replicate_3	-363008.76	726037.52	1562476.36	195644.16	0.1364,7.206,0.1281,1.6506,0.6082,0.387,2.841,2.0219,0.8818,1.1454
sec_contact_bottle_schange	Round_1_Replicate_4	-725945.11	1451910.22	2205773.99	317005.99	0.1839,0.1632,2.5274,0.359,0.1607,0.33,0.3326,0.9037,1.0766,6.1576
sec_contact_bottle_schange	Round_1_Replicate_5	-673695.06	1347410.12	6010699.14	89998.21	0.306,7.0256,0.1256,5.6193,3.8327,0.4994,1.5302,0.6261,0.1805,3.3154
sec_contact_bottle_schange	Round_1_Replicate_6	-264673.0	529366.0	510907.97	161273.97	3.0097,0.6594,0.1748,1.2415,1.481,0.1967,0.1573,3.0101,7.874,1.0665
sec_contact_bottle_schange	Round_1_Replicate_7	-724832.07	1449684.14	3562879.38	107979.35	0.6279,1.0209,5.2728,3.9726,1.3539,0.594,1.8149,0.2131,2.3777,0.1816
sec_contact_bottle_schange	Round_1_Replicate_8	-642976.52	1285973.04	4499279.87	166251.38	0.2094,0.4313,2.0298,3.4113,0.4676,1.7133,1.8862,1.8828,0.5861,0.3832
sec_contact_bottle_schange	Round_1_Replicate_9	-375325.93	750671.86	871006.41	160301.17	0.1298,0.6423,1.5873,1.6114,0.2405,0.2921,0.4702,2.6967,3.3782,0.3536
sec_contact_bottle_schange	Round_1_Replicate_10	-263589.24	527198.48	560543.63	107417.86	1.1804,1.3934,2.102,0.7873,1.3934,0.1236,0.4908,4.7237,3.2543,0.1626
sec_contact_bottle_schange	Round_1_Replicate_11	-431086.89	862193.78	2197051.07	45640.92	7.6738,0.9177,3.3555,1.0718,0.8649,0.655,0.4402,4.8707,5.1125,0.1344
sec_contact_bottle_schange	Round_1_Replicate_12	-779157.93	1558335.86	3579478.92	76001.26	6.7722,0.1556,0.207,5.2721,0.9975,5.753,0.3672,0.9083,0.6775,7.2687
sec_contact_bottle_schange	Round_1_Replicate_13	-747379.18	1494778.36	17848176.31	191043.89	0.1708,0.7289,2.3525,0.5592,1.1862,0.3224,4.3399,0.8269,0.4195,0.6759
sec_contact_bottle_schange	Round_1_Replicate_14	-330168.26	660356.52	889766.01	159469.27	5.5219,2.1874,0.6482,4.6425,0.7283,0.4345,1.6895,0.2846,1.5904,5.2433
sec_contact_bottle_schange	Round_1_Replicate_15	-807694.52	1615409.04	3055924.88	69638.09	0.1839,2.0323,0.5349,1.2805,4.2079,0.2174,0.1739,0.4309,1.0999,7.443
sec_contact_bottle_schange	Round_2_Replicate_1	-974518.95	1949057.9	476359897.01	176829.42	0.8283,1.2659,2.6329,0.4532,0.6784,0.4675,1.1453,12.1226,1.2546,0.4342
sec_contact_bottle_schange	Round_2_Replicate_2	-519510.94	1039041.88	1795748.46	71445.55	3.6237,5.4143,5.2941,0.3353,2.3702,0.0691,0.577,5.966,3.6713,0.4371
sec_contact_bottle_schange	Round_2_Replicate_3	-224156.82	448333.64	466107.41	142426.37	1.4497,0.5189,3.0529,0.5124,0.4727,0.0597,0.6062,6.9064,1.6685,0.0785
sec_contact_bottle_schange	Round_2_Replicate_4	-986366.81	1972753.62	16100749.65	35658.43	2.9482,4.3229,5.8704,1.6279,0.5277,0.3335,0.156,1.549,11.8441,0.0726
