Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, m12, m21, T1, T2)
sec_contact_bottle_schange	Round_1_Replicate_1	-703990.76	1408001.52	4558008.03	321017.0	0.2421,6.5848,1.9023,0.3195,0.4408,0.5229,2.2636,3.5821,0.6972,1.1853
sec_contact_bottle_schange	Round_1_Replicate_2	-924568.39	1849156.78	3107920.37	587963.84	2.9032,0.1219,0.2258,6.0308,0.5128,0.1673,3.6111,0.2122,0.1966,4.9781
sec_contact_bottle_schange	Round_1_Replicate_3	-2927640.8	5855301.6	131402738340.24	226075.31	0.322,0.1797,0.2396,0.5387,1.8595,1.9717,4.7104,4.7361,0.8747,0.6842
sec_contact_bottle_schange	Round_1_Replicate_4	-1683839.29	3367698.58	440135676.88	230916.17	0.4995,2.087,1.4262,0.2403,0.4751,2.186,4.6771,3.3677,0.304,2.0909
sec_contact_bottle_schange	Round_1_Replicate_5	-680643.96	1361307.92	1779710.01	251972.85	4.3057,2.0601,1.691,1.2664,0.1899,0.4022,0.4681,3.2851,4.7788,1.0884
sec_contact_bottle_schange	Round_1_Replicate_6	-515679.21	1031378.42	1417244.56	214008.99	0.8285,3.223,2.9536,0.992,1.137,0.2401,0.8334,2.9295,1.4805,6.863
sec_contact_bottle_schange	Round_1_Replicate_7	-960851.62	1921723.24	2411681.06	181467.14	0.9449,0.8298,0.1703,0.1679,2.1376,4.1774,0.763,0.4217,2.6543,0.4372
sec_contact_bottle_schange	Round_1_Replicate_8	-2030970.34	4061960.68	3556555682.71	70557.57	5.6627,0.6189,1.0478,3.0791,6.9123,1.7122,0.5549,3.3868,7.2811,0.8524
sec_contact_bottle_schange	Round_1_Replicate_9	-1622671.62	3245363.24	53518505.66	129845.44	0.9995,4.9631,1.0848,5.7688,5.7832,2.0832,0.6295,0.5988,0.1573,0.7773
sec_contact_bottle_schange	Round_1_Replicate_10	-599752.07	1199524.14	1426185.73	220430.16	6.2522,1.0175,2.8317,3.6229,0.2761,0.5157,0.1289,0.7225,1.1978,0.7406
sec_contact_bottle_schange	Round_1_Replicate_11	-1238744.92	2477509.84	4661136.81	234611.26	4.3361,6.1633,0.406,1.2471,1.5638,0.1995,0.889,0.2929,1.9563,7.9622
sec_contact_bottle_schange	Round_1_Replicate_12	-2060218.35	4120456.7	3694471167.11	135235.8	5.7041,3.2365,0.195,3.8678,0.6493,3.2278,5.4975,3.1657,2.6162,1.2765
sec_contact_bottle_schange	Round_1_Replicate_13	-642852.84	1285725.68	2785707.81	139850.99	1.7492,0.3266,6.7241,2.1624,1.9206,0.3947,0.3174,3.3799,0.1336,3.6762
sec_contact_bottle_schange	Round_1_Replicate_14	-1474358.69	2948737.38	72624627.0	367647.77	3.4883,0.1297,1.4499,0.2901,1.2476,0.414,4.8459,0.3509,3.85,1.1943
sec_contact_bottle_schange	Round_1_Replicate_15	-1235841.63	2471703.26	3452112.58	156229.86	1.3567,0.3143,6.3525,1.1561,4.466,2.0303,0.2852,0.1808,0.1374,0.4638
sec_contact_bottle_schange	Round_2_Replicate_1	-548266.15	1096552.3	1383528.78	316784.53	2.0877,1.3067,1.3169,3.9569,0.8546,0.1457,0.5701,1.9749,0.459,15.5653
sec_contact_bottle_schange	Round_2_Replicate_2	-370076.78	740173.56	673274.88	327578.47	1.406,1.0916,6.5722,0.8057,0.3967,0.4983,1.1547,1.7182,0.8449,10.5211
sec_contact_bottle_schange	Round_2_Replicate_3	-485432.36	970884.72	1088740.0	334173.37	1.1489,6.7771,1.2117,2.4418,0.5304,0.2681,0.3913,0.9683,3.9189,8.6667
sec_contact_bottle_schange	Round_2_Replicate_4	-539803.23	1079626.46	1409021.72	507540.6	0.6008,1.3166,0.839,0.4661,0.4863,0.1517,2.1121,2.0131,2.3776,5.0867
sec_contact_bottle_schange	Round_2_Replicate_5	-403268.9	806557.8	913017.82	293815.03	1.584,1.5408,2.7188,3.4316,0.7837,0.1304,0.3389,5.6443,2.5062,2.8434
sec_contact_bottle_schange	Round_2_Replicate_6	-446567.83	893155.66	992845.7	139960.34	1.1408,1.2934,2.5772,1.1871,1.9436,0.4766,0.2628,1.6807,0.9241,8.5508
sec_contact_bottle_schange	Round_2_Replicate_7	-600065.25	1200150.5	2181440.09	391917.22	0.3579,1.6074,0.7985,0.3693,0.581,0.1888,2.7031,3.386,4.4793,2.7947
sec_contact_bottle_schange	Round_2_Replicate_8	-442896.89	885813.78	905519.35	322630.98	0.6205,0.8646,7.9016,1.3373,0.4816,0.5671,0.667,2.0493,1.2222,18.091
sec_contact_bottle_schange	Round_2_Replicate_9	-951088.3	1902196.6	3992677.43	425957.79	0.2236,1.5895,8.2624,0.2977,0.3023,0.8182,0.2536,3.9776,3.0758,5.7241
sec_contact_bottle_schange	Round_2_Replicate_10	-937839.32	1875698.64	6724770.54	443229.92	0.4518,11.4042,3.3194,3.2535,0.3233,0.7665,1.0515,4.6394,2.2149,9.3692
sec_contact_bottle_schange	Round_2_Replicate_11	-883956.75	1767933.5	10715794.96	193465.81	0.4524,5.8919,5.3187,0.7848,1.0987,0.4609,2.0541,2.8021,0.7435,3.3198
sec_contact_bottle_schange	Round_2_Replicate_12	-1564973.02	3129966.04	267846836.08	85214.6	3.0281,4.5349,2.8458,2.2187,3.6747,0.5959,1.9,3.6312,5.8945,3.5569
sec_contact_bottle_schange	Round_2_Replicate_13	-781819.3	1563658.6	2169144.71	149616.86	0.2062,3.1179,2.0434,1.3632,3.2923,0.1172,0.2108,5.2267,4.4141,3.3186
sec_contact_bottle_schange	Round_2_Replicate_14	-955999.8	1912019.6	3847004.96	138451.06	0.5607,0.9125,8.6614,0.5701,2.8419,0.2278,0.9261,1.4269,1.3361,15.3515
sec_contact_bottle_schange	Round_2_Replicate_15	-837604.78	1675229.56	4486587.9	87178.98	2.4581,3.5392,7.2631,3.708,3.3191,0.3481,0.6753,2.9343,1.6186,17.4445
