Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, m12, m21, T1, T2)
sec_contact_bottle_schange	Round_4_Replicate_58	-188492.48	377004.96	377570.72	336377.99	25.6206,4.4957,4.1403,0.5137,0.0492,0.1138,13.5202,0.8405,5.5479,0.494
sec_contact_bottle_schange	Round_4_Replicate_59	-183612.21	367244.42	412204.0	131834.31	12.8047,11.4529,3.5092,0.2708,0.084,0.2118,7.8891,0.4882,5.342,0.3288
sec_contact_bottle_schange	Round_4_Replicate_60	-198079.3	396178.6	438267.07	356885.7	13.2553,8.2364,7.9234,0.4995,0.0804,0.1318,9.2058,1.0616,2.3384,0.6071
sec_contact_bottle_schange	Round_4_Replicate_61	-225659.15	451338.3	399516.75	1006395.88	11.143,9.5113,4.7615,0.1893,0.041,0.1418,15.5791,0.4947,6.2904,0.8047
sec_contact_bottle_schange	Round_4_Replicate_62	-260795.91	521611.82	484227.78	732211.97	7.4857,3.4158,6.9324,0.1483,0.087,0.2224,7.2381,0.5465,4.5087,1.2728
sec_contact_bottle_schange	Round_4_Replicate_63	-216164.4	432348.8	384909.36	526663.96	13.9962,7.8111,7.7986,0.2386,0.0844,0.2303,6.6855,0.8656,3.8072,1.1418
sec_contact_bottle_schange	Round_4_Replicate_64	-251547.57	503115.14	492022.83	707816.8	25.1009,7.8981,5.0816,0.1684,0.0956,0.2001,7.4413,0.6363,3.4714,1.1683
sec_contact_bottle_schange	Round_4_Replicate_65	-257481.15	514982.3	472414.17	806181.0	8.0548,3.3655,2.798,0.181,0.068,0.2169,10.7972,0.5343,4.0561,1.0837
sec_contact_bottle_schange	Round_4_Replicate_66	-201845.96	403711.92	422437.08	432586.25	9.8782,4.5154,4.7245,0.4738,0.0692,0.1278,10.0012,0.5477,3.2196,0.6109
sec_contact_bottle_schange	Round_4_Replicate_67	-188510.82	377041.64	364614.11	337061.38	12.2816,3.0871,3.134,0.199,0.0665,0.2239,9.2189,0.3793,4.7889,0.4486
sec_contact_bottle_schange	Round_4_Replicate_68	-190737.14	381494.28	376444.93	577286.13	19.7665,7.6693,4.5249,0.4392,0.0512,0.11,13.8969,1.3012,3.3842,0.6854
sec_contact_bottle_schange	Round_4_Replicate_69	-203787.99	407595.98	376698.87	473316.37	17.1021,5.5621,6.9522,0.193,0.0841,0.2106,7.1571,0.9386,6.7078,0.9421
sec_contact_bottle_schange	Round_4_Replicate_70	-206690.92	413401.84	397465.39	589676.93	16.519,3.9052,3.3016,0.5504,0.0694,0.1856,11.2146,0.4266,4.4403,1.0626
sec_contact_bottle_schange	Round_4_Replicate_71	-162943.57	325907.14	310078.58	182140.29	16.1854,9.5395,5.1353,0.5219,0.0681,0.1394,6.4864,1.0814,2.465,0.3319
sec_contact_bottle_schange	Round_4_Replicate_72	-217330.97	434681.94	408091.21	882391.52	10.3385,8.8251,7.5543,0.2768,0.0504,0.1471,14.6005,0.363,2.6265,0.8097
sec_contact_bottle_schange	Round_4_Replicate_73	-232480.0	464980.0	460008.52	535921.75	11.8594,6.3041,5.2588,0.4981,0.0979,0.1647,5.8361,0.6353,1.7564,1.1522
sec_contact_bottle_schange	Round_4_Replicate_74	-205465.8	410951.6	377351.33	689258.22	10.4275,3.0868,6.9177,0.4067,0.0657,0.1527,9.8041,1.0026,3.8972,1.0651
sec_contact_bottle_schange	Round_4_Replicate_75	-181588.84	363197.68	356127.61	427057.92	9.3385,6.7154,3.7731,0.1607,0.0442,0.1522,14.2762,0.5365,1.7495,0.2995
sec_contact_bottle_schange	Round_4_Replicate_76	-205735.36	411490.72	393411.9	366518.79	8.4678,5.3546,8.2805,0.3186,0.0687,0.2245,9.7287,1.1977,3.9605,0.7492
sec_contact_bottle_schange	Round_4_Replicate_77	-174355.8	348731.6	352183.59	306455.68	12.2533,8.9318,7.1944,0.2075,0.0494,0.1452,11.7384,0.7085,1.86,0.2823
sec_contact_bottle_schange	Round_4_Replicate_78	-172747.4	345514.8	330082.02	175213.67	12.7511,3.3746,2.8547,0.3285,0.0751,0.2143,6.7964,0.9043,4.5142,0.3703
sec_contact_bottle_schange	Round_4_Replicate_79	-216058.53	432137.06	447555.07	554597.06	9.2021,3.6656,4.3193,0.2687,0.0755,0.145,9.1115,0.5474,3.4256,0.6653
sec_contact_bottle_schange	Round_4_Replicate_80	-187094.69	374209.38	367458.67	264938.21	11.9225,10.5226,2.608,0.1719,0.0641,0.2026,9.8017,0.6638,6.5036,0.4695
sec_contact_bottle_schange	Round_4_Replicate_81	-176924.66	353869.32	350460.98	322557.66	8.2528,5.5347,5.7564,0.4109,0.0522,0.1412,12.1146,0.5998,2.0113,0.367
sec_contact_bottle_schange	Round_4_Replicate_82	-187288.66	374597.32	378683.82	307876.32	18.0574,6.3758,6.0336,0.4975,0.0466,0.1082,14.1036,0.9586,4.0603,0.4327
sec_contact_bottle_schange	Round_4_Replicate_83	-197783.36	395586.72	368503.6	585785.18	18.9144,11.5768,5.2867,0.2189,0.0584,0.1563,10.9586,0.8845,6.1316,0.774
sec_contact_bottle_schange	Round_4_Replicate_84	-252280.24	504580.48	469300.49	700902.12	10.1898,3.3791,8.6678,0.1637,0.0814,0.2032,6.2739,0.6856,2.2293,1.1349
sec_contact_bottle_schange	Round_4_Replicate_85	-185928.38	371876.76	365637.48	316089.73	20.9728,4.4426,5.2278,0.4677,0.0549,0.1356,11.4236,0.6634,5.9755,0.5275
sec_contact_bottle_schange	Round_4_Replicate_86	-204273.44	408566.88	370682.14	507234.97	17.0327,8.1138,8.1103,0.3693,0.0805,0.2159,7.9011,0.8153,2.2776,1.037
sec_contact_bottle_schange	Round_4_Replicate_87	-183770.63	367561.26	342634.94	371160.71	21.2173,4.3384,3.6494,0.2256,0.0576,0.2036,9.7193,0.4226,1.9031,0.3948
sec_contact_bottle_schange	Round_4_Replicate_88	-195476.53	390973.06	378676.46	374002.72	14.8644,6.272,4.1997,0.48,0.0914,0.2362,8.0068,0.4739,5.7701,1.0205
sec_contact_bottle_schange	Round_4_Replicate_89	-229744.19	459508.38	435213.48	809082.34	8.415,9.9984,10.3191,0.2181,0.0745,0.1482,8.347,1.0407,2.5518,1.1214
sec_contact_bottle_schange	Round_4_Replicate_90	-232687.04	465394.08	503496.39	707230.43	13.1453,5.6771,9.2253,0.4582,0.0878,0.1491,9.7307,0.6385,3.1235,1.1751
sec_contact_bottle_schange	Round_4_Replicate_91	-180563.69	361147.38	352213.36	265944.93	8.1261,8.3003,3.2499,0.5193,0.0702,0.1766,8.8837,0.5117,2.7871,0.5024
sec_contact_bottle_schange	Round_4_Replicate_92	-186344.79	372709.58	360631.15	290310.93	8.9097,7.5938,2.6951,0.284,0.078,0.2075,8.1132,0.7839,3.7605,0.5662
sec_contact_bottle_schange	Round_4_Replicate_93	-151874.77	303769.54	304350.86	154880.37	16.5411,7.831,6.2463,0.4533,0.0905,0.2122,6.0731,0.8772,2.6336,0.3331
sec_contact_bottle_schange	Round_4_Replicate_94	-192696.99	385413.98	392838.65	279285.5	24.3803,4.6401,9.7103,0.1764,0.0784,0.2631,6.5453,0.4694,1.6651,0.3686
sec_contact_bottle_schange	Round_4_Replicate_95	-176881.71	353783.42	343016.87	422091.81	7.9237,3.296,6.5202,0.315,0.0418,0.1261,14.4349,0.397,1.8772,0.3276
sec_contact_bottle_schange	Round_4_Replicate_96	-192219.55	384459.1	370525.26	841481.5	8.0347,7.8909,4.442,0.3914,0.0351,0.0859,19.9756,1.1689,4.1198,0.6302
sec_contact_bottle_schange	Round_4_Replicate_97	-175463.69	350947.38	332316.0	232197.58	9.3983,4.4398,4.1626,0.3342,0.0788,0.2584,6.9211,0.4211,2.8672,0.4358
sec_contact_bottle_schange	Round_4_Replicate_98	-187246.42	374512.84	366459.64	514157.64	26.621,10.2184,5.6293,0.1616,0.0482,0.1379,13.5777,0.8847,2.8066,0.4285
sec_contact_bottle_schange	Round_4_Replicate_99	-171548.67	343117.34	329092.93	129316.36	11.5641,10.4981,6.7633,0.3476,0.0694,0.1908,6.2063,0.7654,5.0986,0.3589
sec_contact_bottle_schange	Round_4_Replicate_100	-192414.1	384848.2	379614.99	466596.96	14.7604,4.461,5.7737,0.3845,0.0561,0.1289,11.4588,0.4942,4.1898,0.5778
