Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, m12, m21, T1, T2)
sec_contact_bottle_schange	Round_1_Replicate_1	-2156730.44	4313480.88	416939884.41	162391.72	0.2591,0.1636,0.1517,0.8002,4.4344,4.1299,3.2841,0.1753,3.7207,0.3945
sec_contact_bottle_schange	Round_1_Replicate_2	-745978.93	1491977.86	4726806.46	275602.67	3.6175,0.7181,0.5041,0.3155,0.4817,0.818,3.8444,1.8375,0.5179,0.1316
sec_contact_bottle_schange	Round_1_Replicate_3	-1615246.07	3230512.14	30158953.51	121273.5	0.4608,1.2472,5.3864,3.25,5.8462,0.3225,2.428,0.3861,4.8954,1.6304
sec_contact_bottle_schange	Round_1_Replicate_4	-319984.67	639989.34	606145.16	249852.44	2.7013,6.0476,5.7707,0.2297,0.7121,0.3418,0.1644,2.3476,0.2904,3.8803
sec_contact_bottle_schange	Round_1_Replicate_5	-766812.37	1533644.74	1858385.79	92690.16	0.5983,0.1572,4.4324,1.2519,2.5227,4.1051,0.1807,0.1389,0.185,3.0079
sec_contact_bottle_schange	Round_1_Replicate_6	-1232989.58	2465999.16	9086263.2	166604.52	0.1824,2.5241,1.4431,0.3641,5.7984,0.4995,1.8857,0.125,2.0277,0.3859
sec_contact_bottle_schange	Round_1_Replicate_7	-1606592.22	3213204.44	17458600.21	234409.27	2.2156,0.6666,0.1695,1.3931,4.4507,0.2126,3.1173,0.7045,0.1475,1.8391
sec_contact_bottle_schange	Round_1_Replicate_8	-1663414.48	3326848.96	58710407.49	222696.04	3.3454,0.7321,3.0446,6.0992,0.3702,6.3066,0.529,4.2153,0.239,0.713
sec_contact_bottle_schange	Round_1_Replicate_9	-1402415.49	2804850.98	46776756.14	207184.45	0.2612,0.4967,0.4474,6.2068,0.9192,1.9994,0.7086,4.2867,3.4277,0.1774
sec_contact_bottle_schange	Round_1_Replicate_10	-1243435.19	2486890.38	87372628.41	149322.12	7.3509,2.1042,1.0597,1.4939,1.9143,0.7955,2.7291,0.8706,1.6105,0.6635
sec_contact_bottle_schange	Round_1_Replicate_11	-396669.48	793358.96	772862.38	360483.65	0.4382,1.6396,2.9362,2.6238,0.1618,0.34,0.9689,0.4337,0.2029,0.4677
sec_contact_bottle_schange	Round_1_Replicate_12	-1561612.09	3123244.18	117142002.25	177512.71	0.2442,1.0213,1.6166,1.5641,3.0937,0.6984,2.7301,0.2063,2.3029,2.9585
