Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
asym_mig_size	Round_3_Replicate_9	-60836.17	121688.34	141456.52	32811.87	0.3002,0.3305,0.2823,0.536,2.6019,1.8461,19.178,10.2198
asym_mig_size	Round_3_Replicate_10	-52654.57	105325.14	366438.83	17761.93	0.5323,0.7486,0.5412,1.0729,3.8053,2.4675,5.9842,3.1687
asym_mig_size	Round_3_Replicate_11	-54900.22	109816.44	147497.62	11601.93	0.1272,0.2704,1.2068,1.4933,1.112,0.473,29.3929,3.8244
asym_mig_size	Round_3_Replicate_12	-49927.84	99871.68	134429.52	49217.96	0.346,0.5699,0.1542,0.4185,9.1688,2.9981,24.4097,7.3818
asym_mig_size	Round_3_Replicate_13	-50044.79	100105.58	117826.0	70148.5	0.6379,2.2637,0.1302,0.3175,11.4432,0.6531,25.0342,4.1284
asym_mig_size	Round_3_Replicate_14	-80827.77	161671.54	214269.17	19212.27	0.1736,0.5953,0.154,2.1468,6.5838,1.3623,9.2392,1.5081
asym_mig_size	Round_3_Replicate_15	-73014.39	146044.78	228828.15	59110.35	0.0945,1.2074,0.2091,0.2811,4.3298,0.4272,19.5657,8.5941
asym_mig_size	Round_3_Replicate_16	-59334.49	118684.98	461728.11	15658.28	0.4072,0.7499,0.8758,1.243,2.4171,2.0501,5.744,1.2791
asym_mig_size	Round_3_Replicate_17	-58932.36	117880.72	179246.43	14165.11	0.0761,0.148,0.4746,1.7095,2.6054,1.187,23.6285,5.5295
asym_mig_size	Round_3_Replicate_18	-58066.79	116149.58	209049.74	16956.63	0.2641,0.5384,0.125,1.7872,15.051,0.9862,8.4153,5.1828
asym_mig_size	Round_3_Replicate_19	-50095.54	100207.08	121743.76	20011.92	0.198,0.5938,0.3062,1.2507,5.0923,0.4839,16.7364,4.0805
asym_mig_size	Round_3_Replicate_20	-57696.04	115408.08	259443.26	12580.24	0.1682,1.9632,0.5486,1.8594,2.7476,1.5213,25.0342,7.835
asym_mig_size	Round_3_Replicate_21	-76824.53	153665.06	12988288.74	12942.05	0.464,0.1834,1.2394,1.1523,6.9403,3.624,4.6352,5.5808
asym_mig_size	Round_3_Replicate_22	-69191.29	138398.58	223219.43	29726.01	0.1181,0.391,0.8381,0.3686,3.2762,0.6126,11.6702,6.2496
asym_mig_size	Round_3_Replicate_23	-104046.8	208109.6	265252.81	19840.52	0.1109,0.2224,0.2667,1.5357,1.4766,1.0912,3.3267,3.1327
