Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
sec_contact_asym_mig_size	Round_1_Replicate_1	-222419.63	444855.26	1219506.5	19991.42	2.2089,1.4819,0.2468,3.4927,0.2492,1.5234,0.169,2.4398
sec_contact_asym_mig_size	Round_1_Replicate_2	-182757.73	365531.46	73771675.8	14143.32	0.2644,3.8196,3.7671,5.3297,0.2593,4.2018,0.2993,0.3568
sec_contact_asym_mig_size	Round_1_Replicate_3	-119882.93	239781.86	574268.24	12849.26	1.5811,0.2763,1.0591,0.36,0.6244,0.2158,4.3332,1.2518
sec_contact_asym_mig_size	Round_1_Replicate_4	-71816.94	143649.88	175402.77	24925.22	0.1441,2.0702,0.2705,0.8969,2.4902,0.2744,0.2007,3.2339
sec_contact_asym_mig_size	Round_1_Replicate_5	-128185.8	256387.6	391244.29	16581.04	4.3961,0.9045,0.3937,8.0742,0.835,0.1584,0.2244,0.3951
sec_contact_asym_mig_size	Round_1_Replicate_6	-80366.52	160749.04	239308.7	18719.77	0.2062,1.0445,1.0432,0.6431,0.2011,1.5413,0.1207,1.7298
sec_contact_asym_mig_size	Round_1_Replicate_7	-114704.7	229425.4	319561.52	15508.48	1.4441,4.6736,0.3901,1.3379,0.6501,0.3982,0.1993,6.491
sec_contact_asym_mig_size	Round_1_Replicate_8	-132199.95	264415.9	11151561.45	6754.16	0.2556,0.4031,3.8837,6.0137,1.5939,0.4989,1.3108,1.5551
sec_contact_asym_mig_size	Round_1_Replicate_9	-97421.27	194858.54	445359.49	6015.98	2.5958,1.2789,4.9074,1.7833,0.2454,0.2362,3.5995,1.3195
sec_contact_asym_mig_size	Round_1_Replicate_10	-43920.0	87856.0	114568.63	27354.18	1.4773,1.3171,0.4167,0.3362,4.9328,0.4239,3.4941,0.6614
sec_contact_asym_mig_size	Round_2_Replicate_1	-172060.12	344136.24	926579.78	26616.65	0.7479,1.793,0.1345,0.1396,2.2177,0.2775,7.2821,0.6553
sec_contact_asym_mig_size	Round_2_Replicate_2	-59354.9	118725.8	225169.68	77709.79	1.5262,1.2157,0.2514,0.2382,14.1072,0.1147,1.964,2.2864
sec_contact_asym_mig_size	Round_2_Replicate_3	-68098.03	136212.06	8549253.22	23761.53	1.5045,1.824,0.8943,0.6397,14.3595,0.8864,8.4199,1.2692
sec_contact_asym_mig_size	Round_2_Replicate_4	-57969.1	115954.2	207164.21	11806.3	5.2816,3.8609,0.775,0.4245,1.9333,1.4348,1.8704,0.2274
sec_contact_asym_mig_size	Round_2_Replicate_5	-51364.48	102744.96	151494.33	14903.91	4.1864,0.6267,0.4059,0.2776,4.7655,0.786,4.2561,0.2479
