Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
sec_contact_asym_mig_size	Round_3_Replicate_7	-47544.13	95104.26	138566.36	10116.8	2.3457,16.6748,0.3096,1.5484,6.7874,0.0802,2.5197,0.4615
sec_contact_asym_mig_size	Round_3_Replicate_8	-82912.88	165841.76	280970.66	13887.4	1.2569,5.9753,0.491,0.5093,1.8574,0.0627,11.6904,1.3731
sec_contact_asym_mig_size	Round_3_Replicate_9	-48126.95	96269.9	658964.24	8892.27	3.0149,4.6499,1.1046,0.983,5.9861,0.0718,3.5011,0.3041
sec_contact_asym_mig_size	Round_3_Replicate_10	-82998.04	166012.08	573694.73	22244.9	0.8046,27.8703,2.0745,0.458,5.4994,0.0682,5.6738,1.7365
sec_contact_asym_mig_size	Round_3_Replicate_11	-128863.02	257742.04	660883.94	22658.61	1.3628,27.8703,1.7048,0.2858,2.5,0.1733,2.7779,2.138
sec_contact_asym_mig_size	Round_3_Replicate_12	-51623.2	103262.4	2076139.75	9623.68	2.0923,5.3902,1.1435,0.9245,7.3989,0.4965,3.6218,0.387
sec_contact_asym_mig_size	Round_3_Replicate_13	-58403.4	116822.8	11231471.33	3548.04	5.9091,16.007,2.7357,1.2858,12.1398,0.1369,9.3508,0.2559
sec_contact_asym_mig_size	Round_3_Replicate_14	-49052.24	98120.48	176775.97	3721.06	8.0008,17.4338,2.3487,1.9123,1.1904,0.27,8.2007,0.8043
sec_contact_asym_mig_size	Round_3_Replicate_15	-32849.77	65715.54	83912.09	18111.01	2.9142,5.1757,0.6041,0.3883,4.6856,0.6552,8.1776,1.0485
sec_contact_asym_mig_size	Round_3_Replicate_16	-66060.59	132137.18	155832.86	6080.12	0.9045,6.9769,0.3504,0.6028,1.922,0.3014,13.915,0.4956
sec_contact_asym_mig_size	Round_3_Replicate_17	-31978.67	63973.34	71749.53	15388.51	0.6483,9.2911,0.4992,0.6103,3.9197,0.1192,5.5214,1.0068
sec_contact_asym_mig_size	Round_3_Replicate_18	-101473.66	202963.32	350491.31	14676.94	8.3179,4.4942,0.2583,0.3186,2.3845,0.0926,8.5707,0.6737
sec_contact_asym_mig_size	Round_3_Replicate_19	-91895.34	183806.68	326898.47	4566.53	6.1195,27.8703,1.0895,0.3343,1.2435,0.1789,17.1815,0.8516
sec_contact_asym_mig_size	Round_3_Replicate_20	-55840.19	111696.38	237051.23	70035.27	3.8735,9.5801,0.2601,0.2675,13.9985,0.3443,17.6722,2.1774
sec_contact_asym_mig_size	Round_3_Replicate_21	-45602.58	91221.16	124942.0	13371.83	1.372,22.8137,1.2015,0.5633,3.2423,0.0957,2.4405,0.7781
sec_contact_asym_mig_size	Round_3_Replicate_22	-26855.12	53726.24	67600.17	17425.02	4.5134,5.0604,0.441,0.5164,5.4132,0.7181,4.5427,0.826
sec_contact_asym_mig_size	Round_3_Replicate_23	-26318.29	52652.58	78630.99	8417.07	4.0782,26.3355,0.5974,0.9163,3.9971,0.7085,9.5616,1.3421
sec_contact_asym_mig_size	Round_3_Replicate_24	-100659.08	201334.16	55617402.43	6888.89	0.9485,23.9871,0.9715,2.2151,10.9951,0.5239,2.92,0.4909
sec_contact_asym_mig_size	Round_3_Replicate_25	-29511.57	59039.14	69467.41	4633.19	7.9567,13.9183,0.8075,0.5749,3.2559,0.2035,13.5385,0.4934
