Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2, T3)
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_1	-138577.97	277171.94	393504.39	14515.99	2.4179,3.0876,0.4422,5.4391,2.8125,0.3701,0.424,0.2025
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_2	-628892.04	1257800.08	548432946.91	12851.14	0.4609,4.2893,3.4836,0.1539,0.1398,0.2252,0.4027,0.7487
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_3	-844162.9	1688341.8	4255748152.45	9012.14	1.2783,0.5335,0.384,4.2423,0.2883,0.6313,0.5784,2.8131
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_4	-207979.69	415975.38	1216740.72	6585.64	1.042,3.0811,1.3015,6.5558,4.7468,1.7139,1.1977,1.6137
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_5	-393708.27	787432.54	16620285.62	5753.68	0.3054,0.6295,2.2045,6.9144,0.404,2.2873,0.1736,2.6336
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_6	-181880.51	363777.02	1166338.18	12925.64	4.7103,0.1422,7.7462,0.3085,2.7693,0.1215,0.1374,0.2793
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_7	-45267.61	90551.22	109084.96	8196.56	7.0093,7.6841,0.7781,0.5319,4.6736,4.397,0.2531,0.1223
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_8	-280316.6	560649.2	4570357.16	3496.82	6.4689,0.4106,5.5783,5.4569,0.9906,0.5046,2.3841,5.2772
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_9	-1455155.8	2910327.6	162914297847878.3	14316.49	1.1522,2.5951,0.5869,0.35,0.5498,0.2587,4.7642,4.2743
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_10	-161939.56	323895.12	938399.7	9069.44	6.2356,0.6301,5.556,0.7399,1.0816,0.3916,0.5791,0.4754
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_1	-33592.32	67200.64	84084.66	22097.69	7.1073,6.905,0.7307,0.2081,9.5064,1.217,0.4817,0.0428
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_2	-135267.37	270550.74	418654.74	4685.45	22.6517,25.4417,0.43,0.6871,10.7782,12.7899,0.1658,0.394
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_3	-210961.6	421939.2	2023478.08	11072.39	17.3173,11.2921,1.0553,0.2123,1.5263,3.2277,0.2834,0.3568
