Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2, T3)
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_1	-357576.69	715169.38	1.164621480164863e+17	13832.47	0.1785,2.6415,0.1861,0.1267,4.97,0.345,8.2107,3.7576
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_2	-193882.99	387781.98	1394288.97	17400.57	2.0864,0.2785,0.578,0.1879,0.7443,3.0799,0.3539,0.1638
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_3	-612252.94	1224521.88	214335566.53	7050.1	0.2799,0.1567,0.8407,4.6435,2.6832,0.1414,0.9858,4.2647
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_4	-194544.84	389105.68	772601.5	12865.74	0.3641,6.3801,0.3089,1.3388,0.5667,3.2829,0.9757,0.1745
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_5	-226836.7	453689.4	2589666.15	7255.2	0.3487,0.1362,7.0762,0.3333,3.1345,6.8108,1.8077,0.6727
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_6	-135165.25	270346.5	598596.42	17410.66	0.7507,5.2617,0.962,0.7415,0.4564,0.4916,0.6718,0.1951
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_7	-134148.51	268313.02	643810.99	6510.52	1.1296,2.8511,5.2259,4.2307,0.3186,0.4654,1.1922,0.2724
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_8	-176125.01	352266.02	642096.03	6783.65	0.3913,3.6106,0.7911,5.2155,0.6214,3.5922,5.6688,0.5721
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_9	-209276.68	418569.36	1945343.6	9995.08	1.9982,0.1563,3.8395,0.816,0.5162,0.2023,0.6998,0.6837
sec_contact_sym_mig_size_three_epoch	Round_1_Replicate_10	-355660.55	711337.1	12050671.63	9361.91	1.3256,0.159,1.9194,2.6211,0.1348,0.2467,0.1721,1.8447
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_1	-181750.34	363516.68	70849189.45	3825.53	0.2817,2.4266,13.3103,5.6806,1.2378,0.1276,2.9458,0.107
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_2	-191495.22	383006.44	1255562.16	4186.81	0.9896,1.5358,9.0247,9.6573,0.1071,0.2602,1.6188,0.7577
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_3	-97943.89	195903.78	309842.64	9439.22	2.8318,6.4209,1.5837,3.7203,0.9472,0.2114,1.4222,0.2209
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_4	-138998.16	278012.32	801810.96	5944.21	0.3381,2.5791,5.9725,4.4456,0.2799,0.7414,1.6186,0.0912
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_5	-83978.87	167973.74	246377.15	9237.98	1.8739,2.3877,1.8956,1.5968,0.7275,0.7046,2.7173,0.3284
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_6	-162572.53	325161.06	45995439.92	4296.76	3.1551,1.3832,5.8938,10.4679,1.1161,0.126,2.7985,0.0811
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_7	-394900.77	789817.54	36244850.52	4848.63	0.4656,1.2163,20.6185,9.9842,0.1029,1.5867,0.3366,0.8219
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_8	-149963.35	299942.7	4867630.21	7816.21	0.4768,3.8354,4.3342,11.1754,0.9511,0.1867,0.7193,0.1312
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_9	-248705.55	497427.1	3516954.35	8475.47	0.3892,0.7875,6.5851,1.1756,0.3716,1.0346,0.3677,0.727
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_10	-108347.65	216711.3	408857.24	6885.04	1.1645,0.8449,6.1459,1.0785,1.0737,1.038,1.9447,0.4003
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_11	-231173.32	462362.64	2232247.68	6958.43	0.6024,1.3174,2.7514,3.9549,0.1679,1.8232,0.8131,1.0056
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_12	-177116.18	354248.36	1162819.31	7898.45	0.4012,6.3484,6.6504,1.2325,0.7087,0.5467,0.5578,0.6912
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_13	-171017.93	342051.86	880994.24	6109.6	0.6563,3.6481,5.3927,15.3957,0.1219,0.2227,1.0232,0.1835
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_14	-128913.79	257843.58	572327.67	11916.93	3.4315,1.1875,1.541,1.7519,0.3669,0.7379,0.4951,0.238
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_15	-89115.94	178247.88	288629.82	9466.61	1.5452,7.5845,1.9424,1.4183,0.432,0.3727,3.0198,0.2092
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_16	-205774.3	411564.6	1962323.36	6449.5	0.7344,4.4065,16.3863,1.58,0.244,1.3574,0.6482,0.2282
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_17	-162779.61	325575.22	2207307.41	7726.15	1.1046,5.7802,10.5611,12.1413,0.3505,0.1625,0.3989,0.1979
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_18	-182934.77	365885.54	21712593.68	2736.62	0.494,0.8421,13.4222,12.642,0.3854,0.1523,4.261,0.1138
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_19	-147442.03	294900.06	894948.72	4084.4	1.37,1.9342,12.949,6.5911,0.2658,1.3869,1.7413,0.1368
sec_contact_sym_mig_size_three_epoch	Round_2_Replicate_20	-161038.6	322093.2	741669.47	7055.18	1.1439,1.1473,5.4414,12.3062,0.1433,0.1705,0.57,0.3966
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_1	-101876.83	203769.66	376607.72	9510.65	7.0848,2.0356,2.1219,1.0147,0.5649,1.4549,1.9488,0.358
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_2	-136595.99	273207.98	702518.59	6088.72	1.437,7.9909,4.4448,1.0681,0.802,2.711,3.823,0.9177
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_3	-170792.59	341601.18	717053.81	14488.1	2.478,4.6811,0.5355,1.7537,1.5648,0.2789,3.5426,0.4876
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_4	-141859.26	283734.52	787325.88	11093.97	1.3694,8.9581,3.9552,0.5434,0.3819,0.2795,0.9085,0.107
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_5	-221085.53	442187.06	1380809.64	8586.85	2.2574,3.7457,0.8602,3.9157,0.7483,0.4877,2.7858,1.0045
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_6	-134158.03	268332.06	619933.58	8690.91	5.8524,3.9329,3.5822,1.36,0.8771,0.4313,0.94,0.6096
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_7	-92672.41	185360.82	268089.67	11672.04	0.6524,2.7251,1.1018,1.2679,0.6805,0.3777,4.7459,0.2529
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_8	-52379.32	104774.64	135071.17	5083.35	1.3775,0.8467,3.4053,2.3343,0.4837,0.4861,10.9883,0.1719
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_9	-124352.32	248720.64	495130.17	13924.02	0.8067,8.377,1.015,1.1577,0.2999,0.5153,1.626,0.1079
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_10	-53361.93	106739.86	130055.84	13595.05	4.2456,0.9488,1.1896,0.8375,1.8552,1.4334,1.5373,0.1281
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_11	-84823.24	169662.48	262057.93	6564.84	6.9693,6.4333,1.7684,3.4082,0.7967,2.6784,0.8248,0.2292
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_12	-91247.34	182510.68	243764.18	11758.69	2.2604,9.0261,0.9262,2.8794,1.6379,0.6189,0.9157,0.1824
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_13	-68071.35	136158.7	262165.91	7336.95	0.7136,5.7931,3.5855,1.6659,1.3537,1.2733,2.3075,0.1984
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_14	-182007.14	364030.28	1376432.6	8000.57	5.6824,2.8787,3.524,0.8713,0.5733,0.3908,2.6475,0.8804
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_15	-338551.99	677119.98	8066523.69	15421.94	3.6528,5.1051,0.6869,0.711,0.3802,2.5518,5.0385,1.0187
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_16	-203087.57	406191.14	1756104.2	15159.52	2.9316,9.0715,1.4874,0.6736,0.2983,0.1726,0.6744,0.5079
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_17	-101025.25	202066.5	386851.02	9489.15	2.2609,8.7121,2.8642,0.7337,0.7331,1.0845,1.9418,0.2777
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_18	-112329.78	224675.56	449851.93	4986.74	4.8469,0.742,6.2445,2.2014,0.4986,0.1827,3.8844,0.709
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_19	-112687.35	225390.7	2650206.55	7777.07	2.6411,7.0567,3.1802,3.9944,1.3604,0.284,1.299,0.0912
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_20	-274719.29	549454.58	2788148.32	9478.16	2.0398,2.2965,0.7426,2.7127,0.3146,0.5932,3.4103,1.0126
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_21	-187907.36	375830.72	1267268.84	18382.11	0.6644,0.6859,0.765,0.6205,0.623,0.9223,1.242,0.4507
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_22	-138985.14	277986.28	661563.73	6860.42	6.9918,8.1108,4.3544,2.0269,0.6033,0.4005,1.4863,0.7896
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_23	-265626.81	531269.62	2345909.57	10497.0	3.4848,1.2056,0.5954,2.3118,0.5051,0.2191,6.6317,0.8853
