Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2, T3)
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_4	-35929.03	71874.06	141323.98	6492.86	1.4385,1.6129,1.4685,1.6139,2.3537,9.4739,0.9276,0.1022
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_5	-61971.69	123959.38	4642125.64	3835.49	1.678,8.3782,3.4456,2.3179,8.8897,10.6813,0.4119,0.102
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_6	-140913.29	281842.58	370943.81	3432.06	0.2258,8.038,0.8751,8.8606,1.5711,16.0519,0.3905,0.5541
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_7	-74592.58	149201.16	155589.94	4698.39	0.8155,1.4311,1.1142,3.3616,0.5936,15.678,1.6001,0.1367
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_8	-101986.82	203989.64	532413.8	7193.76	0.1477,5.8925,1.3474,8.6954,2.3783,3.3441,0.2616,0.1797
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_9	-56957.57	113931.14	594620.24	4495.68	0.3519,2.4373,6.5331,1.1975,9.1629,16.5872,0.1889,0.1105
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_10	-127340.27	254696.54	350149.52	4570.14	0.2041,5.4677,0.8592,8.0774,0.9532,11.3789,0.3712,0.1222
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_11	-28038.12	56092.24	72015.77	2250.47	0.8225,9.7533,8.1395,1.3276,8.6273,28.7466,0.1214,0.2496
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_12	-72514.23	145044.46	174523.37	3062.0	0.2656,11.9013,1.1475,3.584,0.601,23.578,1.7691,0.0625
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_13	-76530.64	153077.28	157870.12	4553.48	0.1802,2.1968,1.0578,2.1502,0.9193,18.3136,0.7849,0.2917
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_14	-83700.4	167416.8	189777.23	3330.77	0.2175,3.6372,1.2337,9.0688,5.7813,22.7448,1.061,0.574
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_15	-25974.57	51965.14	67967.13	3912.52	0.4708,2.0432,3.5156,1.0661,4.4226,20.8448,0.7067,0.2031
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_16	-45938.66	91893.32	87693.72	4662.84	0.1931,5.3221,0.8847,0.9438,3.6091,18.6261,0.4237,0.2313
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_17	-72518.62	145053.24	1784822.53	5294.72	0.4968,4.9891,3.5186,6.024,7.4448,6.7024,0.1409,0.2219
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_18	-85383.81	170783.62	225082.96	7355.82	1.0683,1.4183,1.0781,0.7846,0.7078,10.1144,0.6421,0.192
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_19	-87427.37	174870.74	184851.16	4890.54	0.6876,5.0114,1.1674,4.2024,1.2284,10.8199,0.7394,0.4178
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_20	-50036.14	100088.28	112818.81	5643.43	0.2619,5.1296,1.7951,1.1771,3.767,11.9681,0.8487,0.4757
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_21	-35055.08	70126.16	371929.93	2457.57	0.6072,7.9699,10.7672,1.2909,3.4525,28.7706,1.1454,0.1323
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_22	-54992.72	110001.44	175625.87	4723.31	0.2891,0.905,4.2653,4.6832,4.7543,10.3295,0.7124,0.6156
sec_contact_sym_mig_size_three_epoch	Round_3_Replicate_23	-97833.93	195683.86	359512.3	5641.05	1.2745,0.865,4.4815,0.7579,0.8811,9.9282,0.4879,0.5085
